season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,21/08/20,1843,france,Bordeaux,Nantes,59.92,59.31,0.4538,0.2626,0.2836,1.38,0.98,,,0.0,0.0,0,1,0,0,0,0,0,5,1,10,2,2,1,0,1,0,0,0,0,0,6,1,15,3,3,0
2020,22/08/20,1843,france,Dijon,Angers,54.91,59.5,0.4038,0.3013,0.2948,1.24,1.03,,,0.0,1.0,0,0,1,0,1,1,0,9,1,15,3,0,0,1,0,0,1,1,0,0,12,4,8,9,0,0
2020,22/08/20,1843,france,Lille,Rennes,70.39,65.18,0.5088,0.2242,0.267,1.54,0.93,,,1.0,1.0,0,1,0,1,1,0,1,5,1,12,4,0,1,0,1,0,1,0,1,1,16,3,16,2,1,1
2020,23/08/20,1843,france,Monaco,Reims,67.42,58.47,0.5583,0.194,0.2477,1.72,0.91,,,2.0,2.0,0,1,0,2,2,2,1,22,5,8,8,1,0,0,1,0,2,2,2,1,9,3,14,1,3,0
2020,23/08/20,1843,france,Nimes,Brest,54.6,54.9,0.4498,0.2865,0.2637,1.53,1.17,,,4.0,0.0,1,0,0,4,0,0,2,12,5,14,4,2,0,0,0,1,0,0,4,2,10,3,17,4,3,1
2020,23/08/20,1843,france,Lorient,Strasbourg,52.87,60.44,0.3774,0.3471,0.2754,1.33,1.26,,,3.0,1.0,1,0,0,3,1,1,0,10,7,17,6,3,0,0,0,1,1,1,3,0,7,1,10,1,2,0
2020,23/08/20,1843,france,Nice,Lens,59.29,53.53,0.5143,0.2338,0.2519,1.69,1.05,,,2.0,1.0,1,0,0,2,1,1,1,4,2,17,1,2,0,0,0,1,1,1,2,1,17,4,18,7,3,0
2020,28/08/20,1843,france,Lyon,Dijon,73.68,53.5,0.6947,0.1019,0.2035,2.0,0.61,58.2,28.4,4.0,1.0,1,0,0,4,1,1,3,27,12,12,13,3,0,0,0,1,1,1,4,3,6,2,7,2,3,0
2020,29/08/20,1843,france,Rennes,Montpellier,66.79,59.83,0.536,0.2,0.264,1.57,0.85,38.5,23.2,2.0,1.0,1,0,0,2,1,0,1,16,7,18,2,3,1,0,0,1,1,0,2,1,11,3,16,1,2,1
2020,29/08/20,1843,france,Strasbourg,Nice,58.5,57.34,0.4677,0.2674,0.2649,1.54,1.1,25.2,18.3,0.0,2.0,0,0,1,0,2,1,0,6,0,14,3,2,0,1,0,0,2,1,0,0,3,2,11,1,6,0
2020,30/08/20,1843,france,Reims,Lille,58.3,68.92,0.3155,0.395,0.2895,1.1,1.26,20.7,43.6,0.0,1.0,0,0,1,0,1,1,0,4,0,20,1,4,0,1,0,0,1,1,0,0,10,3,11,2,1,0
2020,30/08/20,1843,france,Nantes,Nimes,59.93,56.23,0.4801,0.2461,0.2738,1.47,0.97,19.0,20.2,2.0,1.0,1,0,0,2,1,0,2,8,5,16,4,3,2,0,0,1,1,0,2,2,17,9,9,8,2,0
2020,30/08/20,1843,france,Angers,Bordeaux,60.95,59.71,0.4586,0.242,0.2994,1.28,0.85,23.3,19.2,0.0,2.0,0,0,1,0,2,2,0,12,2,12,5,1,0,1,0,0,2,2,0,0,7,7,19,7,3,0
2020,30/08/20,1843,france,Metz,Monaco,53.27,67.36,0.2995,0.4451,0.2554,1.27,1.61,30.4,35.0,0.0,1.0,0,0,1,0,1,1,0,14,4,14,10,0,0,1,0,0,1,1,0,0,3,2,20,1,5,1
2020,30/08/20,1843,france,St Etienne,Lorient,56.09,54.75,0.462,0.2689,0.2691,1.5,1.08,24.4,23.4,2.0,0.0,1,0,0,2,0,0,1,13,5,14,2,2,0,0,0,1,0,0,2,1,6,1,23,5,1,0
2020,30/08/20,1843,france,Brest,Marseille,53.2,66.7,0.314,0.4212,0.2648,1.25,1.49,32.2,36.8,2.0,3.0,0,0,1,2,3,2,1,19,4,17,10,2,0,1,0,0,3,2,2,1,7,4,13,2,4,0
2020,10/09/20,1843,france,Lens,Paris SG,55.46,90.68,0.079,0.7899,0.1311,0.88,2.98,24.7,40.4,1.0,0.0,1,0,0,1,0,0,0,7,3,21,4,2,0,0,0,1,0,0,1,0,8,1,10,2,2,0
2020,11/09/20,1843,france,Bordeaux,Lyon,61.68,75.12,0.2529,0.4753,0.2718,1.01,1.49,29.1,60.7,0.0,0.0,0,1,0,0,0,0,0,5,0,12,4,2,0,0,1,0,0,0,0,0,20,3,19,5,3,0
2020,12/09/20,1843,france,Montpellier,Nice,59.8,59.02,0.4269,0.3001,0.273,1.43,1.15,20.4,24.4,3.0,1.0,1,0,0,3,1,0,1,20,13,17,8,0,0,0,0,1,1,0,3,1,9,1,16,9,2,0
2020,12/09/20,1843,france,St Etienne,Strasbourg,57.15,57.08,0.414,0.2989,0.2871,1.31,1.07,23.8,29.7,2.0,0.0,1,0,0,2,0,0,0,10,4,13,6,1,0,0,0,1,0,0,2,0,14,7,19,3,3,0
