season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,18/09/20,1845,germany,Bayern Munich,Schalke 04,94.66,62.39,0.9111,0.0167,0.0722,3.18,0.31,65.8,25.0,8.0,0.0,1,0,0,8,0,0,3,22,12,11,9,1,0,0,0,1,0,0,8,3,5,1,12,2,2,0
2020,19/09/20,1845,germany,Ein Frankfurt,Bielefeld,70.56,59.47,0.5554,0.195,0.2496,1.71,0.91,31.6,35.0,1.0,1.0,0,1,0,1,1,0,0,18,6,14,14,2,0,0,1,0,1,0,1,0,14,4,13,3,2,0
2020,19/09/20,1845,germany,Stuttgart,Freiburg,61.7,64.7,0.3884,0.3342,0.2775,1.34,1.23,33.4,27.2,2.0,3.0,0,0,1,2,3,2,0,22,7,12,7,2,0,1,0,0,3,2,2,0,7,6,16,2,2,0
2020,19/09/20,1845,germany,FC Koln,Hoffenheim,63.8,72.55,0.3188,0.4334,0.2478,1.41,1.68,23.3,42.4,2.0,3.0,0,0,1,2,3,2,1,13,6,12,1,0,0,1,0,0,3,2,2,1,13,7,13,6,0,0
2020,19/09/20,1845,germany,Union Berlin,Augsburg,62.03,62.12,0.4219,0.2916,0.2864,1.33,1.06,35.8,32.4,1.0,3.0,0,0,1,1,3,1,0,13,3,9,8,2,0,1,0,0,3,1,1,0,9,5,9,1,0,0
2020,19/09/20,1845,germany,Werder Bremen,Hertha,64.82,67.88,0.3964,0.3308,0.2728,1.39,1.25,28.7,22.8,1.0,4.0,0,0,1,1,4,2,0,17,7,13,7,2,0,1,0,0,4,2,1,0,13,6,17,4,0,0
2020,19/09/20,1845,germany,Dortmund,M'gladbach,84.12,77.64,0.5225,0.2334,0.2441,1.78,1.11,69.9,66.1,3.0,0.0,1,0,0,3,0,0,1,9,4,10,1,1,0,0,0,1,0,0,3,1,8,2,9,3,1,0
2020,20/09/20,1845,germany,RB Leipzig,Mainz,83.94,64.66,0.6992,0.111,0.1898,2.21,0.75,63.8,22.7,3.0,1.0,1,0,0,3,1,0,2,23,10,5,7,1,0,0,0,1,1,0,3,2,8,1,11,5,2,0
2020,20/09/20,1845,germany,Wolfsburg,Leverkusen,72.25,77.92,0.3399,0.3895,0.2707,1.29,1.4,43.5,63.0,0.0,0.0,0,1,0,0,0,0,0,9,1,13,4,1,0,0,1,0,0,0,0,0,6,2,12,4,2,0
2020,25/09/20,1845,germany,Hertha,Ein Frankfurt,69.37,70.85,0.4119,0.3289,0.2592,1.53,1.35,34.4,32.9,1.0,3.0,0,0,1,1,3,2,0,12,6,13,4,3,0,1,0,0,3,2,1,0,10,3,16,3,4,0
2020,26/09/20,1845,germany,Mainz,Stuttgart,64.02,61.51,0.4589,0.2745,0.2666,1.53,1.12,32.3,34.7,1.0,4.0,0,0,1,1,4,1,1,11,3,10,3,2,1,1,0,0,4,1,1,1,15,7,17,9,4,1
2020,26/09/20,1845,germany,Bielefeld,FC Koln,59.09,63.55,0.3721,0.3528,0.2751,1.33,1.29,38.9,30.5,1.0,0.0,1,0,0,1,0,0,0,7,3,12,4,3,0,0,0,1,0,0,1,0,12,2,15,7,3,0
2020,26/09/20,1845,germany,Augsburg,Dortmund,63.03,84.67,0.1722,0.5965,0.2313,0.9,1.88,24.8,59.6,2.0,0.0,1,0,0,2,0,0,1,6,4,7,3,3,0,0,0,1,0,0,2,1,16,7,8,11,4,0
2020,26/09/20,1845,germany,M'gladbach,Union Berlin,77.03,60.98,0.6255,0.1498,0.2248,1.91,0.81,47.3,35.1,1.0,1.0,0,1,0,1,1,0,0,14,5,11,7,1,0,0,1,0,1,0,1,0,15,2,15,5,2,0
2020,26/09/20,1845,germany,Leverkusen,RB Leipzig,78.04,84.18,0.344,0.3951,0.2609,1.37,1.49,62.3,62.1,1.0,1.0,0,1,0,1,1,1,1,11,4,16,4,1,0,0,1,0,1,1,1,1,7,2,10,1,3,0
2020,26/09/20,1845,germany,Schalke 04,Werder Bremen,60.22,63.05,0.3964,0.3249,0.2787,1.35,1.19,41.0,36.6,1.0,3.0,0,0,1,1,3,2,0,17,4,20,8,7,1,1,0,0,3,2,1,0,17,8,14,3,2,0
2020,27/09/20,1845,germany,Hoffenheim,Bayern Munich,72.38,95.32,0.1226,0.7183,0.1591,1.11,2.8,57.8,49.0,4.0,1.0,1,0,0,4,1,1,2,17,8,15,3,3,0,0,0,1,1,1,4,2,14,2,11,5,2,0
2020,27/09/20,1845,germany,Freiburg,Wolfsburg,64.23,72.47,0.3424,0.389,0.2687,1.31,1.41,23.2,34.0,1.0,1.0,0,1,0,1,1,1,1,21,7,10,9,0,0,0,1,0,1,1,1,1,8,2,13,1,3,0
2020,02/10/20,1845,germany,Union Berlin,Mainz,61.78,61.42,0.4176,0.3115,0.271,1.44,1.21,38.6,37.1,4.0,0.0,1,0,0,4,0,0,1,13,7,13,4,1,0,0,0,1,0,0,4,1,5,0,11,2,4,0
2020,03/10/20,1845,germany,Stuttgart,Leverkusen,63.58,78.25,0.2473,0.4912,0.2615,1.06,1.6,26.0,57.0,1.0,1.0,0,1,0,1,1,1,0,11,2,8,7,3,0,0,1,0,1,1,1,0,15,7,17,12,2,0
2020,03/10/20,1845,germany,Dortmund,Freiburg,84.04,64.77,0.6928,0.116,0.1912,2.21,0.78,64.7,28.0,4.0,0.0,1,0,0,4,0,0,1,16,7,8,3,1,0,0,0,1,0,0,4,1,6,2,12,2,1,0
2020,03/10/20,1845,germany,Ein Frankfurt,Hoffenheim,71.81,74.83,0.3776,0.3802,0.2422,1.64,1.64,43.7,62.9,2.0,1.0,1,0,0,2,1,1,0,16,6,12,5,2,0,0,0,1,1,1,2,0,11,4,8,7,3,0
2020,03/10/20,1845,germany,Werder Bremen,Bielefeld,64.29,58.7,0.4898,0.2367,0.2734,1.49,0.95,33.5,36.8,1.0,0.0,1,0,0,1,0,0,1,7,2,12,2,2,0,0,0,1,0,0,1,1,10,5,16,1,2,0
2020,03/10/20,1845,germany,FC Koln,M'gladbach,64.39,76.51,0.2874,0.4597,0.2529,1.26,1.66,28.8,47.0,1.0,3.0,0,0,1,1,3,2,0,8,3,16,4,3,0,1,0,0,3,2,1,0,17,11,12,10,3,0
2020,03/10/20,1845,germany,RB Leipzig,Schalke 04,84.13,58.46,0.7874,0.0617,0.1509,2.43,0.53,64.5,37.2,4.0,0.0,1,0,0,4,0,0,3,21,7,13,8,1,0,0,0,1,0,0,4,3,4,1,10,1,3,0
2020,04/10/20,1845,germany,Wolfsburg,Augsburg,72.23,63.91,0.5169,0.2135,0.2696,1.53,0.88,28.8,20.3,0.0,0.0,0,1,0,0,0,0,0,17,6,7,12,0,0,0,1,0,0,0,0,0,9,1,13,2,1,0
2020,04/10/20,1845,germany,Bayern Munich,Hertha,94.33,68.37,0.8733,0.034,0.0927,3.15,0.52,75.7,34.5,4.0,3.0,1,0,0,4,3,0,1,22,9,13,6,3,0,0,0,1,3,0,4,1,9,5,19,1,3,0
2020,17/10/20,1845,germany,Augsburg,RB Leipzig,64.26,85.29,0.1775,0.5916,0.2309,0.93,1.89,25.0,53.0,0.0,2.0,2,1,0,5,1,0,2,24,10,29,6,4,0,2,1,0,8,6,2,1,51,19,28,16,5,0
2020,17/10/20,1845,germany,Freiburg,Werder Bremen,63.37,64.04,0.4315,0.3053,0.2632,1.53,1.25,27.7,22.7,1.0,1.0,1,1,1,4,7,2,3,34,15,38,13,3,0,2,0,1,5,3,5,2,41,17,39,12,6,0
2020,17/10/20,1845,germany,Hertha,Stuttgart,68.94,63.54,0.499,0.2468,0.2541,1.67,1.1,27.3,21.8,0.0,2.0,1,0,2,8,8,3,2,34,17,49,9,6,0,1,1,1,7,1,5,4,48,16,37,23,9,1
2020,17/10/20,1845,germany,Hoffenheim,Dortmund,73.71,85.06,0.299,0.4601,0.2409,1.41,1.79,58.8,57.3,0.0,1.0,2,0,1,8,5,2,5,41,19,36,16,6,0,2,0,1,7,2,2,1,41,18,26,15,6,0
2020,17/10/20,1845,germany,Mainz,Leverkusen,59.02,78.27,0.2371,0.5187,0.2443,1.13,1.78,43.5,49.0,0.0,1.0,0,0,3,2,11,4,1,24,4,32,10,8,1,0,3,0,2,2,2,1,32,13,45,20,5,0
2020,17/10/20,1845,germany,Bielefeld,Bayern Munich,59.35,93.97,0.0535,0.828,0.1185,0.64,2.92,28.2,75.4,1.0,4.0,1,1,1,2,2,1,0,31,12,41,8,7,0,2,0,1,13,5,7,2,58,23,35,20,6,0
2020,17/10/20,1845,germany,M'gladbach,Wolfsburg,77.57,72.04,0.5286,0.2134,0.258,1.64,0.94,58.3,27.3,1.0,1.0,1,1,1,4,5,1,2,39,18,32,20,5,0,0,3,0,1,1,1,1,34,9,33,17,4,0
2020,18/10/20,1845,germany,FC Koln,Ein Frankfurt,63.16,72.91,0.3199,0.4262,0.2539,1.36,1.61,34.1,42.7,1.0,1.0,0,0,3,3,7,4,1,33,11,43,12,6,0,2,1,0,6,2,3,1,44,15,42,22,8,0
2020,18/10/20,1845,germany,Schalke 04,Union Berlin,56.75,63.99,0.3697,0.3459,0.2843,1.26,1.21,43.3,28.4,1.0,1.0,0,0,3,1,15,8,0,26,6,42,11,12,1,1,1,1,6,1,4,1,41,12,37,17,5,0
2020,23/10/20,1845,germany,Stuttgart,FC Koln,64.48,62.82,0.4263,0.3061,0.2676,1.48,1.22,21.8,36.0,1.0,1.0,2,1,0,7,2,2,2,33,11,35,20,9,1,0,1,2,2,0,5,3,29,10,50,13,9,0
2020,24/10/20,1845,germany,Mainz,M'gladbach,59.07,77.16,0.2438,0.5125,0.2437,1.16,1.79,41.3,44.5,2.0,3.0,0,0,3,1,9,3,1,21,3,33,11,9,1,1,2,0,5,2,3,0,44,18,37,22,6,0
2020,24/10/20,1845,germany,Union Berlin,Freiburg,64.58,63.26,0.4273,0.2974,0.2753,1.42,1.14,29.7,27.6,1.0,1.0,1,2,0,6,2,0,1,41,16,41,16,4,0,0,2,1,2,2,6,3,46,13,32,15,4,0
2020,24/10/20,1845,germany,RB Leipzig,Hertha,85.72,68.05,0.6794,0.1249,0.1957,2.19,0.82,57.3,27.8,2.0,1.0,2,1,0,7,1,1,5,43,15,36,17,5,0,0,0,3,4,0,9,4,37,15,46,11,8,0
2020,24/10/20,1845,germany,Bayern Munich,Ein Frankfurt,94.37,73.37,0.8252,0.0588,0.116,3.07,0.74,63.1,49.7,5.0,0.0,2,0,1,9,8,2,5,52,21,30,21,5,1,2,1,0,6,3,3,1,42,13,46,16,8,0
