season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,19/09/20,1854,italy,Fiorentina,Torino,69.23,59.11,0.5212,0.2215,0.2572,1.68,1.0,29.4,26.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,8.0,17.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,20.0,1.0,1.0,0.0
2020,19/09/20,1854,italy,Verona,Roma,59.51,74.51,0.2425,0.5092,0.2484,1.15,1.77,26.4,49.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,19.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,20.0,6.0,0.0,0.0
2020,20/09/20,1854,italy,Parma,Napoli,56.69,79.05,0.1836,0.5929,0.2235,1.03,2.03,31.9,59.1,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,16.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,7.0,12.0,2.0,1.0,0.0
2020,20/09/20,1854,italy,Genoa,Crotone,55.9,53.39,0.4444,0.2801,0.2755,1.47,1.11,38.3,38.9,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,10.0,8.0,13.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,11.0,5.0,14.0,4.0,2.0,0.0
2020,20/09/20,1854,italy,Sassuolo,Cagliari,65.1,57.04,0.5043,0.2432,0.2525,1.72,1.12,23.3,30.6,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,10.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,4.0,18.0,3.0,3.0,0.0
2020,20/09/20,1854,italy,Juventus,Sampdoria,82.45,60.79,0.7072,0.1107,0.182,2.35,0.82,56.1,21.5,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,14.0,9.0,15.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,10.0,2.0,9.0,4.0,1.0,0.0
2020,21/09/20,1854,italy,Milan,Bologna,78.82,59.32,0.6725,0.1281,0.1993,2.19,0.84,59.3,25.7,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,6.0,13.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,5.0,17.0,4.0,5.0,1.0
2020,26/09/20,1854,italy,Torino,Atalanta,58.43,79.1,0.1892,0.5859,0.2248,1.06,2.02,29.1,57.2,2.0,4.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,12.0,7.0,12.0,6.0,2.0,0.0
2020,26/09/20,1854,italy,Sampdoria,Benevento,60.45,54.44,0.4677,0.2609,0.2714,1.52,1.07,27.0,40.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,5.0,4.0,17.0,6.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,11.0,6.0,12.0,4.0,1.0,0.0
2020,26/09/20,1854,italy,Cagliari,Lazio,56.69,71.54,0.2532,0.4933,0.2535,1.16,1.71,30.5,44.1,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,3.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,7.0,13.0,6.0,1.0,0.0
2020,26/09/20,1854,italy,Inter,Fiorentina,84.34,70.03,0.6262,0.1549,0.2189,2.03,0.89,62.1,42.5,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,12.0,6.0,15.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,8.0,4.0,10.0,1.0,1.0,0.0
2020,27/09/20,1854,italy,Spezia,Sassuolo,53.13,65.47,0.3017,0.4322,0.266,1.24,1.53,40.3,18.5,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,11.0,6.0,13.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,10.0,8.0,8.0,5.0,1.0,0.0
2020,27/09/20,1854,italy,Verona,Udinese,59.11,61.05,0.3959,0.3123,0.2918,1.28,1.11,29.4,24.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,6.0,13.0,9.0,0.0,0.0
2020,27/09/20,1854,italy,Napoli,Genoa,79.63,56.97,0.6977,0.1097,0.1926,2.2,0.74,59.4,24.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,18.0,11.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,1.0,13.0,2.0,2.0,0.0
