season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,18/09/20,1864,portugal,Famalicao,Benfica,45.33,74.99,0.1488,0.6596,0.1916,0.94,2.19,21.9,72.5,1.0,5.0,0,0,1,1,5,3,0,6,2,14,3,1,0,1,0,0,5,3,1,0,13,7,10,4,2,0
2020,18/09/20,1864,portugal,Guimaraes,Belenenses,55.29,38.98,0.6199,0.149,0.2311,1.74,0.71,34.0,35.5,0.0,1.0,0,0,1,0,1,0,0,11,2,14,7,1,0,1,0,0,1,0,0,0,4,3,20,2,4,0
2020,19/09/20,1864,portugal,Nacional,Boavista,41.83,41.62,0.461,0.268,0.271,1.39,0.99,37.4,31.3,3.0,3.0,0,1,0,3,3,2,2,14,7,24,6,4,0,0,1,0,3,2,3,2,8,3,21,4,3,0
2020,19/09/20,1864,portugal,Porto,Sp Braga,74.87,60.5,0.6383,0.1579,0.2038,2.05,0.91,74.6,63.9,3.0,1.0,1,0,0,3,1,1,2,11,4,17,5,0,0,0,0,1,1,1,3,2,7,1,18,1,0,0
2020,20/09/20,1864,portugal,Santa Clara,Maritimo,46.45,42.31,0.4905,0.2438,0.2657,1.45,0.94,24.5,29.4,2.0,0.0,1,0,0,2,0,0,0,12,5,15,5,2,0,0,0,1,0,0,2,0,12,2,17,6,1,0
2020,20/09/20,1864,portugal,Moreirense,Farense,43.02,41.89,0.4695,0.2767,0.2539,1.54,1.12,31.5,29.6,2.0,0.0,1,0,0,2,0,0,1,13,5,17,4,2,0,0,0,1,0,0,2,1,10,2,13,6,4,1
2020,20/09/20,1864,portugal,Tondela,Rio Ave,43.25,53.45,0.3435,0.3887,0.2678,1.22,1.31,28.7,37.5,1.0,1.0,0,1,0,1,1,0,1,7,2,15,1,1,0,0,1,0,1,0,1,1,14,4,11,6,0,0
2020,21/09/20,1864,portugal,Portimonense,Pacos Ferreira,45.41,43.8,0.4681,0.2682,0.2637,1.45,1.03,25.4,27.5,1.0,1.0,0,1,0,1,1,1,0,12,3,23,4,1,0,0,1,0,1,1,1,0,16,5,16,9,1,0
2020,25/09/20,1864,portugal,Sp Braga,Santa Clara,60.05,46.9,0.6174,0.16899999999999998,0.2136,1.95,0.91,51.4,25.3,0.0,1.0,0,0,1,0,1,1,0,22,4,13,8,2,0,1,0,0,1,1,0,0,6,1,17,0,4,0
2020,26/09/20,1864,portugal,Maritimo,Tondela,41.87,42.81,0.4446,0.2761,0.2793,1.31,0.97,37.4,32.7,2.0,1.0,1,0,0,2,1,1,2,8,6,19,0,4,1,0,0,1,1,1,2,2,21,6,16,8,2,0
2020,26/09/20,1864,portugal,Benfica,Moreirense,76.27,43.83,0.8578,0.0349,0.1072,2.72,0.4,77.9,23.9,2.0,0.0,1,0,0,2,0,0,1,29,10,11,10,2,0,0,0,1,0,0,2,1,5,1,15,1,0,0
2020,26/09/20,1864,portugal,Boavista,Porto,41.21,75.28,0.1293,0.6681,0.2026,0.74,1.99,30.4,64.1,0.0,5.0,0,0,1,0,5,0,0,11,4,19,3,1,0,1,0,0,5,0,0,0,15,6,19,2,0,0
2020,27/09/20,1864,portugal,Farense,Nacional,41.09,42.22,0.4505,0.2997,0.2497,1.56,1.22,40.2,34.2,0.0,1.0,0,0,1,0,1,0,0,18,4,11,11,1,0,1,0,0,1,0,0,0,9,4,15,5,4,0
2020,27/09/20,1864,portugal,Gil Vicente,Portimonense,44.28,44.63,0.4507,0.2769,0.2724,1.37,1.01,30.8,28.0,1.0,0.0,1,0,0,1,0,0,0,9,3,14,10,2,0,0,0,1,0,0,1,0,13,2,12,7,3,0
2020,27/09/20,1864,portugal,Pacos Ferreira,Sp Lisbon,44.59,59.79,0.2816,0.4567,0.2618,1.09,1.46,23.4,48.9,0.0,2.0,0,0,1,0,2,1,0,9,0,18,4,0,0,1,0,0,2,1,0,0,11,5,12,8,0,0
2020,27/09/20,1864,portugal,Rio Ave,Guimaraes,53.87,54.0,0.4543,0.2798,0.2658,1.42,1.06,33.6,30.7,0.0,0.0,0,1,0,0,0,0,0,7,3,13,4,2,0,0,1,0,0,0,0,0,10,3,16,4,3,0
2020,28/09/20,1864,portugal,Belenenses,Famalicao,40.18,43.84,0.4134,0.3133,0.2733,1.31,1.11,29.9,29.5,1.0,2.0,0,0,1,1,2,0,1,10,5,17,5,3,0,1,0,0,2,0,1,1,6,2,24,2,5,0
2020,02/10/20,1864,portugal,Moreirense,Boavista,42.83,39.76,0.479,0.2494,0.2716,1.4,0.93,30.5,35.4,1.0,1.0,0,1,0,1,1,1,0,14,6,10,5,1,0,0,1,0,1,1,1,0,16,5,19,3,1,0
2020,02/10/20,1864,portugal,Guimaraes,Pacos Ferreira,54.9,43.61,0.5715,0.1826,0.2459,1.63,0.8,29.4,28.0,1.0,0.0,1,0,0,1,0,0,0,8,1,11,2,4,0,0,0,1,0,0,1,0,16,7,28,7,2,0
2020,03/10/20,1864,portugal,Santa Clara,Gil Vicente,47.12,43.8,0.4879,0.249,0.2631,1.47,0.97,22.2,21.5,0.0,0.0,0,1,0,0,0,0,0,12,3,14,8,1,0,0,1,0,0,0,0,0,8,1,18,3,3,0
2020,03/10/20,1864,portugal,Porto,Maritimo,76.53,41.44,0.8812,0.0194,0.0994,2.6,0.22,87.8,24.1,2.0,3.0,0,0,1,2,3,1,1,32,10,19,9,2,0,1,0,0,3,1,2,1,11,4,16,0,4,0
2020,03/10/20,1864,portugal,Tondela,Sp Braga,43.24,59.77,0.2846,0.467,0.2484,1.18,1.59,30.7,43.1,0.0,4.0,0,0,1,0,4,4,0,13,4,13,5,1,0,1,0,0,4,4,0,0,18,8,15,8,0,0
2020,04/10/20,1864,portugal,Nacional,Belenenses,42.55,39.61,0.4804,0.2523,0.2673,1.43,0.96,30.5,34.9,0.0,0.0,0,1,0,0,0,0,0,18,4,9,7,1,0,0,1,0,0,0,0,0,7,2,15,2,2,0
2020,04/10/20,1864,portugal,Famalicao,Rio Ave,44.48,52.79,0.3651,0.3653,0.2695,1.25,1.25,22.9,26.8,1.0,1.0,0,1,0,1,1,0,1,13,5,11,3,2,0,0,1,0,1,0,1,1,13,4,9,5,0,0
2020,04/10/20,1864,portugal,Benfica,Farense,77.02,40.81,0.8761,0.0283,0.0955,2.83,0.36,77.2,36.9,3.0,2.0,1,0,0,3,2,0,1,12,7,12,3,3,0,0,0,1,2,0,3,1,14,9,12,2,3,0
2020,04/10/20,1864,portugal,Portimonense,Sp Lisbon,45.11,60.73,0.2675,0.4602,0.2723,0.98,1.38,26.1,61.7,0.0,2.0,0,0,1,0,2,2,0,14,6,17,7,1,0,1,0,0,2,2,0,0,10,4,20,2,1,0
