season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,12/09/20,1869,spain,Eibar,Celta,67.39,69.21,0.4129,0.3003,0.2869,1.3,1.06,30.6,25.3,0.0,0.0,0,1,0,0,0,0,0,8,1,17,3,4,1,0,1,0,0,0,0,0,6,3,13,3,4,0
2020,12/09/20,1869,spain,Granada,Ath Bilbao,72.52,67.85,0.4849,0.2414,0.2737,1.47,0.95,29.1,26.0,2.0,0.0,1,0,0,2,0,0,0,4,2,8,1,3,0,0,0,1,0,0,2,0,9,2,10,2,4,0
2020,12/09/20,1869,spain,Cadiz,Osasuna,63.41,68.6,0.384,0.3351,0.2809,1.29,1.18,36.2,28.0,0.0,2.0,0,0,1,0,2,1,0,12,3,14,6,2,0,1,0,0,2,1,0,0,6,4,21,2,2,0
2020,13/09/20,1869,spain,Alaves,Betis,63.14,71.69,0.3401,0.384,0.2759,1.23,1.32,36.5,27.5,0.0,1.0,0,0,1,0,1,0,0,7,2,19,6,3,0,1,0,0,1,0,0,0,11,4,17,4,3,0
2020,13/09/20,1869,spain,Valladolid,Sociedad,65.12,76.5,0.2875,0.4235,0.289,1.02,1.3,35.2,45.5,1.0,1.0,0,1,0,1,1,0,1,8,3,15,5,4,0,0,1,0,1,0,1,1,8,2,17,3,1,0
2020,13/09/20,1869,spain,Villarreal,Huesca,75.77,63.71,0.5878,0.1797,0.2325,1.85,0.91,38.4,32.0,1.0,1.0,0,1,0,1,1,1,0,15,4,10,6,1,0,0,1,0,1,1,1,0,10,3,22,6,1,0
2020,13/09/20,1869,spain,Valencia,Levante,68.93,65.79,0.4663,0.2769,0.2568,1.6,1.17,25.9,27.3,4.0,2.0,1,0,0,4,2,2,2,14,8,9,3,1,0,0,0,1,2,2,4,2,19,8,14,4,3,0
2020,19/09/20,1869,spain,Villarreal,Eibar,75.95,67.4,0.5671,0.1862,0.2467,1.71,0.87,44.3,23.2,2.0,1.0,1,0,0,2,1,0,0,14,8,5,4,1,0,0,0,1,1,0,2,0,12,4,12,3,1,0
2020,19/09/20,1869,spain,Getafe,Osasuna,74.01,69.4,0.4699,0.2372,0.2929,1.32,0.85,30.6,24.6,1.0,0.0,1,0,0,1,0,0,0,7,1,19,4,4,0,0,0,1,0,0,1,0,10,3,13,1,2,0
2020,19/09/20,1869,spain,Celta,Valencia,69.96,68.42,0.4345,0.2908,0.2747,1.41,1.1,24.9,24.1,2.0,1.0,1,0,0,2,1,0,1,23,6,12,6,3,0,0,0,1,1,0,2,1,9,3,13,6,1,0
2020,20/09/20,1869,spain,Huesca,Cadiz,63.55,62.96,0.4349,0.2847,0.2805,1.37,1.05,38.6,41.6,0.0,2.0,0,0,1,0,2,1,0,4,0,18,2,3,0,1,0,0,2,1,0,0,6,4,23,1,3,0
2020,20/09/20,1869,spain,Granada,Alaves,72.92,63.46,0.526,0.2005,0.2735,1.48,0.8,30.6,37.0,2.0,1.0,1,0,0,2,1,1,1,10,3,9,4,0,0,0,0,1,1,1,2,1,5,3,12,4,3,0
2020,20/09/20,1869,spain,Betis,Valladolid,71.9,65.77,0.5073,0.2169,0.2758,1.46,0.85,32.0,35.3,2.0,0.0,1,0,0,2,0,0,2,16,6,18,5,3,0,0,0,1,0,0,2,2,9,2,10,3,0,0
2020,20/09/20,1869,spain,Sociedad,Real Madrid,76.22,89.05,0.2389,0.5092,0.2519,1.06,1.67,46.9,67.6,0.0,0.0,0,1,0,0,0,0,0,6,1,17,1,2,0,0,1,0,0,0,0,0,16,4,12,11,2,0
2020,26/09/20,1869,spain,Alaves,Getafe,62.75,74.31,0.3251,0.3637,0.3112,1.0,1.08,42.8,29.9,0.0,0.0,0,1,0,0,0,0,0,9,0,13,1,2,0,0,1,0,0,0,0,0,11,4,13,5,2,0
2020,26/09/20,1869,spain,Valencia,Huesca,67.27,62.34,0.4878,0.2504,0.2618,1.57,1.05,29.4,40.8,1.0,1.0,0,1,0,1,1,0,1,5,2,14,4,0,0,0,1,0,1,0,1,1,17,4,20,4,1,0
2020,26/09/20,1869,spain,Elche,Sociedad,62.76,76.43,0.2935,0.4244,0.2821,1.07,1.34,40.8,37.2,0.0,3.0,0,0,1,0,3,0,0,5,2,11,2,3,0,1,0,0,3,0,0,0,27,7,12,11,1,0
2020,26/09/20,1869,spain,Betis,Real Madrid,72.8,89.2,0.2153,0.5415,0.2432,1.02,1.76,44.4,57.7,2.0,3.0,0,0,1,2,3,1,2,15,5,9,8,5,1,1,0,0,3,1,2,2,11,4,10,3,2,0
2020,27/09/20,1869,spain,Osasuna,Levante,69.51,65.77,0.4512,0.282,0.2667,1.49,1.13,24.0,31.7,1.0,3.0,0,0,1,1,3,1,1,9,4,15,3,2,0,1,0,0,3,1,1,1,11,5,16,7,0,0
2020,27/09/20,1869,spain,Eibar,Ath Bilbao,66.66,67.86,0.4167,0.2901,0.2932,1.26,1.0,34.5,29.3,1.0,2.0,0,0,1,1,2,1,0,7,1,15,5,1,0,1,0,0,2,1,1,0,9,5,12,4,0,0
2020,27/09/20,1869,spain,Ath Madrid,Granada,86.32,73.31,0.6196,0.1437,0.2367,1.76,0.71,65.4,48.4,6.0,1.0,1,0,0,6,1,0,1,17,10,16,1,3,0,0,0,1,1,0,6,1,11,6,14,1,1,0
2020,27/09/20,1869,spain,Cadiz,Sevilla,64.71,80.03,0.2479,0.4774,0.2747,0.97,1.45,32.3,51.2,1.0,3.0,0,0,1,1,3,0,0,12,5,9,6,4,0,1,0,0,3,0,1,0,14,5,14,5,2,0
2020,27/09/20,1869,spain,Valladolid,Celta,65.04,70.94,0.3675,0.32299999999999995,0.3095,1.09,1.01,39.4,24.2,1.0,1.0,0,1,0,1,1,1,0,10,4,26,4,3,0,0,1,0,1,1,1,0,5,1,18,1,4,0
2020,27/09/20,1869,spain,Barcelona,Villarreal,90.14,76.41,0.6831,0.1359,0.181,2.43,1.0,71.1,46.1,4.0,0.0,1,0,0,4,0,0,4,17,9,9,8,0,0,0,0,1,0,0,4,4,5,1,10,4,1,0
