season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,11/09/20,1882,turkey,Rizespor,Fenerbahce,35.79,53.99,0.2791,0.4795,0.2414,1.31,1.78,,,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,3.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,17.0,8.0,12.0,11.0,2.0,0.0
2020,12/09/20,1882,turkey,Sivasspor,Alanyaspor,45.58,49.17,0.4071,0.3323,0.2606,1.5,1.33,18.0,29.9,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,10.0,4.0,14.0,7.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,6.0,11.0,6.0,2.0,0.0
2020,12/09/20,1882,turkey,Karagumruk,Yeni Malatyaspor,31.06,35.13,0.4097,0.3144,0.2759,1.38,1.17,39.4,34.5,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,6.0,19.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,20.0,7.0,10.0,6.0,3.0,0.0
2020,12/09/20,1882,turkey,Goztep,Denizlispor,38.3,31.3,0.5139,0.2217,0.2644,1.56,0.93,29.0,37.9,5.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,3.0,10.0,6.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,8.0,1.0,13.0,6.0,3.0,0.0
2020,12/09/20,1882,turkey,Galatasaray,Gaziantep,57.76,41.08,0.6505,0.1425,0.207,2.09,0.86,50.2,17.8,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,23.0,12.0,13.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,9.0,2.0,12.0,6.0,3.0,0.0
2020,13/09/20,1882,turkey,Ankaragucu,Erzurum BB,31.55,31.42,0.4516,0.2705,0.278,1.41,1.03,42.3,40.4,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,5.0,16.0,6.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,4.0,12.0,3.0,0.0,0.0
2020,13/09/20,1882,turkey,Kayserispor,Kasimpasa,32.56,41.8,0.3726,0.3823,0.2452,1.57,1.6,36.5,19.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,12.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,3.0,16.0,6.0,2.0,0.0
2020,13/09/20,1882,turkey,Antalyaspor,Genclerbirligi,38.35,32.67,0.5058,0.2304,0.2638,1.57,0.97,29.8,34.9,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,5.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,18.0,3.0,1.0,0.0
2020,13/09/20,1882,turkey,Trabzonspor,Besiktas,62.46,57.76,0.5132,0.2627,0.2241,2.02,1.4,69.9,57.7,1.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,8.0,4.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,12.0,5.0,17.0,3.0,2.0,0.0
2020,14/09/20,1882,turkey,Hatayspor,Buyuksehyr,33.28,58.89,0.204,0.5597,0.2364,1.02,1.84,36.0,53.2,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,6.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0,2.0,14.0,6.0,2.0,0.0
2020,18/09/20,1882,turkey,Yeni Malatyaspor,Goztep,32.9,41.0,0.3889,0.3514,0.2597,1.47,1.39,42.2,19.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,1.0,13.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,19.0,6.0,0.0,0.0
2020,19/09/20,1882,turkey,Genclerbirligi,Konyaspor,31.54,38.26,0.3911,0.3297,0.2791,1.32,1.19,41.5,27.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,13.0,1.0,3.0,0.0
2020,19/09/20,1882,turkey,Denizlispor,Trabzonspor,29.11,60.71,0.1692,0.6276,0.2032,1.06,2.21,40.3,50.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,17.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,13.0,7.0,0.0,0.0
2020,19/09/20,1882,turkey,Besiktas,Antalyaspor,59.63,39.51,0.6920000000000001,0.1166,0.1915,2.19,0.77,61.9,16.7,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,3.0,18.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,4.0,26.0,3.0,4.0,0.0
2020,19/09/20,1882,turkey,Alanyaspor,Kayserispor,50.92,33.12,0.6429,0.1474,0.2097,2.07,0.87,31.8,31.9,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,8.0,10.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,10.0,1.0,12.0,1.0,3.0,0.0
2020,20/09/20,1882,turkey,Erzurum BB,Sivasspor,32.53,43.71,0.3514,0.3786,0.27,1.3,1.36,36.2,19.3,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,3.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,3.0,9.0,7.0,0.0,0.0
2020,20/09/20,1882,turkey,Kasimpasa,Rizespor,41.06,35.38,0.5105,0.2473,0.2422,1.79,1.17,26.5,32.3,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,16.0,7.0,14.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,6.0,9.0,8.0,1.0,0.0
2020,20/09/20,1882,turkey,Gaziantep,Karagumruk,40.57,33.26,0.5252,0.2214,0.2534,1.67,0.99,28.1,32.4,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,14.0,9.0,15.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,11.0,4.0,14.0,7.0,2.0,0.0
2020,20/09/20,1882,turkey,Buyuksehyr,Galatasaray,56.71,58.42,0.4333,0.315,0.2517,1.62,1.35,52.6,62.9,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,12.0,5.0,16.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,6.0,15.0,2.0,1.0,0.0
2020,21/09/20,1882,turkey,Fenerbahce,Hatayspor,54.41,35.29,0.662,0.1345,0.2035,2.11,0.83,39.9,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,15.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,2.0
2020,25/09/20,1882,turkey,Karagumruk,Buyuksehyr,33.92,54.8,0.2509,0.4974,0.2518,1.12,1.68,31.3,33.6,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,4.0,11.0,2.0,3.0,1.0
2020,26/09/20,1882,turkey,Kayserispor,Erzurum BB,32.35,31.9,0.4562,0.2811,0.2626,1.54,1.16,38.7,38.6,1.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,12.0,2.0,15.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,13.0,8.0,21.0,5.0,3.0,0.0
2020,26/09/20,1882,turkey,Goztep,Gaziantep,41.02,39.98,0.4628,0.2864,0.2508,1.67,1.26,21.2,23.7,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,13.0,4.0,19.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,9.0,4.0,10.0,4.0,1.0,0.0
2020,26/09/20,1882,turkey,Hatayspor,Kasimpasa,35.66,42.13,0.3948,0.3363,0.2689,1.4,1.28,27.6,19.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,14.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,16.0,3.0,3.0,0.0
2020,26/09/20,1882,turkey,Trabzonspor,Yeni Malatyaspor,60.39,32.82,0.7777,0.0732,0.1491,2.55,0.65,48.2,35.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,10.0,4.0,9.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,9.0,4.0,14.0,5.0,2.0,0.0
2020,27/09/20,1882,turkey,Rizespor,Alanyaspor,34.3,51.65,0.2831,0.4603,0.2566,1.21,1.6,39.2,37.2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,3.0,19.0,6.0,1.0,0.0
2020,27/09/20,1882,turkey,Konyaspor,Besiktas,38.38,58.7,0.241,0.5131,0.2459,1.12,1.74,24.9,57.8,4.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,10.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,10.0,2.0,17.0,4.0,4.0,0.0
2020,27/09/20,1882,turkey,Sivasspor,Ankaragucu,44.42,30.49,0.5772,0.1808,0.242,1.76,0.87,18.3,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,16.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,2.0,2.0,0.0
2020,27/09/20,1882,turkey,Galatasaray,Fenerbahce,60.12,53.65,0.5413,0.2245,0.2342,1.88,1.13,72.3,50.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,16.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,14.0,9.0,4.0,0.0
2020,28/09/20,1882,turkey,Antalyaspor,Denizlispor,40.3,29.06,0.5481,0.1897,0.2622,1.58,0.81,22.4,43.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,21.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,11.0,3.0,2.0,0.0
2020,02/10/20,1882,turkey,Gaziantep,Trabzonspor,40.36,60.56,0.2444,0.5316,0.224,1.32,2.02,24.3,56.2,1.0,1.0,0.0,2.0,1.0,5.0,7.0,4.0,1.0,32.0,15.0,37.0,17.0,6.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,31.0,12.0,29.0,16.0,4.0,1.0
2020,02/10/20,1882,turkey,Ankaragucu,Kayserispor,30.86,30.59,0.4589,0.2724,0.2687,1.49,1.09,46.3,42.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,5.0,7.0,7.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,5.0,3.0,28.0,5.0,39.0,7.0,7.0,0.0
2020,03/10/20,1882,turkey,Yeni Malatyaspor,Antalyaspor,32.75,40.52,0.3888,0.3332,0.2781,1.32,1.21,42.7,17.8,1.0,0.0,0.0,1.0,2.0,2.0,7.0,5.0,1.0,43.0,12.0,37.0,16.0,5.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,27.0,14.0,59.0,12.0,5.0,0.0
2020,03/10/20,1882,turkey,Buyuksehyr,Goztep,52.75,40.74,0.5924,0.1827,0.2249,1.95,0.98,27.6,16.9,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,40.0,11.0,41.0,13.0,8.0,1.0,1.0,2.0,0.0,8.0,4.0,4.0,2.0,26.0,11.0,53.0,12.0,3.0,0.0
2020,03/10/20,1882,turkey,Erzurum BB,Rizespor,33.71,34.47,0.443,0.2917,0.2653,1.51,1.17,36.4,36.9,0.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0,2.0,32.0,15.0,47.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,1.0,31.0,13.0,35.0,15.0,4.0,0.0
2020,03/10/20,1882,turkey,Fenerbahce,Karagumruk,53.73,35.79,0.6561,0.1318,0.2122,1.99,0.76,43.4,21.1,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,44.0,13.0,41.0,23.0,7.0,0.0,2.0,1.0,0.0,7.0,2.0,2.0,0.0,23.0,13.0,41.0,17.0,8.0,0.0
2020,04/10/20,1882,turkey,Denizlispor,Konyaspor,28.77,41.62,0.3382,0.3746,0.2872,1.16,1.24,44.7,19.5,0.0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,22.0,5.0,41.0,16.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,11.0,6.0,0.0,0.0
2020,04/10/20,1882,turkey,Alanyaspor,Hatayspor,51.38,36.21,0.6214,0.1438,0.2348,1.79,0.72,43.4,22.1,6.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,2.0,42.0,17.0,40.0,17.0,4.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,23.0,9.0,41.0,8.0,9.0,2.0
2020,04/10/20,1882,turkey,Besiktas,Genclerbirligi,55.73,31.26,0.7063,0.1059,0.1879,2.19,0.71,49.6,38.1,0.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,34.0,10.0,52.0,12.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,4.0,12.0,5.0,2.0,0.0
2020,04/10/20,1882,turkey,Kasimpasa,Galatasaray,41.38,59.45,0.2445,0.5128,0.2428,1.16,1.78,21.6,67.9,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,34.0,13.0,46.0,14.0,8.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,0.0,44.0,23.0,44.0,15.0,10.0,0.0
2020,17/10/20,1882,turkey,Rizespor,Ankaragucu,34.67,29.79,0.5006,0.223,0.2764,1.46,0.88,43.9,42.3,5.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,29.0,12.0,34.0,15.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,24.0,12.0,40.0,15.0,6.0,0.0
2020,17/10/20,1882,turkey,Konyaspor,Yeni Malatyaspor,41.66,33.38,0.5219,0.2152,0.2629,1.58,0.91,19.7,36.7,1.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,31.0,10.0,36.0,10.0,7.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,37.0,9.0,46.0,17.0,6.0,0.0
2020,17/10/20,1882,turkey,Kayserispor,Sivasspor,31.65,43.77,0.34,0.3939,0.2661,1.31,1.43,37.0,19.5,1.0,3.0,1.0,0.0,2.0,2.0,5.0,3.0,1.0,34.0,6.0,42.0,8.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,32.0,10.0,39.0,20.0,5.0,0.0
2020,17/10/20,1882,turkey,Trabzonspor,Buyuksehyr,60.21,52.07,0.5543,0.2133,0.2324,1.89,1.09,61.3,31.2,0.0,2.0,1.0,2.0,0.0,4.0,2.0,0.0,3.0,27.0,11.0,33.0,18.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,49.0,14.0,38.0,17.0,7.0,1.0
2020,18/10/20,1882,turkey,Antalyaspor,Gaziantep,39.73,40.52,0.4456,0.2834,0.271,1.46,1.11,24.1,24.6,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,25.0,10.0,57.0,13.0,6.0,0.0,0.0,3.0,0.0,5.0,1.0,5.0,1.0,33.0,15.0,41.0,16.0,7.0,0.0
2020,18/10/20,1882,turkey,Karagumruk,Kasimpasa,35.96,42.15,0.3935,0.3385,0.268,1.41,1.29,26.1,19.7,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,29.0,10.0,32.0,16.0,6.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,34.0,18.0,42.0,14.0,7.0,1.0
2020,18/10/20,1882,turkey,Goztep,Fenerbahce,41.03,53.59,0.3048,0.4381,0.2571,1.27,1.58,19.6,48.2,2.0,3.0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,18.0,5.0,50.0,11.0,5.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,35.0,9.0,44.0,15.0,7.0,1.0
