season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,08/08/20,1832,belgium,Club Brugge,Charleroi,69.94,51.66,0.6516,0.1283,0.2201,1.87,0.68,,,0.0,1.0
2020,08/08/20,1832,belgium,Standard,Cercle Brugge,51.06,32.24,0.6592,0.1316,0.2092,1.99,0.76,,,1.0,0.0
2020,08/08/20,1832,belgium,Antwerp,Mouscron,48.33,37.83,0.5693,0.1831,0.2477,1.68,0.83,,,1.0,1.0
2020,09/08/20,1832,belgium,St Truiden,Gent,36.33,58.04,0.2581,0.5019,0.2401,1.21,1.77,,,2.0,1.0
2020,09/08/20,1832,belgium,Waregem,Genk,36.87,53.32,0.3032,0.4619,0.2349,1.43,1.81,,,1.0,2.0
2020,09/08/20,1832,belgium,Mechelen,Anderlecht,40.68,57.68,0.2939,0.4487,0.2574,1.21,1.55,,,2.0,2.0
2020,09/08/20,1832,belgium,Kortrijk,Waasland-Beveren,39.46,26.05,0.6135,0.159,0.2275,1.85,0.82,,,1.0,3.0
2020,10/08/20,1832,belgium,Oud-Heverlee Leuven,Eupen,32.4,31.52,0.4717,0.2632,0.2651,1.5,1.05,,,1.0,1.0
2020,10/08/20,1832,belgium,Oostende,Beerschot VA,28.49,32.79,0.4121,0.3182,0.2697,1.4,1.19,,,1.0,2.0
2020,14/08/20,1832,belgium,Mouscron,Mechelen,37.83,40.68,0.4347,0.3013,0.264,1.48,1.18,,,0.0,1.0
2020,15/08/20,1832,belgium,Genk,Oud-Heverlee Leuven,53.32,32.4,0.6771,0.1268,0.1961,2.14,0.8,,,1.0,1.0
2020,15/08/20,1832,belgium,Gent,Kortrijk,58.04,39.46,0.6527,0.14300000000000002,0.2044,2.08,0.86,,,1.0,2.0
2020,15/08/20,1832,belgium,Charleroi,Oostende,51.66,28.49,0.7052,0.1013,0.1935,2.07,0.63,,,1.0,0.0
2020,16/08/20,1832,belgium,Cercle Brugge,Antwerp,32.24,48.33,0.2991,0.4347,0.2662,1.16,1.46,,,2.0,1.0
2020,16/08/20,1832,belgium,Beerschot VA,Waregem,32.79,36.87,0.4214,0.32,0.2587,1.5,1.28,,,3.0,1.0
2020,16/08/20,1832,belgium,Eupen,Club Brugge,31.52,69.94,0.1301,0.6735,0.1964,0.82,2.14,,,0.0,4.0
2020,16/08/20,1832,belgium,Anderlecht,St Truiden,57.68,36.33,0.6815,0.1164,0.2021,2.03,0.69,,,3.0,1.0
2020,17/08/20,1832,belgium,Waasland-Beveren,Standard,27.03,50.49,0.2301,0.5229,0.247,1.04,1.7,,,1.0,2.0
2020,21/08/20,1832,belgium,Kortrijk,Eupen,36.88,31.85,0.5184,0.2327,0.2488,1.68,1.04,,,0.0,0.0
2020,22/08/20,1832,belgium,Waregem,Waasland-Beveren,36.38,28.36,0.5562,0.2108,0.233,1.85,1.05,,,4.0,1.0
2020,22/08/20,1832,belgium,Mechelen,Cercle Brugge,41.22,32.1,0.5609,0.2004,0.2387,1.78,0.96,,,2.0,3.0
2020,22/08/20,1832,belgium,Oud-Heverlee Leuven,Charleroi,32.05,53.22,0.2549,0.4775,0.2676,1.01,1.49,,,1.0,3.0
2020,22/08/20,1832,belgium,Antwerp,Gent,47.6,56.79,0.3784,0.3604,0.2612,1.4,1.36,,,1.0,0.0
2020,23/08/20,1832,belgium,Standard,Genk,51.03,53.8,0.4439,0.3037,0.2524,1.59,1.28,,,0.0,0.0
2020,23/08/20,1832,belgium,Club Brugge,Beerschot VA,68.27,33.71,0.8355,0.0353,0.1292,2.43,0.33,,,0.0,1.0
2020,23/08/20,1832,belgium,Anderlecht,Mouscron,58.11,38.48,0.6595,0.1264,0.2141,1.92,0.7,,,1.0,1.0
2020,24/08/20,1832,belgium,St Truiden,Oostende,37.56,28.47,0.5648,0.1942,0.24100000000000002,1.75,0.92,,,0.0,0.0
2020,28/08/20,1832,belgium,Oostende,Anderlecht,28.85,57.11,0.212,0.5429,0.2451,0.98,1.71,37.0,18.8,2.0,2.0
2020,29/08/20,1832,belgium,Eupen,St Truiden,32.17,37.03,0.4278,0.2975,0.2748,1.38,1.1,32.4,10.9,1.0,1.0
2020,29/08/20,1832,belgium,Waasland-Beveren,Oud-Heverlee Leuven,26.83,31.12,0.4201,0.3152,0.2647,1.45,1.22,41.6,32.5,1.0,3.0
2020,29/08/20,1832,belgium,Cercle Brugge,Kortrijk,33.66,36.41,0.4304,0.3044,0.2652,1.46,1.19,13.8,15.6,0.0,1.0
2020,29/08/20,1832,belgium,Mouscron,Waregem,39.39,37.95,0.4822,0.267,0.2509,1.64,1.16,10.4,12.5,0.0,1.0
2020,30/08/20,1832,belgium,Genk,Club Brugge,53.87,66.23,0.3179,0.4194,0.2628,1.24,1.46,16.4,27.5,1.0,2.0
2020,30/08/20,1832,belgium,Beerschot VA,Standard,35.67,50.74,0.3066,0.41700000000000004,0.2764,1.12,1.35,5.1,9.3,0.0,3.0
2020,30/08/20,1832,belgium,Charleroi,Antwerp,54.39,48.13,0.5213,0.2133,0.2653,1.53,0.87,10.7,10.7,2.0,0.0
2020,30/08/20,1832,belgium,Gent,Mechelen,55.95,39.67,0.6359,0.1601,0.204,2.13,0.97,4.9,7.1,1.0,0.0
2020,11/09/20,1832,belgium,Eupen,Gent,31.98,55.93,0.2556,0.4913,0.2531,1.1,1.63,29.4,4.1,2.0,1.0
2020,12/09/20,1832,belgium,Mechelen,Oostende,39.43,29.83,0.5555,0.2056,0.2389,1.78,0.98,11.5,26.3,0.0,1.0
2020,12/09/20,1832,belgium,Oud-Heverlee Leuven,Standard,32.72,53.16,0.2684,0.4679,0.2637,1.08,1.51,22.1,13.0,1.0,0.0
2020,12/09/20,1832,belgium,Club Brugge,Waasland-Beveren,66.85,25.35,0.8802,0.0241,0.0958,2.8,0.31,22.5,39.9,4.0,1.0
2020,13/09/20,1832,belgium,Anderlecht,Cercle Brugge,56.18,32.58,0.7031,0.1048,0.1921,2.1,0.67,13.1,12.7,2.0,0.0
2020,13/09/20,1832,belgium,St Truiden,Antwerp,37.2,46.86,0.3623,0.3554,0.2822,1.22,1.2,12.9,10.3,2.0,3.0
2020,13/09/20,1832,belgium,Waregem,Charleroi,39.07,55.57,0.2919,0.4532,0.2549,1.22,1.58,9.9,14.3,0.0,2.0
2020,13/09/20,1832,belgium,Kortrijk,Mouscron,37.43,38.18,0.4474,0.2749,0.2777,1.38,1.02,12.0,14.6,3.0,0.0
2020,14/09/20,1832,belgium,Beerschot VA,Genk,33.42,53.22,0.2723,0.47600000000000003,0.2517,1.17,1.63,6.5,7.6,5.0,2.0
2020,18/09/20,1832,belgium,Charleroi,Beerschot VA,56.95,36.86,0.6806,0.1142,0.2051,1.99,0.67,13.2,2.3,3.0,1.0
2020,19/09/20,1832,belgium,Oostende,Oud-Heverlee Leuven,31.02,33.6,0.4456,0.2795,0.2748,1.4,1.05,31.5,16.2,3.0,1.0
2020,19/09/20,1832,belgium,Mouscron,Gent,36.0,54.5,0.2913,0.4467,0.262,1.17,1.51,17.1,10.3,0.0,1.0
2020,19/09/20,1832,belgium,Waasland-Beveren,Anderlecht,25.51,56.76,0.18600000000000003,0.6003,0.2137,1.06,2.06,42.6,18.7,2.0,4.0
2020,20/09/20,1832,belgium,Waregem,Club Brugge,37.52,66.89,0.179,0.6025,0.2185,0.98,1.99,9.9,26.0,0.0,6.0
2020,20/09/20,1832,belgium,Standard,Kortrijk,52.05,39.71,0.5977,0.1599,0.2424,1.71,0.75,13.6,3.9,2.0,1.0
2020,20/09/20,1832,belgium,Genk,Mechelen,49.97,38.02,0.5842,0.1992,0.2167,2.04,1.11,3.8,10.6,3.0,1.0
2020,20/09/20,1832,belgium,Antwerp,Eupen,47.67,33.34,0.6001,0.1612,0.2387,1.74,0.77,6.6,17.7,2.0,2.0
