season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,12/09/20,2411,england,Fulham,Arsenal,64.18,77.16,0.2817,0.4608,0.2575,1.17,1.56,37.3,32.6,0.0,3.0
2020,12/09/20,2411,england,Crystal Palace,Southampton,67.69,72.48,0.3698,0.3531,0.2771,1.27,1.23,32.1,18.1,1.0,0.0
2020,12/09/20,2411,england,Liverpool,Leeds,91.07,64.09,0.8358,0.0438,0.1203,2.67,0.47,55.5,35.5,4.0,3.0
2020,12/09/20,2411,england,West Ham,Newcastle,70.38,64.72,0.4887,0.2556,0.2558,1.6,1.08,24.1,36.1,0.0,2.0
2020,13/09/20,2411,england,West Brom,Leicester,61.67,79.02,0.2392,0.5013,0.2596,1.0,1.57,38.5,38.3,0.0,3.0
2020,13/09/20,2411,england,Tottenham,Everton,78.51,74.05,0.5024,0.2443,0.2533,1.63,1.06,42.9,25.6,0.0,1.0
2020,14/09/20,2411,england,Sheffield United,Wolves,69.2,78.0,0.3155,0.382,0.3024,1.01,1.14,29.2,32.0,0.0,2.0
2020,14/09/20,2411,england,Brighton,Chelsea,68.03,85.37,0.1944,0.5806,0.2249,1.02,1.93,28.3,61.0,1.0,3.0
2020,19/09/20,2411,england,Everton,West Brom,74.96,60.24,0.5662,0.1817,0.252,1.64,0.81,23.9,41.9,5.0,2.0
2020,19/09/20,2411,england,Leeds,Fulham,64.27,61.96,0.4509,0.2783,0.2708,1.44,1.07,40.6,41.2,4.0,3.0
2020,19/09/20,2411,england,Man United,Crystal Palace,86.83,68.03,0.7097,0.0963,0.1941,2.04,0.6,63.0,22.0,1.0,3.0
2020,19/09/20,2411,england,Arsenal,West Ham,79.17,68.77,0.5707,0.201,0.2283,1.89,1.03,42.8,23.1,2.0,1.0
2020,20/09/20,2411,england,Southampton,Tottenham,72.32,77.91,0.3495,0.3883,0.2622,1.33,1.41,19.5,31.7,2.0,5.0
2020,20/09/20,2411,england,Newcastle,Brighton,66.46,68.46,0.395,0.3235,0.2815,1.28,1.13,29.3,32.6,0.0,3.0
2020,20/09/20,2411,england,Chelsea,Liverpool,85.04,90.62,0.3359,0.4314,0.2327,1.56,1.79,60.6,58.9,0.0,2.0
2020,20/09/20,2411,england,Leicester,Burnley,80.34,69.08,0.5784,0.1761,0.2455,1.69,0.81,46.8,27.8,4.0,2.0
2020,21/09/20,2411,england,Aston Villa,Sheffield United,66.48,68.43,0.4085,0.307,0.2844,1.29,1.08,35.1,34.2,1.0,0.0
2020,21/09/20,2411,england,Wolves,Man City,78.54,94.11,0.1549,0.6341,0.21100000000000002,0.89,2.03,42.6,76.0,1.0,3.0
2020,26/09/20,2411,england,Brighton,Man United,70.26,85.38,0.2135,0.5444,0.2421,1.0,1.75,20.9,55.4,2.0,3.0
2020,26/09/20,2411,england,Crystal Palace,Everton,69.71,75.8,0.3302,0.3928,0.27699999999999997,1.18,1.31,17.9,34.9,1.0,2.0
2020,26/09/20,2411,england,West Brom,Chelsea,58.24,84.16,0.1528,0.6443,0.2029,0.93,2.13,43.5,55.3,3.0,3.0
2020,26/09/20,2411,england,Burnley,Southampton,69.22,70.94,0.4048,0.3321,0.2631,1.44,1.28,31.6,24.9,0.0,1.0
2020,27/09/20,2411,england,Sheffield United,Leeds,67.59,63.59,0.4454,0.2793,0.2754,1.4,1.05,40.4,39.8,0.0,1.0
2020,27/09/20,2411,england,Tottenham,Newcastle,78.56,64.78,0.6036,0.1677,0.2288,1.85,0.86,39.4,32.0,1.0,1.0
2020,27/09/20,2411,england,Man City,Leicester,94.16,79.59,0.7425,0.0957,0.1618,2.48,0.77,80.8,54.1,2.0,5.0
2020,27/09/20,2411,england,West Ham,Wolves,69.01,78.46,0.3324,0.3933,0.2743,1.2,1.33,30.4,33.2,4.0,0.0
2020,28/09/20,2411,england,Fulham,Aston Villa,61.8,67.61,0.373,0.3521,0.2748,1.29,1.24,42.4,32.9,0.0,3.0
2020,28/09/20,2411,england,Liverpool,Arsenal,91.38,78.83,0.66,0.1468,0.1932,2.25,0.96,65.0,46.1,3.0,1.0
2020,03/10/20,2411,england,Chelsea,Crystal Palace,83.65,68.75,0.6733,0.1272,0.1995,2.09,0.78,62.4,16.0,4.0,0.0
2020,03/10/20,2411,england,Everton,Brighton,76.6,71.45,0.5098,0.2357,0.2544,1.62,1.02,41.9,17.7,4.0,2.0
2020,03/10/20,2411,england,Leeds,Man City,64.26,92.85,0.0873,0.7709999999999999,0.1417,0.85,2.78,27.3,69.2,1.0,1.0
2020,03/10/20,2411,england,Newcastle,Burnley,64.22,69.05,0.377,0.341,0.282,1.25,1.17,40.8,32.5,3.0,1.0
2020,04/10/20,2411,england,Leicester,West Ham,81.71,71.38,0.5933,0.1875,0.2192,1.99,1.02,59.7,20.0,0.0,3.0
2020,04/10/20,2411,england,Southampton,West Brom,71.66,58.44,0.5561,0.2039,0.24,1.76,0.97,26.0,42.8,2.0,0.0
2020,04/10/20,2411,england,Arsenal,Sheffield United,78.69,66.93,0.5815,0.1772,0.2413,1.73,0.84,42.2,38.5,2.0,1.0
2020,04/10/20,2411,england,Wolves,Fulham,76.14,59.94,0.5636,0.1843,0.2521,1.64,0.82,20.2,42.3,1.0,0.0
2020,04/10/20,2411,england,Man United,Tottenham,83.96,78.87,0.5211,0.24600000000000002,0.2329,1.86,1.21,59.7,42.9,1.0,6.0
2020,04/10/20,2411,england,Aston Villa,Liverpool,69.04,91.44,0.1201,0.7,0.18,0.85,2.33,20.9,79.6,7.0,2.0
2020,17/10/20,2411,england,Everton,Liverpool,76.89,88.81,0.2461,0.5353,0.2186,1.34,2.05,52.6,66.4,2.0,2.0
2020,17/10/20,2411,england,Chelsea,Southampton,84.52,72.31,0.6372,0.1561,0.2067,2.09,0.92,60.8,20.7,3.0,3.0
2020,17/10/20,2411,england,Man City,Arsenal,92.02,78.56,0.6943,0.1291,0.1766,2.43,0.96,80.8,50.8,1.0,0.0
2020,17/10/20,2411,england,Newcastle,Man United,65.22,81.34,0.2254,0.5416,0.233,1.12,1.85,29.7,48.3,1.0,4.0
2020,18/10/20,2411,england,Sheffield United,Fulham,67.39,60.7,0.4739,0.2466,0.2795,1.39,0.92,51.5,50.1,1.0,1.0
2020,18/10/20,2411,england,Crystal Palace,Brighton,67.68,70.38,0.3834,0.342,0.2746,1.31,1.22,28.8,26.4,1.0,1.0
2020,18/10/20,2411,england,Tottenham,West Ham,81.3,73.65,0.5588,0.217,0.2242,1.96,1.14,58.2,28.2,3.0,3.0
2020,18/10/20,2411,england,Leicester,Aston Villa,79.83,72.43,0.5424,0.2234,0.2342,1.84,1.1,54.8,30.7,0.0,1.0
2020,19/10/20,2411,england,West Brom,Burnley,58.34,67.75,0.3278,0.3969,0.2753,1.18,1.33,44.1,44.2,0.0,0.0
2020,19/10/20,2411,england,Leeds,Wolves,65.87,75.81,0.3342,0.3881,0.2777,1.18,1.3,25.0,22.2,0.0,1.0
2020,23/10/20,2411,england,Aston Villa,Leeds,73.95,66.41,0.528,0.2304,0.2416,1.76,1.08,40.8,26.2,0.0,3.0
2020,24/10/20,2411,england,West Ham,Man City,74.1,92.0,0.1623,0.6501,0.1876,1.12,2.39,34.8,74.9,1.0,1.0
2020,24/10/20,2411,england,Fulham,Crystal Palace,61.47,66.66,0.3859,0.3326,0.2816,1.27,1.16,46.0,35.1,1.0,2.0
2020,24/10/20,2411,england,Man United,Chelsea,82.69,83.55,0.4231,0.3411,0.2358,1.74,1.55,66.4,66.4,0.0,0.0
