season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,18/09/20,1845,germany,Bayern Munich,Schalke 04,94.66,62.39,0.9111,0.0167,0.0722,3.18,0.31,65.8,25.0,8.0,0.0
2020,19/09/20,1845,germany,Ein Frankfurt,Bielefeld,70.56,59.47,0.5554,0.195,0.2496,1.71,0.91,31.6,35.0,1.0,1.0
2020,19/09/20,1845,germany,Stuttgart,Freiburg,61.7,64.7,0.3884,0.3342,0.2775,1.34,1.23,33.4,27.2,2.0,3.0
2020,19/09/20,1845,germany,FC Koln,Hoffenheim,63.8,72.55,0.3188,0.4334,0.2478,1.41,1.68,23.3,42.4,2.0,3.0
2020,19/09/20,1845,germany,Union Berlin,Augsburg,62.03,62.12,0.4219,0.2916,0.2864,1.33,1.06,35.8,32.4,1.0,3.0
2020,19/09/20,1845,germany,Werder Bremen,Hertha,64.82,67.88,0.3964,0.3308,0.2728,1.39,1.25,28.7,22.8,1.0,4.0
2020,19/09/20,1845,germany,Dortmund,M'gladbach,84.12,77.64,0.5225,0.2334,0.2441,1.78,1.11,69.9,66.1,3.0,0.0
2020,20/09/20,1845,germany,RB Leipzig,Mainz,83.94,64.66,0.6992,0.111,0.1898,2.21,0.75,63.8,22.7,3.0,1.0
2020,20/09/20,1845,germany,Wolfsburg,Leverkusen,72.25,77.92,0.3399,0.3895,0.2707,1.29,1.4,43.5,63.0,0.0,0.0
2020,25/09/20,1845,germany,Hertha,Ein Frankfurt,69.37,70.85,0.4119,0.3289,0.2592,1.53,1.35,34.4,32.9,1.0,3.0
2020,26/09/20,1845,germany,Mainz,Stuttgart,64.02,61.51,0.4589,0.2745,0.2666,1.53,1.12,32.3,34.7,1.0,4.0
2020,26/09/20,1845,germany,Bielefeld,FC Koln,59.09,63.55,0.3721,0.3528,0.2751,1.33,1.29,38.9,30.5,1.0,0.0
2020,26/09/20,1845,germany,Augsburg,Dortmund,63.03,84.67,0.1722,0.5965,0.2313,0.9,1.88,24.8,59.6,2.0,0.0
2020,26/09/20,1845,germany,M'gladbach,Union Berlin,77.03,60.98,0.6255,0.1498,0.2248,1.91,0.81,47.3,35.1,1.0,1.0
2020,26/09/20,1845,germany,Leverkusen,RB Leipzig,78.04,84.18,0.344,0.3951,0.2609,1.37,1.49,62.3,62.1,1.0,1.0
2020,26/09/20,1845,germany,Schalke 04,Werder Bremen,60.22,63.05,0.3964,0.3249,0.2787,1.35,1.19,41.0,36.6,1.0,3.0
2020,27/09/20,1845,germany,Hoffenheim,Bayern Munich,72.38,95.32,0.1226,0.7183,0.1591,1.11,2.8,57.8,49.0,4.0,1.0
2020,27/09/20,1845,germany,Freiburg,Wolfsburg,64.23,72.47,0.3424,0.389,0.2687,1.31,1.41,23.2,34.0,1.0,1.0
2020,02/10/20,1845,germany,Union Berlin,Mainz,61.78,61.42,0.4176,0.3115,0.271,1.44,1.21,38.6,37.1,4.0,0.0
2020,03/10/20,1845,germany,Stuttgart,Leverkusen,63.58,78.25,0.2473,0.4912,0.2615,1.06,1.6,26.0,57.0,1.0,1.0
2020,03/10/20,1845,germany,Dortmund,Freiburg,84.04,64.77,0.6928,0.11599999999999999,0.1912,2.21,0.78,64.7,28.0,4.0,0.0
2020,03/10/20,1845,germany,Ein Frankfurt,Hoffenheim,71.81,74.83,0.3776,0.3802,0.2422,1.64,1.64,43.7,62.9,2.0,1.0
2020,03/10/20,1845,germany,Werder Bremen,Bielefeld,64.29,58.7,0.4898,0.2367,0.2734,1.49,0.95,33.5,36.8,1.0,0.0
2020,03/10/20,1845,germany,FC Koln,M'gladbach,64.39,76.51,0.2874,0.4597,0.2529,1.26,1.66,28.8,47.0,1.0,3.0
2020,03/10/20,1845,germany,RB Leipzig,Schalke 04,84.13,58.46,0.7874,0.0617,0.1509,2.43,0.53,64.5,37.2,4.0,0.0
2020,04/10/20,1845,germany,Wolfsburg,Augsburg,72.23,63.91,0.5169,0.2135,0.2696,1.53,0.88,28.8,20.3,0.0,0.0
2020,04/10/20,1845,germany,Bayern Munich,Hertha,94.33,68.37,0.8733,0.034,0.0927,3.15,0.52,75.7,34.5,4.0,3.0
2020,17/10/20,1845,germany,Augsburg,RB Leipzig,64.26,85.29,0.1775,0.5916,0.2309,0.93,1.89,25.0,53.0,0.0,2.0
2020,17/10/20,1845,germany,Freiburg,Werder Bremen,63.37,64.04,0.4315,0.3053,0.2632,1.53,1.25,27.7,22.7,1.0,1.0
2020,17/10/20,1845,germany,Hertha,Stuttgart,68.94,63.54,0.499,0.2468,0.2541,1.67,1.1,27.3,21.8,0.0,2.0
2020,17/10/20,1845,germany,Hoffenheim,Dortmund,73.71,85.06,0.299,0.4601,0.2409,1.41,1.79,58.8,57.3,0.0,1.0
2020,17/10/20,1845,germany,Mainz,Leverkusen,59.02,78.27,0.2371,0.5187,0.2443,1.13,1.78,43.5,49.0,0.0,1.0
2020,17/10/20,1845,germany,Bielefeld,Bayern Munich,59.35,93.97,0.0535,0.828,0.1185,0.64,2.92,28.2,75.4,1.0,4.0
2020,17/10/20,1845,germany,M'gladbach,Wolfsburg,77.57,72.04,0.5286,0.2134,0.258,1.64,0.94,58.3,27.3,1.0,1.0
2020,18/10/20,1845,germany,FC Koln,Ein Frankfurt,63.16,72.91,0.3199,0.4262,0.2539,1.36,1.61,34.1,42.7,1.0,1.0
2020,18/10/20,1845,germany,Schalke 04,Union Berlin,56.75,63.99,0.3697,0.3459,0.2843,1.26,1.21,43.3,28.4,1.0,1.0
2020,23/10/20,1845,germany,Stuttgart,FC Koln,64.48,62.82,0.4263,0.3061,0.2676,1.48,1.22,21.8,36.0,1.0,1.0
2020,24/10/20,1845,germany,Mainz,M'gladbach,59.07,77.16,0.2438,0.5125,0.2437,1.16,1.79,41.3,44.5,2.0,3.0
2020,24/10/20,1845,germany,Union Berlin,Freiburg,64.58,63.26,0.4273,0.2974,0.2753,1.42,1.14,29.7,27.6,1.0,1.0
2020,24/10/20,1845,germany,RB Leipzig,Hertha,85.72,68.05,0.6794,0.1249,0.1957,2.19,0.82,57.3,27.8,2.0,1.0
2020,24/10/20,1845,germany,Bayern Munich,Ein Frankfurt,94.37,73.37,0.8252,0.0588,0.11599999999999999,3.07,0.74,63.1,49.7,5.0,0.0
2020,24/10/20,1845,germany,Dortmund,Schalke 04,85.05,56.59,0.8069,0.0494,0.1437,2.42,0.44,62.4,39.2,3.0,0.0
2020,25/10/20,1845,germany,Wolfsburg,Bielefeld,72.16,59.09,0.5468,0.1823,0.2708,1.52,0.76,22.0,35.0,2.0,1.0
2020,25/10/20,1845,germany,Werder Bremen,Hoffenheim,64.27,73.11,0.3054,0.4437,0.2509,1.34,1.66,20.5,46.8,1.0,1.0
2020,26/10/20,1845,germany,Leverkusen,Augsburg,78.65,63.05,0.6375,0.133,0.2295,1.83,0.69,60.6,22.0,3.0,1.0
2020,30/10/20,1845,germany,Schalke 04,Stuttgart,55.95,63.52,0.3634,0.3527,0.2839,1.25,1.23,43.3,24.1,1.0,1.0
2020,31/10/20,1845,germany,FC Koln,Bayern Munich,63.96,94.35,0.0737,0.8025,0.1238,0.89,3.11,26.0,58.4,1.0,2.0
2020,31/10/20,1845,germany,Augsburg,Mainz,62.36,58.79,0.4348,0.297,0.2682,1.49,1.18,25.6,42.5,3.0,1.0
2020,31/10/20,1845,germany,Ein Frankfurt,Werder Bremen,72.43,64.05,0.5449,0.2082,0.2469,1.75,0.98,36.8,18.6,1.0,1.0
2020,31/10/20,1845,germany,Bielefeld,Dortmund,58.75,85.98,0.1462,0.6263,0.2275,0.78,1.88,40.8,48.3,0.0,2.0
2020,31/10/20,1845,germany,M'gladbach,RB Leipzig,76.49,84.71,0.3344,0.4142,0.2514,1.43,1.61,65.7,55.8,1.0,0.0
2020,01/11/20,1845,germany,Freiburg,Leverkusen,63.34,78.32,0.2499,0.4885,0.2616,1.07,1.59,22.6,54.9,2.0,4.0
2020,01/11/20,1845,germany,Hertha,Wolfsburg,67.67,72.17,0.3834,0.3458,0.2708,1.38,1.3,18.5,24.0,1.0,1.0
2020,02/11/20,1845,germany,Hoffenheim,Union Berlin,74.22,64.84,0.5719,0.1879,0.2402,1.8,0.93,45.7,23.2,1.0,3.0
2020,06/11/20,1845,germany,Werder Bremen,FC Koln,63.64,64.94,0.3986,0.3258,0.2756,1.37,1.22,23.7,33.1,1.0,1.0
2020,07/11/20,1845,germany,Mainz,Schalke 04,58.19,55.34,0.4693,0.2678,0.263,1.57,1.12,48.3,50.0,2.0,2.0
2020,07/11/20,1845,germany,Augsburg,Hertha,62.81,67.88,0.3655,0.3625,0.2721,1.34,1.33,18.7,17.5,0.0,3.0
2020,07/11/20,1845,germany,RB Leipzig,Freiburg,84.98,62.91,0.725,0.0962,0.1788,2.28,0.7,61.4,22.1,3.0,0.0
2020,07/11/20,1845,germany,Union Berlin,Bielefeld,66.52,57.38,0.494,0.2213,0.2847,1.41,0.85,21.1,41.4,5.0,0.0
2020,07/11/20,1845,germany,Stuttgart,Ein Frankfurt,64.18,72.84,0.316,0.4182,0.2659,1.26,1.48,18.5,34.9,2.0,2.0
2020,07/11/20,1845,germany,Dortmund,Bayern Munich,87.23,94.28,0.2652,0.5062,0.2285,1.39,1.98,67.8,88.8,2.0,3.0
2020,08/11/20,1845,germany,Wolfsburg,Hoffenheim,72.13,73.9,0.3783,0.3625,0.2592,1.47,1.43,25.0,42.4,2.0,1.0
2020,08/11/20,1845,germany,Leverkusen,M'gladbach,78.71,79.19,0.4108,0.3282,0.261,1.52,1.33,68.9,75.1,4.0,3.0
2020,21/11/20,1845,germany,Hoffenheim,Stuttgart,74.12,63.24,0.5836,0.1974,0.21899999999999997,2.07,1.12,31.0,17.5,3.0,3.0
2020,21/11/20,1845,germany,Bielefeld,Leverkusen,55.02,78.31,0.1824,0.5729,0.2447,0.87,1.75,41.8,60.0,1.0,2.0
2020,21/11/20,1845,germany,Bayern Munich,Werder Bremen,93.96,64.21,0.9033,0.0227,0.0741,3.34,0.43,68.9,14.7,1.0,1.0
2020,21/11/20,1845,germany,Schalke 04,Wolfsburg,55.58,71.63,0.2888,0.4368,0.2743,1.12,1.44,43.9,21.6,0.0,2.0
2020,21/11/20,1845,germany,M'gladbach,Augsburg,79.22,60.88,0.6961,0.1127,0.1912,2.2,0.75,68.0,16.8,1.0,1.0
2020,21/11/20,1845,germany,Ein Frankfurt,RB Leipzig,73.08,85.06,0.2756,0.4775,0.2469,1.27,1.74,40.1,54.4,1.0,1.0
2020,21/11/20,1845,germany,Hertha,Dortmund,69.87,87.68,0.2045,0.56,0.2355,1.04,1.87,23.3,44.8,2.0,5.0
2020,22/11/20,1845,germany,Freiburg,Mainz,62.81,57.17,0.4686,0.284,0.2474,1.73,1.3,31.4,49.6,1.0,3.0
2020,22/11/20,1845,germany,FC Koln,Union Berlin,64.65,68.51,0.4024,0.3166,0.2811,1.34,1.16,34.2,19.6,1.0,2.0
2020,27/11/20,1845,germany,Wolfsburg,Werder Bremen,72.68,65.62,0.5163,0.2162,0.2674,1.55,0.91,28.3,11.3,5.0,3.0
2020,28/11/20,1845,germany,Union Berlin,Ein Frankfurt,69.32,73.34,0.3678,0.363,0.2692,1.36,1.35,26.2,31.3,3.0,3.0
2020,28/11/20,1845,germany,Stuttgart,Bayern Munich,64.28,92.97,0.0821,0.7863,0.1315,0.93,3.03,12.6,67.0,1.0,3.0
2020,28/11/20,1845,germany,Augsburg,Freiburg,61.8,61.11,0.4077,0.3201,0.2722,1.42,1.22,19.5,32.4,1.0,1.0
2020,28/11/20,1845,germany,Dortmund,FC Koln,88.17,63.65,0.7849,0.064,0.1511,2.45,0.55,45.2,32.8,1.0,2.0
2020,28/11/20,1845,germany,RB Leipzig,Bielefeld,85.38,54.61,0.8297,0.0344,0.1359,2.37,0.31,72.3,43.3,2.0,1.0
2020,28/11/20,1845,germany,M'gladbach,Schalke 04,79.61,54.35,0.7727,0.0735,0.1538,2.49,0.63,61.2,41.4,4.0,1.0
2020,29/11/20,1845,germany,Leverkusen,Hertha,79.66,69.04,0.5998,0.1767,0.2236,1.98,0.97,71.6,19.1,0.0,0.0
2020,29/11/20,1845,germany,Mainz,Hoffenheim,58.42,73.12,0.2922,0.4822,0.2255,1.54,2.02,41.3,26.0,1.0,1.0
2020,04/12/20,1845,germany,Hertha,Union Berlin,69.37,69.38,0.424,0.3095,0.2666,1.49,1.23,13.4,25.9,3.0,1.0
