season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,19/09/20,1854,italy,Fiorentina,Torino,69.23,59.11,0.5212,0.2215,0.2572,1.68,1.0,29.4,26.3,1.0,0.0
2020,19/09/20,1854,italy,Verona,Roma,59.51,74.51,0.2425,0.5092,0.2484,1.15,1.77,26.4,49.6,0.0,0.0
2020,20/09/20,1854,italy,Parma,Napoli,56.69,79.05,0.1836,0.5929,0.2235,1.03,2.03,31.9,59.1,0.0,2.0
2020,20/09/20,1854,italy,Genoa,Crotone,55.9,53.39,0.4444,0.2801,0.2755,1.47,1.11,38.3,38.9,4.0,1.0
2020,20/09/20,1854,italy,Sassuolo,Cagliari,65.1,57.04,0.5043,0.2432,0.2525,1.72,1.12,23.3,30.6,1.0,1.0
2020,20/09/20,1854,italy,Juventus,Sampdoria,82.45,60.79,0.7072,0.1107,0.182,2.35,0.82,56.1,21.5,3.0,0.0
2020,21/09/20,1854,italy,Milan,Bologna,78.82,59.32,0.6725,0.1281,0.1993,2.19,0.84,59.3,25.7,2.0,0.0
2020,26/09/20,1854,italy,Torino,Atalanta,58.43,79.1,0.1892,0.5859,0.2248,1.06,2.02,29.1,57.2,2.0,4.0
2020,26/09/20,1854,italy,Sampdoria,Benevento,60.45,54.44,0.4677,0.2609,0.2714,1.52,1.07,27.0,40.0,2.0,3.0
2020,26/09/20,1854,italy,Cagliari,Lazio,56.69,71.54,0.2532,0.4933,0.2535,1.16,1.71,30.5,44.1,0.0,2.0
2020,26/09/20,1854,italy,Inter,Fiorentina,84.34,70.03,0.6262,0.1549,0.2189,2.03,0.89,62.1,42.5,4.0,3.0
2020,27/09/20,1854,italy,Spezia,Sassuolo,53.13,65.47,0.3017,0.4322,0.266,1.24,1.53,40.3,18.5,1.0,4.0
2020,27/09/20,1854,italy,Verona,Udinese,59.11,61.05,0.3959,0.3123,0.2918,1.28,1.11,29.4,24.5,1.0,0.0
2020,27/09/20,1854,italy,Napoli,Genoa,79.63,56.97,0.6977,0.1097,0.1926,2.2,0.74,59.4,24.0,6.0,0.0
2020,27/09/20,1854,italy,Crotone,Milan,51.92,79.25,0.1448,0.6445,0.2107,0.88,2.1,37.3,61.6,0.0,2.0
2020,27/09/20,1854,italy,Roma,Juventus,75.07,82.79,0.3167,0.4326,0.2507,1.41,1.68,52.8,59.2,2.0,2.0
2020,28/09/20,1854,italy,Bologna,Parma,58.86,56.23,0.4403,0.2952,0.2646,1.56,1.23,31.4,30.6,4.0,1.0
2020,30/09/20,1854,italy,Udinese,Spezia,61.49,51.55,0.4907,0.2315,0.2778,1.49,0.93,28.8,43.1,0.0,2.0
2020,30/09/20,1854,italy,Benevento,Inter,55.55,83.84,0.122,0.6928,0.1852,0.89,2.37,25.8,62.3,2.0,5.0
2020,30/09/20,1854,italy,Lazio,Atalanta,72.56,79.68,0.3219,0.4307,0.2473,1.46,1.72,51.3,66.4,1.0,4.0
2020,02/10/20,1854,italy,Fiorentina,Sampdoria,70.33,59.04,0.5397,0.2142,0.2461,1.79,1.04,30.8,27.4,1.0,2.0
2020,03/10/20,1854,italy,Sassuolo,Crotone,66.58,51.42,0.5767,0.1886,0.2347,1.9,0.98,22.9,37.7,4.0,1.0
2020,03/10/20,1854,italy,Udinese,Roma,61.16,75.65,0.2437,0.4985,0.2578,1.09,1.67,29.2,47.3,0.0,1.0
2020,04/10/20,1854,italy,Atalanta,Cagliari,79.97,55.76,0.7495,0.0847,0.1658,2.43,0.69,67.6,31.1,5.0,2.0
2020,04/10/20,1854,italy,Benevento,Bologna,54.71,59.71,0.3723,0.3547,0.273,1.37,1.33,35.5,25.1,1.0,0.0
2020,04/10/20,1854,italy,Lazio,Inter,72.09,84.16,0.2566,0.5176,0.2258,1.41,2.06,48.4,70.0,1.0,1.0
2020,04/10/20,1854,italy,Parma,Verona,55.17,58.63,0.3964,0.3315,0.272,1.43,1.28,37.2,27.5,1.0,0.0
2020,04/10/20,1854,italy,Milan,Spezia,79.82,51.98,0.7842,0.0616,0.1543,2.41,0.52,62.6,34.9,3.0,0.0
2020,17/10/20,1854,italy,Napoli,Atalanta,81.13,79.83,0.4397,0.3131,0.2472,1.73,1.43,69.3,64.0,4.0,1.0
2020,17/10/20,1854,italy,Sampdoria,Lazio,59.93,72.35,0.2797,0.4707,0.2496,1.29,1.74,22.5,37.5,3.0,0.0
2020,17/10/20,1854,italy,Inter,Milan,84.03,80.64,0.4883,0.2735,0.2383,1.88,1.36,75.0,62.1,1.0,2.0
2020,17/10/20,1854,italy,Crotone,Juventus,51.99,82.21,0.1268,0.6795,0.1937,0.87,2.26,42.2,56.8,1.0,1.0
2020,18/10/20,1854,italy,Bologna,Sassuolo,60.04,65.73,0.3535,0.3905,0.256,1.47,1.56,23.4,22.2,3.0,4.0
2020,18/10/20,1854,italy,Spezia,Fiorentina,51.06,69.33,0.2489,0.4888,0.2623,1.08,1.62,40.0,22.9,2.0,2.0
2020,18/10/20,1854,italy,Torino,Cagliari,57.44,55.47,0.4404,0.2915,0.2681,1.53,1.19,41.5,37.9,2.0,3.0
