season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,12/09/20,1849,netherland,Heerenveen,Willem II,40.83,42.48,0.4404,0.297,0.2626,1.65,1.32,24.8,21.3,2.0,0.0
2020,12/09/20,1849,netherland,Zwolle,Feyenoord,37.51,57.22,0.2661,0.4815,0.2523,1.29,1.8,29.4,35.5,0.0,2.0
2020,12/09/20,1849,netherland,Twente,For Sittard,36.46,31.51,0.4947,0.2276,0.2777,1.56,0.97,37.4,45.7,2.0,0.0
2020,13/09/20,1849,netherland,FC Emmen,VVV Venlo,35.87,31.67,0.4886,0.23,0.2814,1.52,0.96,38.4,43.3,3.0,5.0
2020,13/09/20,1849,netherland,Heracles,Den Haag,42.16,33.87,0.5255,0.2107,0.2639,1.68,0.97,25.2,38.8,2.0,0.0
2020,13/09/20,1849,netherland,Sparta Rotterdam,Ajax,39.84,77.3,0.1124,0.7055,0.1821,0.88,2.46,21.9,65.5,0.0,1.0
2020,13/09/20,1849,netherland,Groningen,PSV Eindhoven,41.53,63.33,0.2253,0.4737,0.301,0.85,1.37,19.7,58.5,1.0,3.0
2020,13/09/20,1849,netherland,Waalwijk,Vitesse,30.17,46.57,0.3171,0.4106,0.2723,1.31,1.52,45.7,13.9,0.0,1.0
2020,18/09/20,1849,netherland,VVV Venlo,Utrecht,33.97,49.25,0.3213,0.4087,0.2699,1.34,1.54,31.9,12.6,1.0,1.0
2020,19/09/20,1849,netherland,AZ Alkmaar,Zwolle,63.21,36.52,0.7756,0.0611,0.1633,2.36,0.51,51.7,30.1,1.0,1.0
2020,19/09/20,1849,netherland,Vitesse,Sparta Rotterdam,47.95,39.89,0.5268,0.2145,0.2586,1.74,1.02,15.2,22.9,2.0,0.0
2020,19/09/20,1849,netherland,PSV Eindhoven,FC Emmen,64.47,33.58,0.8106,0.0491,0.1403,2.57,0.48,59.5,36.5,2.0,1.0
2020,19/09/20,1849,netherland,For Sittard,Heerenveen,30.38,41.69,0.3579,0.3654,0.2767,1.38,1.4,43.5,19.4,1.0,3.0
2020,20/09/20,1849,netherland,Den Haag,Groningen,32.06,40.67,0.3713,0.3136,0.3151,1.16,1.04,44.6,25.4,0.0,1.0
2020,20/09/20,1849,netherland,Willem II,Heracles,41.56,44.11,0.434,0.2891,0.2769,1.52,1.19,23.6,13.7,4.0,0.0
2020,20/09/20,1849,netherland,Feyenoord,Twente,58.13,37.65,0.6689,0.1182,0.2129,2.07,0.73,41.3,22.6,1.0,1.0
2020,20/09/20,1849,netherland,Ajax,Waalwijk,76.95,28.9,0.917,0.0113,0.0717,3.1,0.21,56.6,47.1,3.0,0.0
2020,25/09/20,1849,netherland,Twente,Groningen,37.61,41.75,0.4085,0.2691,0.3224,1.18,0.9,28.8,14.8,3.0,1.0
2020,26/09/20,1849,netherland,Zwolle,Sparta Rotterdam,38.0,38.43,0.4507,0.2762,0.2731,1.57,1.17,32.6,28.7,4.0,0.0
2020,26/09/20,1849,netherland,For Sittard,AZ Alkmaar,30.22,61.69,0.1776,0.5808,0.2416,0.94,1.89,44.9,41.5,3.0,3.0
2020,26/09/20,1849,netherland,Heerenveen,VVV Venlo,41.93,33.12,0.5352,0.2171,0.2477,1.86,1.1,16.9,30.8,1.0,0.0
2020,26/09/20,1849,netherland,Ajax,Vitesse,76.53,49.41,0.8063,0.0501,0.1436,2.53,0.48,77.1,29.8,2.0,1.0
2020,27/09/20,1849,netherland,Feyenoord,Den Haag,58.22,30.97,0.7569,0.0738,0.1693,2.38,0.6,35.9,44.9,4.0,2.0
2020,27/09/20,1849,netherland,Utrecht,Waalwijk,50.24,29.36,0.642,0.1373,0.2207,2.04,0.82,15.4,44.6,3.0,1.0
2020,27/09/20,1849,netherland,FC Emmen,Willem II,33.76,43.96,0.3701,0.3578,0.2721,1.45,1.42,39.6,16.3,1.0,1.0
2020,27/09/20,1849,netherland,Heracles,PSV Eindhoven,41.78,64.25,0.223,0.5206,0.2564,1.07,1.76,17.4,50.4,1.0,1.0
2020,02/10/20,1849,netherland,Utrecht,Heerenveen,50.57,42.1,0.5467,0.2129,0.2404,1.94,1.13,18.5,13.6,1.0,1.0
2020,03/10/20,1849,netherland,Vitesse,Heracles,51.49,42.28,0.5498,0.1965,0.2536,1.78,0.96,23.5,15.9,3.0,0.0
2020,03/10/20,1849,netherland,VVV Venlo,Den Haag,32.92,31.48,0.4646,0.2624,0.273,1.58,1.12,42.2,45.7,1.0,2.0
2020,03/10/20,1849,netherland,Twente,FC Emmen,38.07,33.6,0.4814,0.2473,0.2713,1.61,1.08,21.2,41.3,1.0,1.0
2020,04/10/20,1849,netherland,Groningen,Ajax,41.39,75.14,0.1317,0.6329,0.2354,0.71,1.87,16.8,76.3,1.0,0.0
2020,04/10/20,1849,netherland,Willem II,Feyenoord,44.11,57.87,0.3096,0.4302,0.2602,1.38,1.67,16.1,37.4,1.0,4.0
2020,04/10/20,1849,netherland,Sparta Rotterdam,AZ Alkmaar,36.65,60.22,0.2343,0.5069,0.2588,1.1,1.74,35.2,39.3,4.0,4.0
2020,04/10/20,1849,netherland,PSV Eindhoven,For Sittard,63.67,31.84,0.8186,0.0449,0.1365,2.58,0.45,64.1,40.9,2.0,0.0
2020,17/10/20,1849,netherland,Heracles,Waalwijk,40.7,29.1,0.5607,0.18100000000000002,0.2583,1.72,0.86,29.9,44.6,0.0,1.0
2020,17/10/20,1849,netherland,AZ Alkmaar,VVV Venlo,59.87,31.62,0.7653,0.0695,0.1653,2.4,0.58,33.5,41.7,2.0,2.0
2020,17/10/20,1849,netherland,Willem II,Twente,42.78,37.86,0.5012,0.2309,0.2679,1.64,1.03,22.2,21.4,0.0,3.0
2020,18/10/20,1849,netherland,Feyenoord,Sparta Rotterdam,59.25,37.38,0.6896,0.1183,0.1921,2.34,0.86,48.4,30.0,1.0,1.0
2020,18/10/20,1849,netherland,Den Haag,Vitesse,32.77,53.1,0.2702,0.4659,0.2639,1.21,1.67,41.9,30.3,0.0,2.0
2020,18/10/20,1849,netherland,Ajax,Heerenveen,74.68,40.98,0.861,0.0327,0.1063,2.92,0.44,78.7,17.5,5.0,1.0
2020,18/10/20,1849,netherland,Zwolle,PSV Eindhoven,39.83,62.39,0.2168,0.5319,0.2514,1.07,1.81,23.6,63.0,0.0,3.0
2020,18/10/20,1849,netherland,Groningen,Utrecht,41.88,51.77,0.3581,0.3398,0.3022,1.21,1.17,14.8,20.5,0.0,0.0
2020,18/10/20,1849,netherland,FC Emmen,For Sittard,33.78,33.03,0.4646,0.2662,0.2692,1.61,1.16,50.3,46.2,2.0,2.0
2020,21/10/20,1849,netherland,Waalwijk,Zwolle,29.47,39.14,0.3657,0.3502,0.2841,1.34,1.31,46.0,28.5,1.0,1.0
2020,24/10/20,1849,netherland,VVV Venlo,Ajax,33.33,74.67,0.0995,0.7265,0.174,0.82,2.5,37.0,71.9,0.0,13.0
2020,24/10/20,1849,netherland,Utrecht,Twente,51.9,40.25,0.574,0.1834,0.2426,1.89,0.96,15.8,9.5,2.0,1.0
2020,24/10/20,1849,netherland,Zwolle,Willem II,40.14,40.41,0.4501,0.2838,0.2661,1.63,1.25,25.4,27.4,0.0,0.0
2020,24/10/20,1849,netherland,Heerenveen,FC Emmen,41.39,33.55,0.5114,0.237,0.2517,1.82,1.17,13.7,43.8,4.0,0.0
2020,25/10/20,1849,netherland,For Sittard,Groningen,33.26,41.66,0.3814,0.3061,0.3125,1.19,1.04,42.9,15.0,1.0,3.0
2020,25/10/20,1849,netherland,Sparta Rotterdam,Heracles,38.87,40.24,0.4415,0.2826,0.2759,1.53,1.17,32.4,26.5,1.0,1.0
2020,25/10/20,1849,netherland,Vitesse,PSV Eindhoven,53.16,62.3,0.3432,0.3784,0.2784,1.33,1.41,52.1,73.5,2.0,1.0
2020,25/10/20,1849,netherland,Waalwijk,Feyenoord,28.59,58.0,0.1954,0.5634,0.2412,1.03,1.91,47.1,41.4,2.0,2.0
2020,25/10/20,1849,netherland,Den Haag,AZ Alkmaar,32.67,58.64,0.2285,0.5236,0.2478,1.15,1.86,41.2,26.6,2.0,2.0
2020,31/10/20,1849,netherland,Twente,Zwolle,40.44,39.67,0.4519,0.268,0.28,1.51,1.1,12.9,20.4,5.0,1.0
2020,31/10/20,1849,netherland,Groningen,VVV Venlo,43.19,28.45,0.5701,0.1642,0.2657,1.65,0.75,9.9,47.3,2.0,1.0
