season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,12/09/20,1869,spain,Eibar,Celta,67.39,69.21,0.4129,0.3003,0.2869,1.3,1.06,30.6,25.3,0.0,0.0
2020,12/09/20,1869,spain,Granada,Ath Bilbao,72.52,67.85,0.4849,0.2414,0.2737,1.47,0.95,29.1,26.0,2.0,0.0
2020,12/09/20,1869,spain,Cadiz,Osasuna,63.41,68.6,0.384,0.3351,0.2809,1.29,1.18,36.2,28.0,0.0,2.0
2020,13/09/20,1869,spain,Alaves,Betis,63.14,71.69,0.3401,0.384,0.2759,1.23,1.32,36.5,27.5,0.0,1.0
2020,13/09/20,1869,spain,Valladolid,Sociedad,65.12,76.5,0.2875,0.4235,0.289,1.02,1.3,35.2,45.5,1.0,1.0
2020,13/09/20,1869,spain,Villarreal,Huesca,75.77,63.71,0.5878,0.1797,0.2325,1.85,0.91,38.4,32.0,1.0,1.0
2020,13/09/20,1869,spain,Valencia,Levante,68.93,65.79,0.4663,0.2769,0.2568,1.6,1.17,25.9,27.3,4.0,2.0
2020,19/09/20,1869,spain,Villarreal,Eibar,75.95,67.4,0.5671,0.1862,0.2467,1.71,0.87,44.3,23.2,2.0,1.0
2020,19/09/20,1869,spain,Getafe,Osasuna,74.01,69.4,0.4699,0.2372,0.2929,1.32,0.85,30.6,24.6,1.0,0.0
2020,19/09/20,1869,spain,Celta,Valencia,69.96,68.42,0.4345,0.2908,0.2747,1.41,1.1,24.9,24.1,2.0,1.0
2020,20/09/20,1869,spain,Huesca,Cadiz,63.55,62.96,0.4349,0.2847,0.2805,1.37,1.05,38.6,41.6,0.0,2.0
2020,20/09/20,1869,spain,Granada,Alaves,72.92,63.46,0.526,0.2005,0.2735,1.48,0.8,30.6,37.0,2.0,1.0
2020,20/09/20,1869,spain,Betis,Valladolid,71.9,65.77,0.5073,0.2169,0.2758,1.46,0.85,32.0,35.3,2.0,0.0
2020,20/09/20,1869,spain,Sociedad,Real Madrid,76.22,89.05,0.2389,0.5092,0.2519,1.06,1.67,46.9,67.6,0.0,0.0
2020,26/09/20,1869,spain,Alaves,Getafe,62.75,74.31,0.3251,0.3637,0.3112,1.0,1.08,42.8,29.9,0.0,0.0
2020,26/09/20,1869,spain,Valencia,Huesca,67.27,62.34,0.4878,0.2504,0.2618,1.57,1.05,29.4,40.8,1.0,1.0
2020,26/09/20,1869,spain,Elche,Sociedad,62.76,76.43,0.2935,0.4244,0.2821,1.07,1.34,40.8,37.2,0.0,3.0
2020,26/09/20,1869,spain,Betis,Real Madrid,72.8,89.2,0.2153,0.5415,0.2432,1.02,1.76,44.4,57.7,2.0,3.0
2020,27/09/20,1869,spain,Osasuna,Levante,69.51,65.77,0.4512,0.282,0.2667,1.49,1.13,24.0,31.7,1.0,3.0
2020,27/09/20,1869,spain,Eibar,Ath Bilbao,66.66,67.86,0.4167,0.2901,0.2932,1.26,1.0,34.5,29.3,1.0,2.0
2020,27/09/20,1869,spain,Ath Madrid,Granada,86.32,73.31,0.6196,0.1437,0.2367,1.76,0.71,65.4,48.4,6.0,1.0
2020,27/09/20,1869,spain,Cadiz,Sevilla,64.71,80.03,0.2479,0.4774,0.2747,0.97,1.45,32.3,51.2,1.0,3.0
2020,27/09/20,1869,spain,Valladolid,Celta,65.04,70.94,0.3675,0.32299999999999995,0.3095,1.09,1.01,39.4,24.2,1.0,1.0
2020,27/09/20,1869,spain,Barcelona,Villarreal,90.14,76.41,0.6831,0.1359,0.18100000000000002,2.43,1.0,71.1,46.1,4.0,0.0
2020,29/09/20,1869,spain,Sociedad,Valencia,78.3,66.23,0.5799,0.1789,0.2412,1.76,0.86,41.9,24.5,0.0,1.0
2020,29/09/20,1869,spain,Getafe,Betis,74.52,72.2,0.4291,0.2781,0.2929,1.28,0.97,33.9,34.7,3.0,0.0
2020,30/09/20,1869,spain,Villarreal,Alaves,75.08,62.87,0.5836,0.1769,0.2396,1.77,0.86,35.2,40.2,3.0,1.0
2020,30/09/20,1869,spain,Huesca,Ath Madrid,63.7,87.19,0.163,0.6048,0.2323,0.83,1.83,37.2,56.0,0.0,0.0
2020,30/09/20,1869,spain,Real Madrid,Valladolid,89.28,65.2,0.8075,0.0434,0.1491,2.27,0.35,55.0,34.0,1.0,0.0
2020,30/09/20,1869,spain,Eibar,Elche,65.76,60.07,0.475,0.2464,0.2786,1.42,0.94,41.8,44.8,0.0,1.0
2020,01/10/20,1869,spain,Sevilla,Levante,80.51,67.72,0.5799,0.1877,0.2324,1.86,0.95,,,1.0,0.0
2020,01/10/20,1869,spain,Ath Bilbao,Cadiz,68.91,63.74,0.4694,0.248,0.2826,1.39,0.93,25.8,35.9,0.0,1.0
2020,01/10/20,1869,spain,Celta,Barcelona,70.81,90.92,0.1349,0.6706,0.1945,0.88,2.22,17.7,81.0,0.0,3.0
2020,03/10/20,1869,spain,Valladolid,Eibar,65.35,65.64,0.4143,0.2715,0.3141,1.14,0.86,44.9,41.2,1.0,2.0
2020,03/10/20,1869,spain,Ath Madrid,Villarreal,87.47,75.43,0.6108,0.1676,0.2216,1.96,0.91,62.9,50.7,0.0,0.0
2020,03/10/20,1869,spain,Sociedad,Getafe,77.94,75.64,0.4644,0.231,0.3046,1.25,0.79,47.7,43.2,3.0,0.0
2020,03/10/20,1869,spain,Elche,Huesca,60.76,63.54,0.4077,0.3027,0.2896,1.27,1.05,44.4,41.5,0.0,0.0
2020,03/10/20,1869,spain,Valencia,Betis,67.01,71.13,0.3879,0.3459,0.2662,1.4,1.31,23.5,26.1,0.0,2.0
2020,04/10/20,1869,spain,Osasuna,Celta,67.33,70.92,0.4013,0.3043,0.2944,1.23,1.03,29.7,20.8,2.0,0.0
2020,04/10/20,1869,spain,Alaves,Ath Bilbao,62.26,68.78,0.3766,0.322,0.3014,1.15,1.04,47.2,29.9,1.0,0.0
2020,04/10/20,1869,spain,Levante,Real Madrid,67.57,89.26,0.1841,0.5987,0.2172,1.04,2.04,,,0.0,2.0
2020,04/10/20,1869,spain,Cadiz,Granada,64.51,71.33,0.3558,0.36,0.2842,1.21,1.22,33.6,26.7,1.0,1.0
2020,04/10/20,1869,spain,Barcelona,Sevilla,90.99,81.01,0.6219,0.16399999999999998,0.2141,2.04,0.94,,,1.0,1.0
2020,17/10/20,1869,spain,Granada,Sevilla,71.29,82.1,0.2782,0.4469,0.275,1.06,1.42,31.3,66.7,1.0,0.0
2020,17/10/20,1869,spain,Celta,Ath Madrid,70.03,87.43,0.1923,0.5442,0.2635,0.81,1.56,21.5,58.1,0.0,2.0
2020,17/10/20,1869,spain,Real Madrid,Cadiz,89.6,64.73,0.8234,0.0398,0.1368,2.39,0.36,67.1,29.4,0.0,1.0
2020,17/10/20,1869,spain,Getafe,Barcelona,74.27,90.29,0.1748,0.5905,0.2347,0.88,1.82,35.7,74.6,1.0,0.0
2020,18/10/20,1869,spain,Eibar,Osasuna,66.58,68.41,0.4155,0.2895,0.2951,1.25,0.99,37.6,23.1,0.0,0.0
2020,18/10/20,1869,spain,Ath Bilbao,Levante,68.51,67.09,0.4288,0.2921,0.2792,1.37,1.08,31.2,28.5,2.0,0.0
2020,18/10/20,1869,spain,Villarreal,Valencia,75.98,65.2,0.5761,0.1902,0.2337,1.85,0.96,40.6,27.7,2.0,1.0
2020,18/10/20,1869,spain,Alaves,Elche,62.91,59.54,0.45799999999999996,0.2518,0.2901,1.33,0.91,47.9,44.7,0.0,2.0
2020,18/10/20,1869,spain,Huesca,Valladolid,65.33,64.14,0.4343,0.257,0.3087,1.19,0.85,45.0,47.5,2.0,2.0
2020,18/10/20,1869,spain,Betis,Sociedad,73.07,79.2,0.3546,0.3649,0.2805,1.23,1.25,39.0,50.6,0.0,3.0
