Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Anderlecht,2,2,0,1,0,0,0,7,2,17,7,3,0
16/08/2020,Anderlecht,3,1,1,0,0,1,0,15,6,15,2,2,0
23/08/2020,Anderlecht,1,1,0,1,0,0,0,16,5,16,12,2,0
28/08/2020,Anderlecht,6,4,1,2,0,1,0,38,13,48,21,7,0
13/09/2020,Anderlecht,6,4,1,2,0,2,2,44,16,45,18,7,0
19/09/2020,Anderlecht,5,3,1,2,0,2,2,44,16,41,23,6,0
27/09/2020,Anderlecht,8,4,2,1,0,4,2,45,18,36,18,5,0
04/10/2020,Anderlecht,7,3,2,1,0,3,0,38,16,34,23,4,0
18/10/2020,Anderlecht,5,6,1,1,1,2,1,28,12,38,17,7,1
23/10/2020,Anderlecht,3,6,0,2,1,2,1,32,9,37,13,7,1
01/11/2020,Anderlecht,5,6,1,1,1,4,1,42,13,45,7,7,1
08/11/2020,Anderlecht,6,3,2,1,0,4,0,51,15,38,10,3,0
22/11/2020,Anderlecht,5,2,2,1,0,3,0,40,14,41,14,6,0
29/11/2020,Anderlecht,3,3,1,1,1,1,1,37,9,38,14,6,0
04/12/2020,Anderlecht,2,3,0,2,1,1,1,30,6,44,12,8,0
11/12/2020,Anderlecht,3,4,0,2,1,1,2,41,9,43,9,6,0
15/12/2020,Anderlecht,3,2,1,2,0,1,1,43,12,45,13,7,0
18/12/2020,Anderlecht,5,3,2,1,0,2,1,45,16,43,13,5,1
27/12/2020,Anderlecht,3,2,2,0,1,1,0,31,12,43,12,3,1
10/01/2021,Anderlecht,4,2,2,0,1,2,0,43,13,33,12,1,1
15/01/2021,Anderlecht,2,2,1,0,2,1,0,53,11,30,19,4,0
19/01/2021,Anderlecht,2,3,1,0,2,1,0,58,14,27,19,7,1
22/01/2021,Anderlecht,3,3,1,0,2,2,0,46,12,20,18,6,1
26/01/2021,Anderlecht,3,2,1,1,1,2,0,53,19,20,22,4,1
31/01/2021,Anderlecht,4,1,1,2,0,2,1,52,16,22,23,2,0
07/02/2021,Anderlecht,1,1,0,3,0,0,1,47,16,31,22,2,0
14/02/2021,Anderlecht,3,2,1,2,0,2,2,32,9,33,11,3,0
21/02/2021,Anderlecht,2,1,1,2,0,2,1,25,7,34,9,3,0
28/02/2021,Anderlecht,2,3,1,1,1,2,2,25,3,36,10,3,0
