Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Antwerp,1,1,0,1,0,0,0,12,9,8,7,2,0
16/08/2020,Antwerp,1,2,0,0,1,1,0,8,3,14,2,1,0
22/08/2020,Antwerp,1,0,1,0,0,1,0,6,4,10,3,0,0
30/08/2020,Antwerp,3,3,1,1,1,2,0,26,16,32,12,3,0
13/09/2020,Antwerp,2,4,1,0,2,2,1,23,9,30,8,4,1
20/09/2020,Antwerp,4,4,2,0,1,3,3,29,12,32,10,7,2
25/09/2020,Antwerp,5,6,1,1,1,2,4,39,13,28,16,9,2
02/10/2020,Antwerp,8,5,2,1,0,2,4,44,14,28,15,6,1
18/10/2020,Antwerp,9,4,2,1,0,3,2,41,14,20,15,3,0
25/10/2020,Antwerp,10,3,3,0,0,3,2,47,21,23,15,2,0
01/11/2020,Antwerp,10,4,3,0,0,5,2,44,21,27,21,6,0
08/11/2020,Antwerp,6,4,2,0,1,2,2,48,21,28,23,8,0
21/11/2020,Antwerp,4,4,1,1,1,3,1,43,13,23,17,7,0
30/11/2020,Antwerp,2,3,0,2,1,1,0,44,15,21,14,4,0
06/12/2020,Antwerp,5,4,1,2,0,3,2,58,18,21,19,4,0
13/12/2020,Antwerp,6,7,1,1,1,3,4,51,16,29,20,7,0
16/12/2020,Antwerp,5,8,1,0,2,3,5,48,12,32,17,9,1
20/12/2020,Antwerp,2,7,0,0,3,1,4,30,5,34,8,8,1
27/12/2020,Antwerp,3,3,1,0,2,3,2,36,10,36,11,9,1
10/01/2021,Antwerp,5,2,2,0,1,3,1,44,15,38,17,7,0
17/01/2021,Antwerp,5,4,2,0,1,3,0,42,13,37,19,8,0
20/01/2021,Antwerp,3,4,2,0,1,0,0,33,7,31,16,7,0
23/01/2021,Antwerp,2,3,2,0,1,0,0,26,2,27,10,8,0
26/01/2021,Antwerp,3,2,2,0,1,1,1,28,5,24,10,8,0
29/01/2021,Antwerp,4,2,2,0,1,3,1,32,8,24,10,6,0
07/02/2021,Antwerp,6,4,2,0,1,4,2,37,14,22,20,6,0
14/02/2021,Antwerp,7,3,3,0,0,3,1,37,13,31,23,6,0
21/02/2021,Antwerp,6,4,2,1,0,2,2,40,14,44,21,9,0
01/03/2021,Antwerp,3,2,1,2,0,1,1,34,10,47,12,8,0
