Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
10/08/2020,Beerschot VA,2,1,1,0,0,1,0,6,5,12,7,2,0
16/08/2020,Beerschot VA,3,1,1,0,0,1,0,17,6,9,3,3,0
23/08/2020,Beerschot VA,1,0,1,0,0,1,0,6,2,9,1,0,0
30/08/2020,Beerschot VA,6,2,3,0,0,3,0,29,13,30,11,5,0
14/09/2020,Beerschot VA,4,4,2,0,1,2,1,43,13,32,11,6,0
18/09/2020,Beerschot VA,6,5,2,0,1,2,2,38,14,39,13,3,0
26/09/2020,Beerschot VA,6,8,1,0,2,1,3,43,14,41,13,4,0
04/10/2020,Beerschot VA,9,7,2,0,1,2,4,42,15,43,16,2,0
17/10/2020,Beerschot VA,5,10,1,0,2,1,6,50,15,40,16,3,0
25/10/2020,Beerschot VA,10,10,2,0,1,6,6,54,20,43,19,2,0
31/10/2020,Beerschot VA,9,11,1,0,2,6,6,46,16,38,15,3,0
07/11/2020,Beerschot VA,12,8,2,0,1,8,4,44,18,44,17,7,0
22/11/2020,Beerschot VA,11,10,1,1,1,4,5,52,23,44,19,9,0
29/11/2020,Beerschot VA,11,8,2,1,0,4,3,54,31,54,18,9,0
06/12/2020,Beerschot VA,10,8,2,1,0,3,4,45,27,46,13,6,0
12/12/2020,Beerschot VA,5,4,2,0,1,2,3,41,19,40,18,7,0
27/12/2020,Beerschot VA,4,6,1,0,2,1,4,39,11,28,20,7,0
30/12/2020,Beerschot VA,1,6,0,0,3,0,3,38,8,37,19,9,0
10/01/2021,Beerschot VA,1,6,0,0,3,0,3,31,8,43,11,6,0
13/01/2021,Beerschot VA,1,4,0,1,2,1,3,27,9,45,6,8,0
17/01/2021,Beerschot VA,2,3,0,2,1,2,2,22,8,34,7,6,0
20/01/2021,Beerschot VA,2,5,0,2,1,2,3,20,8,35,9,9,0
24/01/2021,Beerschot VA,2,7,0,1,2,2,4,18,8,38,11,7,1
27/01/2021,Beerschot VA,4,6,1,0,2,1,4,24,12,45,12,5,1
30/01/2021,Beerschot VA,4,3,1,1,1,1,2,18,9,41,11,3,1
07/02/2021,Beerschot VA,4,0,2,1,0,0,0,27,13,39,11,3,0
14/02/2021,Beerschot VA,2,2,1,1,1,0,0,24,11,31,13,7,0
21/02/2021,Beerschot VA,3,4,1,0,2,0,0,34,13,28,14,8,0
28/02/2021,Beerschot VA,4,5,1,0,2,0,0,32,11,27,13,9,0
