Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Cercle Brugge,0,1,0,0,1,0,0,6,1,11,4,1,0
16/08/2020,Cercle Brugge,2,1,1,0,0,0,1,11,5,17,5,1,0
22/08/2020,Cercle Brugge,3,2,1,0,0,0,1,11,4,13,8,2,0
29/08/2020,Cercle Brugge,5,4,2,0,1,0,2,28,10,41,17,4,0
13/09/2020,Cercle Brugge,5,4,2,0,1,0,2,31,10,48,18,5,0
21/09/2020,Cercle Brugge,3,5,1,0,2,0,2,28,6,51,16,8,0
27/09/2020,Cercle Brugge,3,3,1,0,2,2,1,30,8,53,13,7,0
03/10/2020,Cercle Brugge,4,4,1,0,2,2,2,31,8,45,13,7,0
17/10/2020,Cercle Brugge,6,3,2,0,1,3,2,39,13,37,13,7,0
31/10/2020,Cercle Brugge,8,5,2,0,1,3,3,40,16,29,13,6,0
08/11/2020,Cercle Brugge,7,6,2,0,1,3,2,39,18,27,9,5,0
21/11/2020,Cercle Brugge,6,8,1,0,2,2,3,37,17,23,10,4,0
25/11/2020,Cercle Brugge,3,6,1,0,2,1,2,32,13,27,12,7,0
28/11/2020,Cercle Brugge,4,5,1,0,2,1,2,36,13,31,15,10,0
05/12/2020,Cercle Brugge,4,7,1,0,2,1,4,30,10,32,13,9,0
12/12/2020,Cercle Brugge,3,9,0,0,3,0,5,36,10,32,11,8,0
15/12/2020,Cercle Brugge,2,8,0,0,3,0,6,31,11,32,10,8,1
26/12/2020,Cercle Brugge,4,7,0,0,3,2,2,33,14,36,10,9,2
09/01/2021,Cercle Brugge,3,6,0,0,3,2,1,32,12,40,12,9,2
13/01/2021,Cercle Brugge,4,7,0,0,3,2,0,38,13,40,15,7,1
17/01/2021,Cercle Brugge,2,4,0,1,2,0,1,42,10,39,20,5,0
20/01/2021,Cercle Brugge,2,4,0,1,2,0,2,35,7,46,20,4,0
23/01/2021,Cercle Brugge,1,3,0,1,2,0,2,29,3,48,22,5,0
28/01/2021,Cercle Brugge,2,3,1,0,2,2,2,26,6,45,22,5,0
31/01/2021,Cercle Brugge,3,4,1,0,2,3,2,27,11,32,17,4,0
06/02/2021,Cercle Brugge,3,6,1,0,2,3,3,34,12,29,13,3,0
14/02/2021,Cercle Brugge,1,6,0,0,3,1,2,32,10,33,13,4,0
20/02/2021,Cercle Brugge,0,4,0,1,2,0,1,34,9,34,15,5,0
27/02/2021,Cercle Brugge,2,2,1,1,1,1,0,34,15,35,16,5,0
