Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Charleroi,1,0,1,0,0,0,0,6,4,11,2,3,0
15/08/2020,Charleroi,1,0,1,0,0,0,0,14,2,14,8,1,0
22/08/2020,Charleroi,3,1,1,0,0,1,1,11,5,18,5,4,1
30/08/2020,Charleroi,5,1,3,0,0,1,1,31,11,43,15,8,1
13/09/2020,Charleroi,6,1,3,0,0,2,1,42,15,44,18,9,1
18/09/2020,Charleroi,7,1,3,0,0,2,1,39,17,42,12,9,1
27/09/2020,Charleroi,7,1,3,0,0,2,0,42,16,35,14,5,0
04/10/2020,Charleroi,6,2,2,1,0,2,1,44,14,29,15,2,0
18/10/2020,Charleroi,5,4,1,1,1,2,1,40,12,25,20,3,0
31/10/2020,Charleroi,3,5,0,1,2,1,2,40,13,29,18,5,0
06/11/2020,Charleroi,5,4,1,0,2,0,1,41,16,41,23,6,0
22/11/2020,Charleroi,7,5,1,1,1,1,3,43,16,45,22,7,0
27/11/2020,Charleroi,6,4,1,1,1,1,3,34,14,40,20,6,0
02/12/2020,Charleroi,4,7,0,1,2,1,4,29,7,33,12,9,0
07/12/2020,Charleroi,1,6,0,0,3,0,3,31,9,35,10,7,1
12/12/2020,Charleroi,1,5,0,1,2,0,2,27,6,37,14,10,1
15/12/2020,Charleroi,2,3,1,1,1,1,2,23,8,43,16,7,1
18/12/2020,Charleroi,6,4,2,1,0,1,3,33,11,42,21,8,0
27/12/2020,Charleroi,7,4,3,0,0,1,3,42,15,45,17,7,0
09/01/2021,Charleroi,6,5,2,0,1,0,2,37,12,40,14,6,0
16/01/2021,Charleroi,4,5,1,0,2,1,1,27,8,34,8,4,0
19/01/2021,Charleroi,3,6,0,0,3,1,1,27,9,33,12,2,0
24/01/2021,Charleroi,2,7,0,0,3,1,3,25,8,37,14,4,0
27/01/2021,Charleroi,2,7,0,0,3,1,4,30,15,43,13,6,1
30/01/2021,Charleroi,3,7,0,1,2,1,5,39,21,38,18,7,1
07/02/2021,Charleroi,6,5,1,1,1,2,3,49,26,41,17,5,1
20/02/2021,Charleroi,5,3,1,2,0,2,1,42,24,44,18,4,0
26/02/2021,Charleroi,5,3,1,2,0,2,0,31,15,45,9,2,0
