Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Club Brugge,0,1,0,0,1,0,0,17,5,10,10,2,0
16/08/2020,Club Brugge,4,0,1,0,0,1,0,11,5,10,6,0,0
23/08/2020,Club Brugge,0,1,0,0,1,0,1,19,7,16,5,1,0
30/08/2020,Club Brugge,4,2,1,0,2,1,1,47,17,36,21,3,0
12/09/2020,Club Brugge,6,2,2,0,1,2,1,44,17,41,16,4,0
20/09/2020,Club Brugge,6,3,2,0,1,3,2,51,21,48,15,5,0
27/09/2020,Club Brugge,12,2,3,0,0,7,1,46,21,44,14,5,0
04/10/2020,Club Brugge,12,2,3,0,0,7,1,53,21,39,17,3,0
17/10/2020,Club Brugge,11,1,3,0,0,6,0,57,18,40,20,3,0
24/10/2020,Club Brugge,6,2,2,1,0,3,0,52,14,44,21,5,0
31/10/2020,Club Brugge,5,3,1,1,1,3,1,51,19,48,17,7,0
08/11/2020,Club Brugge,4,5,0,2,1,4,2,43,18,45,12,7,0
21/11/2020,Club Brugge,6,5,1,1,1,4,3,49,22,37,15,4,0
28/11/2020,Club Brugge,6,3,2,1,0,3,2,46,16,31,18,1,0
05/12/2020,Club Brugge,4,1,2,1,0,1,1,46,12,31,19,3,0
13/12/2020,Club Brugge,2,0,2,1,0,0,0,47,10,34,14,3,0
17/12/2020,Club Brugge,3,0,2,1,0,1,0,43,11,41,16,4,0
20/12/2020,Club Brugge,6,0,3,0,0,1,0,50,18,37,15,1,0
26/12/2020,Club Brugge,5,1,2,0,1,1,0,56,22,39,27,4,0
10/01/2021,Club Brugge,6,1,2,0,1,0,0,57,23,33,30,3,1
17/01/2021,Club Brugge,5,2,2,0,1,2,0,48,18,35,34,5,1
20/01/2021,Club Brugge,8,1,3,0,0,4,0,41,15,28,26,4,1
24/01/2021,Club Brugge,7,2,3,0,0,5,1,41,15,30,19,5,0
28/01/2021,Club Brugge,8,3,3,0,0,4,3,47,20,29,19,3,0
31/01/2021,Club Brugge,7,4,3,0,0,3,4,40,17,32,18,3,0
06/02/2021,Club Brugge,8,4,3,0,0,4,4,43,18,29,20,3,0
22/02/2021,Club Brugge,7,2,3,0,0,4,2,47,20,26,18,3,0
