Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
10/08/2020,Eupen,1,1,0,1,0,0,0,16,6,11,8,2,0
16/08/2020,Eupen,0,4,0,0,1,0,1,13,1,13,6,0,0
21/08/2020,Eupen,0,0,0,1,0,0,0,16,6,19,5,2,0
29/08/2020,Eupen,1,5,0,2,1,0,1,45,13,43,19,4,0
11/09/2020,Eupen,1,5,0,2,1,1,1,34,10,57,15,6,1
20/09/2020,Eupen,3,2,1,2,0,2,0,38,16,52,13,9,1
27/09/2020,Eupen,5,4,1,2,0,3,0,33,13,48,12,13,1
03/10/2020,Eupen,5,4,1,2,0,2,0,36,15,43,13,13,0
18/10/2020,Eupen,4,5,0,2,1,2,1,29,11,47,17,15,0
30/10/2020,Eupen,4,3,1,1,1,1,1,31,14,47,17,10,0
07/11/2020,Eupen,3,6,1,0,2,1,2,38,13,39,18,8,0
21/11/2020,Eupen,3,5,1,1,1,0,2,53,18,39,24,4,0
27/11/2020,Eupen,3,7,0,2,1,1,3,51,17,46,23,3,0
03/12/2020,Eupen,6,4,1,2,0,2,2,42,16,48,23,2,0
06/12/2020,Eupen,6,4,1,2,0,3,1,27,11,43,11,1,0
26/12/2020,Eupen,5,2,2,1,0,3,0,34,14,36,15,3,0
29/12/2020,Eupen,2,4,1,1,1,2,0,37,13,38,11,4,0
06/01/2021,Eupen,3,6,1,0,2,2,0,44,17,52,12,7,0
09/01/2021,Eupen,3,10,0,0,3,2,2,46,12,52,11,8,0
12/01/2021,Eupen,5,8,1,0,2,2,2,49,15,47,17,9,0
15/01/2021,Eupen,4,6,1,1,1,1,2,38,10,36,16,9,1
20/01/2021,Eupen,5,2,2,1,0,0,0,36,11,37,13,8,1
23/01/2021,Eupen,6,2,2,1,0,2,1,37,11,34,12,5,1
26/01/2021,Eupen,5,4,2,0,1,2,2,43,13,40,20,3,0
30/01/2021,Eupen,3,6,1,0,2,2,4,44,13,34,22,3,0
07/02/2021,Eupen,1,6,0,1,2,1,3,43,13,36,22,3,0
17/02/2021,Eupen,3,5,0,2,1,2,4,38,13,36,13,4,0
20/02/2021,Eupen,3,4,0,2,1,2,3,28,13,44,13,4,0
28/02/2021,Eupen,3,4,0,2,1,1,3,25,10,45,9,7,0
