Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Genk,2,1,1,0,0,0,1,15,4,16,8,1,0
15/08/2020,Genk,1,1,0,1,0,0,0,20,4,11,7,1,0
23/08/2020,Genk,0,0,0,1,0,0,0,10,3,12,5,2,0
30/08/2020,Genk,3,2,1,2,0,0,1,45,11,39,20,4,0
14/09/2020,Genk,2,3,0,2,1,0,1,40,9,41,13,7,0
20/09/2020,Genk,3,7,0,1,2,1,2,26,8,47,9,10,2
28/09/2020,Genk,6,8,1,0,2,2,3,27,9,46,5,8,2
03/10/2020,Genk,7,8,1,1,1,3,3,28,12,35,10,5,3
18/10/2020,Genk,6,4,1,2,0,2,2,35,11,30,13,4,1
26/10/2020,Genk,5,4,1,2,0,2,1,35,13,40,16,8,2
30/10/2020,Genk,5,3,2,1,0,2,1,32,11,43,13,9,1
07/11/2020,Genk,8,2,3,0,0,3,1,33,17,43,10,7,1
22/11/2020,Genk,8,2,3,0,0,4,2,30,16,41,10,5,0
28/11/2020,Genk,10,2,3,0,0,4,2,37,23,41,12,4,0
06/12/2020,Genk,11,3,3,0,0,7,2,41,26,34,15,3,0
11/12/2020,Genk,13,4,3,0,0,7,2,53,31,23,16,2,0
19/12/2020,Genk,9,4,2,0,1,6,1,42,22,25,16,4,0
27/12/2020,Genk,6,3,2,0,1,3,1,37,16,34,14,5,0
06/01/2021,Genk,3,2,1,1,1,2,1,30,8,35,15,4,0
09/01/2021,Genk,7,2,2,1,0,4,2,35,11,33,11,2,0
16/01/2021,Genk,6,4,1,1,1,4,3,33,10,30,10,3,0
21/01/2021,Genk,5,5,1,0,2,3,3,32,10,37,8,5,1
24/01/2021,Genk,2,5,0,1,2,2,3,29,9,39,7,6,2
27/01/2021,Genk,3,6,0,1,2,3,3,27,9,45,6,5,2
30/01/2021,Genk,6,6,1,1,1,4,2,27,12,40,7,3,1
07/02/2021,Genk,5,5,1,1,1,3,1,33,12,44,10,4,0
17/02/2021,Genk,4,4,1,1,1,2,2,29,9,43,13,6,0
21/02/2021,Genk,2,5,0,1,2,2,4,27,5,40,10,8,0
26/02/2021,Genk,3,7,0,0,3,2,4,35,8,36,17,7,0
