Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Gent,1,2,0,0,1,1,1,13,2,13,3,2,0
15/08/2020,Gent,1,2,0,0,1,0,1,23,12,6,6,0,0
22/08/2020,Gent,0,1,0,0,1,0,1,17,5,13,6,0,0
30/08/2020,Gent,2,5,0,0,3,1,3,53,19,32,15,2,0
11/09/2020,Gent,2,3,1,0,2,1,2,55,24,34,15,2,0
19/09/2020,Gent,2,3,1,0,2,1,2,51,18,47,14,5,1
26/09/2020,Gent,3,2,2,0,1,2,1,48,20,39,11,5,1
04/10/2020,Gent,4,5,1,0,2,1,3,57,19,34,16,5,1
17/10/2020,Gent,8,4,2,0,1,4,2,60,19,26,17,3,0
26/10/2020,Gent,9,9,1,0,2,4,4,63,18,33,23,3,0
01/11/2020,Gent,8,8,1,0,2,5,3,55,18,38,23,2,0
08/11/2020,Gent,7,8,1,0,2,6,3,49,21,35,20,1,0
22/11/2020,Gent,6,4,1,1,1,5,2,40,18,43,13,4,0
29/11/2020,Gent,6,2,2,1,0,5,1,33,16,46,9,5,0
06/12/2020,Gent,2,4,1,1,1,1,3,30,11,53,14,6,0
13/12/2020,Gent,2,5,1,0,2,2,2,29,10,52,18,7,0
16/12/2020,Gent,3,6,1,0,2,2,3,34,12,57,17,5,0
20/12/2020,Gent,6,3,2,0,1,3,1,38,15,54,13,5,0
26/12/2020,Gent,6,1,3,0,0,2,1,37,15,53,7,4,0
10/01/2021,Gent,4,1,2,0,1,1,0,36,15,38,7,4,1
17/01/2021,Gent,2,2,1,1,1,1,1,35,14,37,14,5,1
21/01/2021,Gent,1,3,0,1,2,1,1,39,16,33,19,3,1
24/01/2021,Gent,2,3,0,2,1,2,2,42,16,50,20,7,0
27/01/2021,Gent,4,2,1,1,1,2,1,51,19,49,16,7,0
31/01/2021,Gent,5,2,1,2,0,2,2,51,20,53,17,7,0
07/02/2021,Gent,4,1,1,2,0,1,1,47,17,45,16,4,0
15/02/2021,Gent,3,3,0,3,0,2,2,31,11,45,12,6,0
19/02/2021,Gent,6,2,1,2,0,3,1,41,15,36,13,6,0
