Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Kortrijk,1,3,0,0,1,0,1,11,4,15,4,2,0
15/08/2020,Kortrijk,2,1,1,0,0,1,0,10,5,12,5,1,0
21/08/2020,Kortrijk,0,0,0,1,0,0,0,6,1,7,1,2,0
29/08/2020,Kortrijk,3,4,1,1,1,1,1,27,10,34,10,5,0
13/09/2020,Kortrijk,3,1,2,1,0,1,0,27,8,35,17,6,0
20/09/2020,Kortrijk,4,0,2,1,0,0,0,34,11,38,20,7,0
25/09/2020,Kortrijk,5,2,2,0,1,1,2,30,11,52,22,8,0
03/10/2020,Kortrijk,5,5,1,0,2,2,2,34,14,60,17,7,0
17/10/2020,Kortrijk,2,5,0,1,2,2,2,22,8,62,13,7,1
23/10/2020,Kortrijk,3,4,1,1,1,1,0,32,13,48,16,5,1
02/11/2020,Kortrijk,3,4,1,1,1,0,2,31,11,34,14,3,1
07/11/2020,Kortrijk,4,5,1,1,1,0,2,42,14,25,19,1,0
21/11/2020,Kortrijk,7,9,0,2,1,2,3,53,16,29,19,2,0
29/11/2020,Kortrijk,6,7,0,2,1,2,1,44,15,37,17,5,0
07/12/2020,Kortrijk,8,7,1,1,1,3,2,47,20,40,13,5,0
12/12/2020,Kortrijk,3,2,1,1,1,1,1,37,18,40,14,5,0
16/12/2020,Kortrijk,3,4,1,1,1,1,1,52,21,35,24,4,0
19/12/2020,Kortrijk,2,4,1,1,1,2,0,43,15,36,25,7,0
26/12/2020,Kortrijk,2,6,1,0,2,2,1,37,10,41,19,7,0
09/01/2021,Kortrijk,3,3,2,0,1,2,1,26,10,49,11,8,0
16/01/2021,Kortrijk,3,3,2,0,1,1,2,29,12,56,10,6,0
20/01/2021,Kortrijk,4,3,2,0,1,1,2,33,13,53,11,5,0
23/01/2021,Kortrijk,3,5,1,0,2,1,4,53,15,46,16,4,0
27/01/2021,Kortrijk,2,6,0,0,3,1,5,56,12,40,19,5,0
30/01/2021,Kortrijk,1,4,0,1,2,1,4,65,14,39,26,6,0
05/02/2021,Kortrijk,2,5,0,1,2,1,3,48,11,39,22,5,1
12/02/2021,Kortrijk,4,3,1,1,1,2,1,45,13,34,18,4,1
21/02/2021,Kortrijk,5,6,1,0,2,2,4,53,19,39,14,6,1
27/02/2021,Kortrijk,6,3,2,0,1,3,3,54,23,40,15,8,0
