Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Mechelen,2,2,0,1,0,0,0,10,4,21,2,3,0
14/08/2020,Mechelen,1,0,1,0,0,1,0,7,4,18,5,3,0
22/08/2020,Mechelen,2,3,0,0,1,1,0,21,8,14,6,4,0
30/08/2020,Mechelen,5,5,1,1,1,2,0,38,16,53,13,10,0
12/09/2020,Mechelen,3,4,1,0,2,2,1,41,15,48,13,8,0
20/09/2020,Mechelen,2,5,0,0,3,1,1,38,11,49,13,10,0
26/09/2020,Mechelen,1,5,0,0,3,1,2,35,8,52,11,7,0
02/10/2020,Mechelen,3,4,1,0,2,1,1,35,10,52,12,9,0
17/10/2020,Mechelen,4,7,1,0,2,1,4,46,15,46,13,6,0
31/10/2020,Mechelen,4,6,1,0,2,0,3,47,16,41,16,7,1
06/11/2020,Mechelen,4,8,0,1,2,1,5,44,18,29,15,4,1
22/11/2020,Mechelen,6,7,0,2,1,3,3,49,20,25,13,4,1
29/11/2020,Mechelen,7,6,1,2,0,4,3,39,17,39,10,4,0
03/12/2020,Mechelen,7,7,1,1,1,5,2,41,13,47,11,8,1
06/12/2020,Mechelen,5,5,1,1,1,3,2,46,12,45,15,8,1
13/12/2020,Mechelen,5,6,0,2,1,2,3,51,18,32,15,7,1
17/12/2020,Mechelen,5,6,0,2,1,1,2,51,20,33,15,3,1
20/12/2020,Mechelen,4,8,0,1,2,1,1,36,17,36,13,4,1
27/12/2020,Mechelen,4,7,1,0,2,3,0,51,20,35,12,7,1
10/01/2021,Mechelen,4,5,2,0,1,3,0,49,20,30,14,7,0
16/01/2021,Mechelen,7,2,3,0,0,3,0,51,22,34,14,5,0
20/01/2021,Mechelen,6,1,3,0,0,1,0,32,11,43,15,2,0
23/01/2021,Mechelen,4,4,2,0,1,0,1,35,9,52,14,3,0
26/01/2021,Mechelen,4,4,2,0,1,1,1,37,12,47,13,5,0
30/01/2021,Mechelen,6,6,2,0,1,3,1,44,18,39,19,5,0
06/02/2021,Mechelen,6,2,2,1,0,3,0,46,17,42,19,6,0
14/02/2021,Mechelen,4,2,2,1,0,2,0,45,12,44,24,4,0
19/02/2021,Mechelen,3,1,2,1,0,0,0,44,11,43,20,3,0
27/02/2021,Mechelen,4,2,2,1,0,1,1,43,12,34,19,2,0
