Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Mouscron,1,1,0,1,0,0,0,4,2,5,3,1,0
14/08/2020,Mouscron,0,1,0,0,1,0,1,9,1,9,5,3,0
23/08/2020,Mouscron,1,1,0,1,0,0,0,7,2,14,2,2,1
29/08/2020,Mouscron,2,3,0,2,1,0,1,20,5,28,10,6,1
13/09/2020,Mouscron,1,3,0,1,2,0,1,24,6,37,12,7,1
19/09/2020,Mouscron,1,5,0,1,2,0,0,24,7,37,8,6,3
27/09/2020,Mouscron,0,5,0,0,3,0,1,32,8,35,17,7,2
04/10/2020,Mouscron,1,5,0,1,2,1,2,31,7,27,12,6,2
18/10/2020,Mouscron,1,5,0,1,2,1,2,26,6,25,11,4,0
22/11/2020,Mouscron,1,6,0,1,2,1,1,28,9,22,5,4,0
25/11/2020,Mouscron,1,9,0,0,3,1,1,38,10,38,8,7,0
28/11/2020,Mouscron,3,7,1,0,2,1,1,43,11,42,13,9,0
01/12/2020,Mouscron,3,5,1,1,1,1,1,30,8,53,9,8,0
05/12/2020,Mouscron,5,3,2,1,0,1,0,23,11,43,8,7,0
08/12/2020,Mouscron,3,4,1,1,1,1,0,20,11,40,5,7,0
12/12/2020,Mouscron,3,6,1,0,2,1,0,24,13,38,6,10,0
15/12/2020,Mouscron,3,5,1,0,2,1,0,30,14,39,6,7,0
20/12/2020,Mouscron,5,5,1,1,1,1,1,41,19,40,10,10,0
27/12/2020,Mouscron,6,3,2,1,0,2,1,43,18,36,9,6,0
09/01/2021,Mouscron,4,4,1,1,1,1,2,43,17,38,10,7,0
16/01/2021,Mouscron,2,3,1,0,2,1,2,43,15,44,14,4,0
19/01/2021,Mouscron,3,3,1,0,2,1,2,50,23,50,21,5,0
23/01/2021,Mouscron,3,2,1,1,1,1,1,48,21,49,24,8,0
26/01/2021,Mouscron,5,1,2,1,0,2,0,43,22,50,18,9,0
30/01/2021,Mouscron,4,2,1,2,0,2,0,33,11,53,15,9,0
05/02/2021,Mouscron,4,2,1,2,0,2,1,30,11,52,15,7,0
15/02/2021,Mouscron,2,5,0,2,1,1,3,28,8,50,15,6,1
20/02/2021,Mouscron,1,8,0,1,2,0,4,31,9,39,13,5,1
28/02/2021,Mouscron,1,9,0,0,3,0,4,29,8,38,14,7,1
