Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
10/08/2020,Oostende,1,2,0,0,1,0,1,6,2,18,12,3,0
15/08/2020,Oostende,0,1,0,0,1,0,0,8,0,19,7,2,0
24/08/2020,Oostende,0,0,0,1,0,0,0,13,2,26,5,7,1
28/08/2020,Oostende,1,3,0,1,2,0,1,27,4,63,24,12,1
12/09/2020,Oostende,2,3,0,2,1,2,1,32,7,57,17,12,1
19/09/2020,Oostende,3,2,1,2,0,2,1,35,10,54,20,12,1
28/09/2020,Oostende,6,3,2,1,0,3,1,39,12,47,26,9,0
04/10/2020,Oostende,6,3,2,1,0,2,1,45,18,57,26,11,0
25/10/2020,Oostende,8,3,2,1,0,2,1,50,20,51,22,10,0
01/11/2020,Oostende,8,2,2,1,0,4,1,48,25,46,15,7,0
08/11/2020,Oostende,6,1,2,0,1,3,0,41,16,43,14,5,0
21/11/2020,Oostende,4,4,1,0,2,4,1,39,16,43,12,7,1
24/11/2020,Oostende,2,5,0,1,2,1,1,38,10,42,15,7,1
29/11/2020,Oostende,2,6,0,1,2,1,1,40,10,36,17,6,1
06/12/2020,Oostende,2,6,0,1,2,1,1,41,14,38,19,6,0
12/12/2020,Oostende,3,6,1,0,2,1,2,34,14,35,15,7,0
15/12/2020,Oostende,4,4,2,0,1,2,2,36,16,31,12,5,0
26/12/2020,Oostende,4,3,2,0,1,1,2,35,10,35,9,5,0
09/01/2021,Oostende,4,3,2,0,1,1,2,48,13,34,15,6,0
12/01/2021,Oostende,6,5,2,0,1,1,3,53,15,40,18,8,0
16/01/2021,Oostende,6,4,2,1,0,1,2,57,16,39,25,7,0
20/01/2021,Oostende,6,4,2,1,0,2,1,44,12,50,18,6,0
23/01/2021,Oostende,4,4,1,1,1,2,1,35,10,47,15,5,0
28/01/2021,Oostende,5,4,2,0,1,3,2,29,11,41,9,6,0
31/01/2021,Oostende,5,5,1,1,1,3,2,31,12,36,15,6,0
06/02/2021,Oostende,5,5,1,1,1,3,2,34,15,35,21,6,0
17/02/2021,Oostende,6,5,1,1,1,3,1,35,14,34,24,3,0
20/02/2021,Oostende,7,4,2,0,1,4,2,33,15,32,20,2,0
27/02/2021,Oostende,7,3,2,1,0,3,1,30,9,31,13,3,0
