Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
10/08/2020,Oud-Heverlee Leuven,1,1,0,1,0,0,0,4,3,12,5,1,0
15/08/2020,Oud-Heverlee Leuven,1,1,0,1,0,0,0,10,4,11,1,1,0
22/08/2020,Oud-Heverlee Leuven,1,3,0,0,1,1,1,8,2,10,6,1,0
29/08/2020,Oud-Heverlee Leuven,3,5,0,2,1,1,1,22,9,33,12,3,0
12/09/2020,Oud-Heverlee Leuven,5,5,1,1,1,2,1,30,13,36,13,3,0
19/09/2020,Oud-Heverlee Leuven,5,4,2,0,1,2,1,32,12,44,13,4,0
26/09/2020,Oud-Heverlee Leuven,5,4,2,0,1,1,1,39,16,45,9,5,0
03/10/2020,Oud-Heverlee Leuven,5,5,2,0,1,2,1,37,12,41,7,7,0
18/10/2020,Oud-Heverlee Leuven,6,6,2,0,1,3,1,37,16,35,15,6,0
24/10/2020,Oud-Heverlee Leuven,7,5,2,1,0,3,2,40,16,40,21,6,0
31/10/2020,Oud-Heverlee Leuven,6,4,2,1,0,2,3,42,19,43,21,5,0
23/11/2020,Oud-Heverlee Leuven,6,7,1,1,1,2,5,48,17,41,17,5,0
30/11/2020,Oud-Heverlee Leuven,6,7,1,1,1,3,4,48,18,41,13,4,0
05/12/2020,Oud-Heverlee Leuven,6,9,0,1,2,4,5,52,16,47,11,7,0
08/12/2020,Oud-Heverlee Leuven,6,6,1,1,1,4,3,45,15,46,7,8,1
12/12/2020,Oud-Heverlee Leuven,6,4,2,0,1,3,2,38,11,39,5,7,1
15/12/2020,Oud-Heverlee Leuven,7,1,3,0,0,1,0,32,11,32,4,3,1
20/12/2020,Oud-Heverlee Leuven,7,2,2,1,0,1,0,33,16,31,7,3,0
26/12/2020,Oud-Heverlee Leuven,6,4,1,1,1,1,2,34,18,34,8,6,0
10/01/2021,Oud-Heverlee Leuven,4,6,0,1,2,2,2,33,18,33,11,6,0
17/01/2021,Oud-Heverlee Leuven,3,4,1,0,2,1,2,26,10,34,8,5,0
21/01/2021,Oud-Heverlee Leuven,3,5,1,0,2,2,2,23,9,39,9,2,1
24/01/2021,Oud-Heverlee Leuven,5,5,2,0,1,2,4,31,13,36,14,1,1
27/01/2021,Oud-Heverlee Leuven,4,8,1,0,2,2,5,38,17,30,16,2,2
30/01/2021,Oud-Heverlee Leuven,4,6,1,1,1,2,3,46,18,27,17,5,1
06/02/2021,Oud-Heverlee Leuven,1,5,0,1,2,1,1,43,13,33,14,8,1
12/02/2021,Oud-Heverlee Leuven,2,3,0,2,1,1,0,41,11,42,12,7,0
22/02/2021,Oud-Heverlee Leuven,4,3,1,1,1,3,0,32,10,35,10,6,1
01/03/2021,Oud-Heverlee Leuven,4,5,1,1,1,3,2,22,7,33,9,6,1
