Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,St Truiden,2,1,1,0,0,1,1,11,8,19,6,2,0
16/08/2020,St Truiden,1,3,0,0,1,0,1,3,1,13,1,0,1
24/08/2020,St Truiden,0,0,0,1,0,0,0,9,1,12,4,1,1
29/08/2020,St Truiden,3,4,1,1,1,1,2,23,10,44,11,3,2
13/09/2020,St Truiden,2,4,0,2,1,0,2,29,6,39,10,5,2
21/09/2020,St Truiden,3,4,0,2,1,2,3,36,8,41,12,8,2
26/09/2020,St Truiden,3,7,0,1,2,2,5,41,9,46,12,10,1
03/10/2020,St Truiden,2,8,0,0,3,2,4,31,7,48,13,12,1
17/10/2020,St Truiden,0,5,0,1,2,0,2,44,8,48,19,12,0
25/10/2020,St Truiden,3,8,0,1,2,1,5,42,11,47,19,13,0
07/11/2020,St Truiden,5,6,1,1,1,2,5,44,11,43,17,8,0
23/11/2020,St Truiden,6,8,1,0,2,3,7,36,9,49,19,10,1
28/11/2020,St Truiden,5,4,1,1,1,3,3,34,7,52,16,10,1
01/12/2020,St Truiden,4,5,0,2,1,3,3,33,9,54,22,12,1
05/12/2020,St Truiden,5,6,0,2,1,2,2,36,14,46,19,10,0
12/12/2020,St Truiden,3,5,0,1,2,1,1,32,14,33,21,7,0
19/12/2020,St Truiden,3,6,0,0,3,1,2,41,13,24,20,6,1
26/12/2020,St Truiden,3,3,1,0,2,1,1,34,12,27,16,5,1
30/12/2020,St Truiden,5,3,2,0,1,3,1,37,14,35,16,6,2
10/01/2021,St Truiden,5,1,3,0,0,3,0,29,14,40,13,7,1
17/01/2021,St Truiden,4,3,2,0,1,3,2,28,11,32,14,6,2
20/01/2021,St Truiden,5,3,2,0,1,3,3,31,10,29,13,6,1
23/01/2021,St Truiden,6,3,2,0,1,4,3,30,9,31,8,3,1
27/01/2021,St Truiden,5,3,2,0,1,4,2,37,9,31,10,6,0
31/01/2021,St Truiden,3,3,1,1,1,3,1,28,7,36,11,6,0
06/02/2021,St Truiden,4,3,1,1,1,2,1,30,11,31,11,9,0
13/02/2021,St Truiden,5,4,1,1,1,2,1,18,10,37,9,6,0
21/02/2021,St Truiden,5,5,1,0,2,1,1,24,13,33,11,4,0
28/02/2021,St Truiden,2,5,0,1,2,0,1,23,7,37,14,2,0
