Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
08/08/2020,Standard,1,0,1,0,0,0,0,11,8,10,5,1,0
17/08/2020,Standard,2,1,1,0,0,0,0,17,8,18,8,3,0
23/08/2020,Standard,0,0,0,1,0,0,0,12,1,18,6,6,1
30/08/2020,Standard,3,1,2,1,0,0,0,40,17,46,19,10,1
12/09/2020,Standard,5,1,2,1,0,1,0,43,17,48,19,10,1
20/09/2020,Standard,3,1,1,1,1,1,0,43,12,46,14,11,2
27/09/2020,Standard,5,2,2,0,1,3,1,47,16,45,14,5,1
04/10/2020,Standard,4,4,1,1,1,2,2,49,12,44,16,6,1
17/10/2020,Standard,6,4,2,1,0,2,2,42,14,40,21,5,0
25/10/2020,Standard,5,4,1,2,0,0,2,39,13,34,23,7,0
01/11/2020,Standard,3,4,1,1,1,0,2,33,13,36,19,6,0
08/11/2020,Standard,2,3,1,1,1,0,2,36,10,37,20,4,0
21/11/2020,Standard,2,3,1,1,1,0,2,33,9,40,15,5,0
29/11/2020,Standard,4,3,1,2,0,1,2,37,11,38,15,6,1
06/12/2020,Standard,3,3,0,3,0,1,2,36,12,36,12,7,1
13/12/2020,Standard,4,4,0,3,0,2,1,43,14,32,16,6,1
16/12/2020,Standard,3,4,0,2,1,2,1,37,11,30,16,5,0
20/12/2020,Standard,4,6,0,1,2,2,3,42,14,36,15,4,0
26/12/2020,Standard,2,5,0,0,3,1,4,38,15,39,13,6,0
11/01/2021,Standard,2,5,0,0,3,0,5,48,19,49,17,7,0
17/01/2021,Standard,4,4,1,0,2,1,3,51,21,48,17,9,0
20/01/2021,Standard,5,3,2,0,1,2,2,43,18,48,15,6,0
24/01/2021,Standard,8,1,3,0,0,3,0,36,16,43,8,5,0
28/01/2021,Standard,8,2,3,0,0,4,1,30,14,38,6,3,0
31/01/2021,Standard,9,4,2,1,0,3,2,46,16,30,15,2,0
06/02/2021,Standard,6,7,1,1,1,3,4,45,16,34,19,5,0
14/02/2021,Standard,4,6,0,2,1,1,3,44,14,34,23,7,1
21/02/2021,Standard,3,5,0,2,1,2,3,32,12,37,15,8,1
28/02/2021,Standard,4,5,0,2,1,2,2,33,13,35,14,5,1
