Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Waasland-Beveren,3,1,1,0,0,1,0,8,6,14,1,4,0
17/08/2020,Waasland-Beveren,1,2,0,0,1,0,0,5,3,19,4,3,0
22/08/2020,Waasland-Beveren,1,4,0,0,1,0,1,6,2,10,2,1,0
29/08/2020,Waasland-Beveren,5,7,1,0,2,1,1,19,11,43,7,8,0
12/09/2020,Waasland-Beveren,3,9,0,0,3,0,2,27,9,41,10,5,1
19/09/2020,Waasland-Beveren,3,11,0,0,3,1,4,29,10,26,8,4,1
26/09/2020,Waasland-Beveren,4,11,0,0,3,1,5,37,14,32,11,7,1
03/10/2020,Waasland-Beveren,5,11,0,0,3,3,5,26,13,29,7,8,0
01/11/2020,Waasland-Beveren,5,8,0,1,2,2,3,37,17,35,9,9,0
07/11/2020,Waasland-Beveren,4,8,0,1,2,2,5,37,15,29,11,9,0
21/11/2020,Waasland-Beveren,3,6,0,2,1,1,4,41,15,32,15,9,0
24/11/2020,Waasland-Beveren,2,7,0,1,2,1,5,35,12,33,16,10,1
28/11/2020,Waasland-Beveren,3,3,1,1,1,1,1,35,13,33,11,8,1
02/12/2020,Waasland-Beveren,3,3,1,1,1,0,2,40,14,34,14,7,1
05/12/2020,Waasland-Beveren,5,1,2,1,0,1,1,39,13,32,16,6,0
13/12/2020,Waasland-Beveren,5,1,2,1,0,1,1,37,13,31,21,5,0
16/12/2020,Waasland-Beveren,7,2,3,0,0,1,1,33,14,29,15,4,0
20/12/2020,Waasland-Beveren,5,5,2,0,1,0,2,31,11,37,12,3,0
27/12/2020,Waasland-Beveren,3,8,1,0,2,0,5,28,7,44,10,3,0
11/01/2021,Waasland-Beveren,1,7,0,1,2,1,5,26,4,44,14,6,0
16/01/2021,Waasland-Beveren,2,7,0,1,2,1,5,27,8,38,15,5,0
19/01/2021,Waasland-Beveren,3,9,0,1,2,1,4,31,14,30,18,6,0
22/01/2021,Waasland-Beveren,3,9,0,1,2,0,3,31,16,31,19,4,0
26/01/2021,Waasland-Beveren,2,6,0,2,1,0,2,25,11,29,15,3,0
29/01/2021,Waasland-Beveren,3,4,0,2,1,0,2,21,10,34,13,3,0
06/02/2021,Waasland-Beveren,4,6,0,1,2,1,3,19,9,31,9,3,0
17/02/2021,Waasland-Beveren,4,8,0,0,3,1,4,21,9,38,11,5,0
20/02/2021,Waasland-Beveren,3,5,1,0,2,2,2,23,8,43,9,6,0
27/02/2021,Waasland-Beveren,2,3,1,1,1,1,1,29,8,46,14,7,0
