Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
09/08/2020,Waregem,1,2,0,0,1,1,0,8,6,15,9,3,0
16/08/2020,Waregem,1,3,0,0,1,0,1,6,1,11,5,2,0
22/08/2020,Waregem,4,1,1,0,0,1,0,23,9,16,7,3,0
29/08/2020,Waregem,6,6,1,0,2,2,1,37,16,42,21,8,0
13/09/2020,Waregem,6,4,2,0,1,1,1,38,12,37,16,6,0
20/09/2020,Waregem,5,3,2,0,1,1,0,40,12,39,14,4,0
27/09/2020,Waregem,1,8,1,0,2,0,4,26,7,33,9,2,0
03/10/2020,Waregem,2,10,0,1,2,1,4,22,7,49,7,4,0
18/10/2020,Waregem,3,10,0,1,2,1,5,35,9,43,13,4,0
25/10/2020,Waregem,4,7,0,1,2,2,1,41,11,39,14,4,0
02/11/2020,Waregem,2,8,0,0,3,1,4,58,13,26,22,2,0
08/11/2020,Waregem,2,7,0,1,2,1,3,45,12,39,16,4,1
22/11/2020,Waregem,4,5,1,1,1,2,3,46,12,46,21,6,1
29/11/2020,Waregem,5,4,1,1,1,2,1,29,9,44,14,5,1
04/12/2020,Waregem,7,3,2,0,1,4,1,31,12,32,11,4,0
16/12/2020,Waregem,6,4,1,1,1,3,2,23,8,32,4,2,0
19/12/2020,Waregem,6,2,2,1,0,4,1,35,12,32,5,5,0
26/12/2020,Waregem,3,4,1,1,1,2,1,37,8,41,11,8,1
29/12/2020,Waregem,2,2,2,0,1,1,0,36,9,45,15,10,1
09/01/2021,Waregem,4,4,2,0,1,0,1,35,13,42,17,9,1
16/01/2021,Waregem,5,2,3,0,0,1,1,29,13,38,13,8,0
21/01/2021,Waregem,9,3,3,0,0,3,1,40,20,28,9,6,0
24/01/2021,Waregem,8,4,2,0,1,5,1,35,16,32,8,5,0
27/01/2021,Waregem,7,7,1,0,2,4,1,38,17,32,12,2,0
31/01/2021,Waregem,4,9,0,0,3,2,2,33,13,36,14,1,0
07/02/2021,Waregem,4,7,1,0,2,1,2,42,11,32,16,1,0
13/02/2021,Waregem,5,5,1,1,1,1,3,53,14,27,16,2,0
21/02/2021,Waregem,5,3,2,1,0,1,2,55,17,29,15,4,0
27/02/2021,Waregem,6,4,2,1,0,1,2,48,18,36,14,3,0
