Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Arsenal,3,0,1,0,0,1,0,13,6,12,3,2,0
19/09/2020,Arsenal,2,1,1,0,0,1,1,7,3,11,7,0,0
28/09/2020,Arsenal,1,3,0,0,1,1,2,4,3,7,3,2,0
04/10/2020,Arsenal,6,4,2,0,1,3,3,24,12,30,13,4,0
17/10/2020,Arsenal,5,5,2,0,1,2,3,17,11,21,12,2,0
25/10/2020,Arsenal,3,5,1,0,2,1,3,21,11,20,11,3,0
01/11/2020,Arsenal,2,3,1,0,2,0,1,29,12,26,17,4,0
08/11/2020,Arsenal,1,2,1,0,2,0,1,30,9,35,18,7,0
22/11/2020,Arsenal,1,4,1,0,2,0,1,32,8,36,15,6,0
29/11/2020,Arsenal,1,3,1,1,1,0,1,29,6,31,9,3,1
06/12/2020,Arsenal,1,5,0,1,2,1,3,35,6,32,14,3,1
13/12/2020,Arsenal,1,4,0,1,2,1,4,33,6,33,20,5,1
16/12/2020,Arsenal,1,5,0,0,3,1,4,42,10,30,30,7,1
19/12/2020,Arsenal,1,4,0,1,2,0,3,38,12,30,24,5,2
26/12/2020,Arsenal,2,4,0,1,2,1,3,40,12,27,18,6,2
29/12/2020,Arsenal,5,4,1,1,1,3,3,37,13,35,12,6,1
02/01/2021,Arsenal,5,3,2,0,1,3,2,39,12,26,14,5,0
14/01/2021,Arsenal,8,1,3,0,0,4,0,47,22,21,16,4,0
18/01/2021,Arsenal,5,0,2,1,0,2,0,43,19,18,16,3,0
26/01/2021,Arsenal,7,0,2,1,0,2,0,52,22,23,19,3,0
30/01/2021,Arsenal,6,1,2,1,0,2,1,40,15,25,19,3,0
02/02/2021,Arsenal,6,1,2,1,0,2,1,46,14,24,16,3,0
06/02/2021,Arsenal,4,3,1,1,1,3,2,35,11,23,15,5,2
14/02/2021,Arsenal,1,3,0,1,2,1,2,40,9,29,17,5,2
21/02/2021,Arsenal,5,5,1,0,2,4,2,36,11,28,17,4,2
28/02/2021,Arsenal,4,4,1,0,2,3,2,34,9,31,12,4,0
