Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Aston Villa,1,0,1,0,0,0,0,18,2,12,10,3,0
28/09/2020,Aston Villa,3,0,1,0,0,2,0,12,5,14,3,3,0
04/10/2020,Aston Villa,7,2,1,0,0,4,1,18,11,7,2,2,0
18/10/2020,Aston Villa,11,2,3,0,0,6,1,48,18,33,15,8,0
23/10/2020,Aston Villa,11,2,3,0,0,6,1,40,20,39,12,8,0
01/11/2020,Aston Villa,8,5,2,0,1,4,1,40,19,39,15,7,0
08/11/2020,Aston Villa,4,7,1,0,2,0,3,41,18,44,24,6,0
21/11/2020,Aston Villa,6,7,1,0,2,1,3,46,20,39,25,3,0
30/11/2020,Aston Villa,7,6,1,0,2,1,4,49,20,30,31,3,0
12/12/2020,Aston Villa,5,4,1,0,2,2,2,46,16,25,27,3,0
17/12/2020,Aston Villa,3,4,1,0,2,1,2,44,12,27,27,8,0
20/12/2020,Aston Villa,2,2,1,1,1,1,1,56,15,39,26,7,0
26/12/2020,Aston Villa,4,0,2,1,0,1,0,59,19,40,26,8,0
28/12/2020,Aston Villa,6,0,2,1,0,2,0,67,27,43,22,4,1
01/01/2021,Aston Villa,7,1,2,1,0,2,1,50,22,29,15,4,1
20/01/2021,Aston Villa,5,3,1,1,1,1,2,36,17,31,18,2,1
23/01/2021,Aston Villa,2,5,0,1,2,0,2,26,11,22,16,3,0
27/01/2021,Aston Villa,3,4,1,0,2,2,1,30,14,28,17,2,0
30/01/2021,Aston Villa,4,5,1,0,2,3,0,43,19,25,11,2,0
03/02/2021,Aston Villa,5,3,2,0,1,4,0,40,19,27,10,0,0
06/02/2021,Aston Villa,4,6,1,0,2,2,0,35,16,29,12,1,0
13/02/2021,Aston Villa,3,3,2,0,1,2,0,29,14,34,11,4,0
21/02/2021,Aston Villa,2,3,1,1,1,1,0,25,11,35,12,7,0
27/02/2021,Aston Villa,2,2,1,1,1,1,2,27,11,35,12,8,0
03/03/2021,Aston Villa,2,2,1,1,1,1,2,24,7,37,14,7,0
