Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Brighton,1,3,0,0,1,0,1,13,3,8,4,1,0
20/09/2020,Brighton,3,0,1,0,0,2,0,13,6,15,1,0,1
26/09/2020,Brighton,2,3,0,0,1,1,1,18,5,18,7,4,0
03/10/2020,Brighton,6,6,1,0,2,3,2,44,14,41,12,5,1
18/10/2020,Brighton,7,7,1,0,2,4,3,42,14,47,18,5,1
26/10/2020,Brighton,5,8,0,1,2,2,4,49,11,44,22,7,1
01/11/2020,Brighton,4,6,0,2,1,2,3,36,9,40,21,5,1
06/11/2020,Brighton,3,4,0,2,1,1,2,31,8,39,16,5,1
21/11/2020,Brighton,2,3,0,2,1,1,1,30,8,38,16,4,0
28/11/2020,Brighton,3,3,1,1,1,1,1,32,8,42,13,3,1
07/12/2020,Brighton,3,2,1,2,0,1,0,37,9,38,12,4,1
13/12/2020,Brighton,4,4,1,1,1,2,1,30,10,39,11,6,1
16/12/2020,Brighton,2,6,0,1,2,1,4,35,11,32,13,6,0
20/12/2020,Brighton,1,5,0,1,2,1,4,33,12,34,17,4,0
27/12/2020,Brighton,1,4,0,2,1,0,3,42,13,31,27,2,0
29/12/2020,Brighton,3,3,0,3,0,1,0,43,13,28,26,1,0
02/01/2021,Brighton,3,4,0,2,1,1,0,47,11,28,23,3,0
13/01/2021,Brighton,5,6,0,2,1,2,3,39,10,32,14,4,0
16/01/2021,Brighton,3,5,0,1,2,1,4,31,7,36,14,6,0
27/01/2021,Brighton,4,4,1,1,1,2,4,25,7,34,11,5,0
31/01/2021,Brighton,1,1,1,1,1,1,1,28,8,31,16,5,0
03/02/2021,Brighton,2,0,2,1,0,2,0,39,12,30,21,5,0
06/02/2021,Brighton,2,0,2,1,0,1,0,45,14,27,22,4,0
13/02/2021,Brighton,3,1,2,1,0,2,0,39,11,27,19,2,0
22/02/2021,Brighton,2,1,1,2,0,1,0,49,15,32,19,2,0
27/02/2021,Brighton,2,3,0,2,1,1,1,61,16,37,29,4,0
