Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Burnley,2,4,0,0,1,1,1,16,5,13,4,2,0
26/09/2020,Burnley,0,1,0,0,1,0,1,10,2,8,8,1,0
03/10/2020,Burnley,1,3,0,0,1,0,1,7,3,17,4,3,0
19/10/2020,Burnley,3,8,0,0,3,1,3,33,10,38,16,6,0
26/10/2020,Burnley,1,4,0,1,2,0,2,26,9,42,14,6,0
31/10/2020,Burnley,1,4,0,1,2,0,1,29,11,43,10,7,0
06/11/2020,Burnley,0,4,0,1,2,0,1,27,8,36,9,5,0
23/11/2020,Burnley,0,4,0,1,2,0,1,22,5,24,10,3,0
28/11/2020,Burnley,1,3,1,1,1,1,1,19,5,28,10,3,0
05/12/2020,Burnley,1,5,1,1,1,1,3,23,6,22,11,2,0
13/12/2020,Burnley,2,6,1,1,1,2,4,27,8,23,16,2,0
17/12/2020,Burnley,2,6,1,1,1,1,4,27,6,21,16,1,0
21/12/2020,Burnley,2,1,1,2,0,1,1,24,9,36,13,2,0
27/12/2020,Burnley,3,1,2,1,0,1,0,26,10,41,6,4,0
29/12/2020,Burnley,2,2,1,1,1,1,1,30,14,44,14,6,0
12/01/2021,Burnley,3,2,2,0,1,2,1,29,13,38,16,6,0
16/01/2021,Burnley,1,2,1,0,2,1,1,30,9,42,18,5,0
21/01/2021,Burnley,1,2,1,0,2,1,1,26,5,37,10,3,0
27/01/2021,Burnley,1,2,1,0,2,0,1,27,6,32,7,3,0
31/01/2021,Burnley,4,3,2,0,1,0,2,26,11,33,6,3,0
03/02/2021,Burnley,4,4,2,0,1,0,2,17,9,33,4,3,0
06/02/2021,Burnley,3,6,1,0,2,0,4,13,5,33,5,4,0
13/02/2021,Burnley,1,5,0,1,2,0,4,23,7,25,11,5,0
17/02/2021,Burnley,4,3,1,1,1,2,3,38,11,30,13,4,0
20/02/2021,Burnley,5,2,1,2,0,2,1,44,14,29,17,3,0
28/02/2021,Burnley,4,1,1,2,0,2,0,30,8,37,14,4,0
03/03/2021,Burnley,1,5,0,2,1,0,3,24,7,33,14,4,0
