Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Chelsea,3,1,1,0,0,1,0,10,5,13,3,0,0
20/09/2020,Chelsea,0,2,0,0,1,0,0,5,3,10,1,0,1
26/09/2020,Chelsea,3,3,0,1,0,0,3,22,10,16,9,3,0
03/10/2020,Chelsea,6,6,1,1,1,1,3,37,18,39,13,3,1
17/10/2020,Chelsea,7,5,1,1,1,0,3,44,19,43,18,5,1
24/10/2020,Chelsea,10,6,1,2,0,2,4,50,21,44,23,6,0
31/10/2020,Chelsea,7,3,1,2,0,2,1,34,12,34,20,4,0
07/11/2020,Chelsea,6,3,1,2,0,3,1,31,15,32,16,2,0
21/11/2020,Chelsea,7,1,2,1,0,3,1,40,19,26,16,1,0
29/11/2020,Chelsea,9,1,3,0,0,4,1,48,21,32,14,0,0
05/12/2020,Chelsea,6,1,2,1,0,3,1,47,15,37,13,4,0
12/12/2020,Chelsea,5,1,2,1,0,2,1,50,17,44,15,4,0
15/12/2020,Chelsea,3,2,1,1,1,1,2,46,17,43,17,7,0
21/12/2020,Chelsea,4,4,1,0,2,1,2,46,17,35,20,5,0
26/12/2020,Chelsea,4,3,1,0,2,1,1,34,13,34,17,5,0
28/12/2020,Chelsea,5,5,1,0,2,1,2,43,13,33,20,3,0
03/01/2021,Chelsea,5,4,1,1,1,2,2,46,15,37,25,4,0
16/01/2021,Chelsea,3,7,0,1,2,1,5,44,10,37,25,7,0
19/01/2021,Chelsea,3,4,1,1,1,1,3,46,13,37,28,9,0
27/01/2021,Chelsea,2,5,1,0,2,0,5,39,13,37,20,9,0
31/01/2021,Chelsea,1,2,1,1,1,0,2,44,16,40,28,7,0
04/02/2021,Chelsea,2,2,1,1,1,1,2,42,18,37,20,4,0
07/02/2021,Chelsea,3,0,2,1,0,2,0,51,15,35,24,4,0
15/02/2021,Chelsea,5,1,3,0,0,3,0,46,13,29,19,3,0
20/02/2021,Chelsea,5,1,3,0,0,4,0,45,10,31,25,3,0
28/02/2021,Chelsea,5,2,2,1,0,3,1,36,11,27,24,1,0
