Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Crystal Palace,1,0,1,0,0,1,0,5,3,14,7,2,0
19/09/2020,Crystal Palace,3,1,1,0,0,1,0,14,5,10,3,1,0
26/09/2020,Crystal Palace,1,2,0,0,1,1,2,8,1,16,7,3,0
03/10/2020,Crystal Palace,5,3,2,0,1,3,2,27,9,40,17,6,0
18/10/2020,Crystal Palace,4,7,1,0,2,2,2,26,6,39,15,4,0
24/10/2020,Crystal Palace,2,7,0,1,2,2,2,13,2,42,14,6,0
30/10/2020,Crystal Palace,3,6,1,1,1,2,0,19,11,37,11,4,0
07/11/2020,Crystal Palace,3,4,1,1,1,2,2,26,13,28,12,6,1
23/11/2020,Crystal Palace,6,4,2,0,1,4,3,35,18,24,13,3,1
27/11/2020,Crystal Palace,4,4,1,0,2,3,4,36,13,22,16,2,1
06/12/2020,Crystal Palace,4,4,1,0,2,3,2,37,14,27,17,2,0
13/12/2020,Crystal Palace,5,4,1,0,2,1,2,45,14,34,20,4,0
16/12/2020,Crystal Palace,6,4,1,1,1,1,2,46,14,40,17,5,0
19/12/2020,Crystal Palace,7,3,1,2,0,2,2,42,13,43,13,4,1
26/12/2020,Crystal Palace,2,9,0,2,1,1,4,29,10,32,12,3,1
28/12/2020,Crystal Palace,1,11,0,1,2,1,4,26,11,33,12,6,1
02/01/2021,Crystal Palace,1,11,0,1,2,0,4,22,10,31,11,5,0
14/01/2021,Crystal Palace,3,4,1,1,1,2,1,26,11,34,9,5,0
17/01/2021,Crystal Palace,3,1,1,2,0,2,0,25,7,29,8,2,0
26/01/2021,Crystal Palace,2,4,1,1,1,2,1,23,6,27,7,2,0
30/01/2021,Crystal Palace,2,7,0,1,2,1,3,20,5,28,7,1,0
02/02/2021,Crystal Palace,3,7,1,0,2,1,3,19,5,24,5,1,0
08/02/2021,Crystal Palace,5,4,2,0,1,3,3,23,8,27,5,4,0
13/02/2021,Crystal Palace,3,3,2,0,1,2,2,25,8,26,5,6,0
22/02/2021,Crystal Palace,2,6,1,0,2,2,4,27,9,34,11,5,0
28/02/2021,Crystal Palace,2,6,1,0,2,1,3,24,8,29,10,2,0
03/03/2021,Crystal Palace,2,4,1,1,1,1,2,19,5,31,8,1,0
