Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Everton,1,0,1,0,0,0,0,15,4,7,3,0,0
19/09/2020,Everton,5,2,1,0,0,2,1,17,7,9,11,1,0
26/09/2020,Everton,2,1,1,0,0,2,1,10,5,15,6,1,0
03/10/2020,Everton,8,3,3,0,0,4,2,42,16,31,20,2,0
17/10/2020,Everton,11,5,3,0,0,6,3,38,18,37,20,2,0
25/10/2020,Everton,8,5,2,1,0,5,3,32,16,43,11,4,1
01/11/2020,Everton,6,6,1,1,1,3,4,28,13,39,10,5,2
07/11/2020,Everton,3,6,0,1,2,1,3,32,11,36,11,9,2
22/11/2020,Everton,2,7,0,0,3,1,4,28,7,33,14,10,1
28/11/2020,Everton,5,7,1,0,2,4,3,31,12,32,14,8,0
05/12/2020,Everton,4,6,1,0,2,4,3,31,16,30,14,5,0
12/12/2020,Everton,4,4,1,1,1,4,2,37,21,27,13,1,0
16/12/2020,Everton,2,2,1,1,1,2,1,37,18,27,14,3,0
19/12/2020,Everton,4,1,2,1,0,3,1,33,16,28,16,5,0
26/12/2020,Everton,5,1,3,0,0,4,1,29,12,28,16,6,0
01/01/2021,Everton,5,1,3,0,0,3,1,27,11,28,13,8,0
12/01/2021,Everton,3,2,2,0,1,2,1,26,7,28,12,7,0
27/01/2021,Everton,3,2,2,0,1,1,1,22,8,30,13,8,0
30/01/2021,Everton,3,3,1,1,1,2,1,23,7,32,15,5,0
03/02/2021,Everton,3,4,1,1,1,2,1,24,8,36,17,6,0
06/02/2021,Everton,3,4,1,1,1,3,0,29,11,37,13,7,0
14/02/2021,Everton,5,6,1,1,1,2,2,27,12,35,9,7,0
17/02/2021,Everton,5,6,1,1,1,2,2,23,11,29,7,5,0
20/02/2021,Everton,4,8,0,1,2,1,3,16,7,25,6,4,0
01/03/2021,Everton,3,5,1,0,2,2,1,19,10,25,7,4,0
