Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Fulham,0,3,0,0,1,0,1,5,2,12,2,2,0
19/09/2020,Fulham,3,4,0,0,1,1,2,14,6,18,3,2,0
28/09/2020,Fulham,0,3,0,0,1,0,2,16,3,18,5,6,0
04/10/2020,Fulham,3,10,0,0,3,1,5,35,11,48,10,10,0
18/10/2020,Fulham,3,8,0,0,3,1,4,40,11,44,10,9,0
24/10/2020,Fulham,1,5,0,1,2,0,2,41,11,35,12,9,0
02/11/2020,Fulham,2,4,0,1,2,0,1,41,11,28,11,3,1
07/11/2020,Fulham,4,3,1,1,1,2,1,44,15,33,14,5,1
22/11/2020,Fulham,3,3,1,0,2,2,1,42,12,33,14,5,1
30/11/2020,Fulham,4,4,1,0,2,3,3,40,15,36,12,7,0
05/12/2020,Fulham,4,5,1,0,2,3,3,37,14,44,12,6,0
13/12/2020,Fulham,4,6,1,0,2,3,5,30,12,41,10,4,0
16/12/2020,Fulham,3,4,1,1,1,3,2,26,11,36,14,5,0
19/12/2020,Fulham,1,3,0,2,1,1,2,25,10,30,10,4,0
26/12/2020,Fulham,2,2,0,3,0,2,0,30,13,41,16,6,1
13/01/2021,Fulham,1,1,0,3,0,1,0,30,9,47,16,5,1
16/01/2021,Fulham,2,2,0,3,0,1,1,36,9,47,20,6,1
20/01/2021,Fulham,1,2,0,2,1,0,1,35,8,41,12,6,1
27/01/2021,Fulham,2,4,0,1,2,1,2,37,12,32,8,7,1
30/01/2021,Fulham,1,3,0,1,2,1,1,32,11,31,3,6,1
03/02/2021,Fulham,3,4,0,2,1,2,1,34,15,30,5,4,0
06/02/2021,Fulham,2,4,0,2,1,1,2,30,11,41,8,4,0
14/02/2021,Fulham,2,4,0,2,1,1,2,40,10,38,15,4,0
17/02/2021,Fulham,2,2,1,1,1,0,2,40,6,44,16,5,0
20/02/2021,Fulham,3,1,1,2,0,0,0,40,8,40,16,3,0
28/02/2021,Fulham,4,1,2,1,0,0,0,35,13,40,15,3,0
