Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Leeds,3,4,0,0,1,2,3,6,3,6,0,0,0
19/09/2020,Leeds,4,3,1,0,0,2,1,10,7,13,5,1,0
27/09/2020,Leeds,1,0,1,0,0,0,0,17,9,4,7,1,0
03/10/2020,Leeds,8,7,2,0,1,4,4,33,19,23,12,2,0
19/10/2020,Leeds,6,4,2,1,0,2,2,39,23,28,19,4,0
23/10/2020,Leeds,2,2,1,1,1,0,1,42,18,28,22,5,0
02/11/2020,Leeds,4,2,1,1,1,0,1,52,18,41,20,6,0
07/11/2020,Leeds,4,5,1,0,2,0,2,51,15,39,23,5,0
22/11/2020,Leeds,5,8,1,0,2,1,5,47,16,27,21,5,0
28/11/2020,Leeds,2,8,0,1,2,1,5,45,11,19,21,6,0
05/12/2020,Leeds,2,4,1,1,1,1,3,57,14,24,13,7,0
11/12/2020,Leeds,2,3,1,1,1,1,1,56,14,32,11,7,0
16/12/2020,Leeds,3,5,1,0,2,2,2,44,17,35,11,5,0
20/12/2020,Leeds,7,7,1,0,2,3,3,46,20,31,16,6,0
27/12/2020,Leeds,8,10,1,0,2,3,6,55,20,28,25,4,0
29/12/2020,Leeds,8,8,2,0,1,3,5,53,17,24,24,3,0
02/01/2021,Leeds,8,6,2,0,1,6,4,42,13,24,27,1,0
16/01/2021,Leeds,6,3,2,0,1,5,2,43,15,31,19,2,0
26/01/2021,Leeds,5,4,1,0,2,4,3,39,13,31,20,3,0
31/01/2021,Leeds,2,5,1,0,2,1,3,34,9,36,15,5,0
03/02/2021,Leeds,5,3,2,0,1,2,2,24,11,39,14,7,0
08/02/2021,Leeds,6,4,2,0,1,2,3,33,16,43,16,8,0
14/02/2021,Leeds,6,3,2,0,1,2,3,41,21,35,16,5,0
19/02/2021,Leeds,5,6,1,0,2,1,5,42,19,36,17,4,0
23/02/2021,Leeds,4,5,1,0,2,1,3,44,19,32,19,2,0
27/02/2021,Leeds,5,5,1,0,2,0,3,38,19,36,16,3,0
