Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Leicester,3,0,1,0,0,0,0,13,7,9,5,1,0
20/09/2020,Leicester,4,2,1,0,0,1,1,14,6,11,15,1,0
27/09/2020,Leicester,5,2,1,0,0,1,1,7,7,8,4,3,0
04/10/2020,Leicester,12,4,3,0,0,2,2,34,20,28,24,5,0
18/10/2020,Leicester,9,7,2,0,1,2,4,25,13,30,25,6,0
25/10/2020,Leicester,5,6,1,0,2,1,3,22,12,37,12,9,0
02/11/2020,Leicester,1,4,1,0,2,0,2,21,7,38,11,11,0
08/11/2020,Leicester,5,2,2,0,1,2,0,27,15,32,8,10,0
22/11/2020,Leicester,6,1,3,0,0,3,0,26,13,26,12,8,0
30/11/2020,Leicester,5,4,2,0,1,3,2,31,15,23,12,5,0
06/12/2020,Leicester,2,5,1,0,2,1,4,37,10,27,15,4,0
13/12/2020,Leicester,3,6,1,0,2,1,5,40,11,21,14,5,0
16/12/2020,Leicester,6,3,2,0,1,4,3,44,13,24,20,5,0
20/12/2020,Leicester,5,3,2,0,1,4,2,42,12,27,18,7,0
26/12/2020,Leicester,5,2,2,0,1,4,1,46,12,35,16,6,0
28/12/2020,Leicester,4,4,1,1,1,2,2,41,8,36,12,6,0
03/01/2021,Leicester,5,3,1,2,0,2,1,44,9,31,13,5,0
16/01/2021,Leicester,5,4,1,2,0,1,1,36,8,28,16,5,0
19/01/2021,Leicester,5,2,2,1,0,1,0,42,11,28,13,5,0
27/01/2021,Leicester,6,1,3,0,0,3,0,33,14,28,14,5,0
31/01/2021,Leicester,5,1,2,1,0,3,1,43,17,27,19,4,0
03/02/2021,Leicester,4,4,1,1,1,3,2,45,20,34,23,2,0
07/02/2021,Leicester,4,4,1,1,1,3,2,46,19,37,19,2,0
13/02/2021,Leicester,3,3,1,1,1,3,1,40,16,42,10,4,0
21/02/2021,Leicester,5,1,2,1,0,2,0,33,14,34,6,5,0
28/02/2021,Leicester,5,2,2,1,0,2,0,40,16,36,12,5,0
03/03/2021,Leicester,6,5,2,0,1,3,2,35,16,36,12,4,0
