Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Liverpool,4,3,1,0,0,3,2,22,6,9,9,1,0
20/09/2020,Liverpool,2,0,1,0,0,0,0,18,6,6,11,0,0
28/09/2020,Liverpool,3,1,1,0,0,2,1,21,8,11,7,2,0
04/10/2020,Liverpool,9,4,3,0,0,5,3,61,20,26,27,3,0
17/10/2020,Liverpool,7,8,2,0,1,3,5,53,22,27,25,3,0
24/10/2020,Liverpool,7,10,1,1,1,4,6,57,24,30,19,5,0
31/10/2020,Liverpool,6,10,1,1,1,3,6,53,21,26,19,3,0
08/11/2020,Liverpool,6,4,2,1,0,3,3,48,18,29,13,2,0
22/11/2020,Liverpool,5,3,2,1,0,3,3,36,13,31,10,1,0
28/11/2020,Liverpool,6,2,2,1,0,4,2,43,21,39,13,1,0
06/12/2020,Liverpool,5,2,1,2,0,3,1,40,18,39,15,2,0
13/12/2020,Liverpool,8,1,2,1,0,3,0,41,21,36,17,2,0
16/12/2020,Liverpool,6,2,1,2,0,1,1,29,14,26,15,3,0
19/12/2020,Liverpool,7,2,2,1,0,2,2,40,23,21,19,2,0
27/12/2020,Liverpool,10,2,2,1,0,4,2,43,25,24,19,1,0
30/12/2020,Liverpool,10,2,2,1,0,5,1,48,21,27,19,0,0
04/01/2021,Liverpool,8,1,1,2,0,4,0,42,14,32,24,3,0
17/01/2021,Liverpool,1,2,0,2,1,1,1,45,7,33,30,6,0
21/01/2021,Liverpool,0,1,0,2,1,0,1,45,8,40,29,8,0
28/01/2021,Liverpool,0,2,0,1,2,0,1,61,10,38,29,7,0
31/01/2021,Liverpool,3,2,1,1,1,1,0,58,16,37,21,6,0
03/02/2021,Liverpool,6,3,2,0,1,1,0,55,18,30,19,4,0
07/02/2021,Liverpool,6,3,2,0,1,1,0,39,13,31,13,3,0
13/02/2021,Liverpool,4,6,1,0,2,0,0,33,9,33,17,3,0
20/02/2021,Liverpool,2,8,0,0,3,0,0,34,8,31,24,5,0
28/02/2021,Liverpool,2,9,0,0,3,0,1,38,13,29,25,6,0
