Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Man City,3,1,1,0,0,2,0,14,9,8,6,3,0
27/09/2020,Man City,2,5,0,0,1,1,1,16,5,13,3,1,0
03/10/2020,Man City,1,1,0,1,0,1,0,23,2,12,10,1,0
17/10/2020,Man City,6,7,1,1,1,4,1,53,16,33,19,5,0
24/10/2020,Man City,4,6,1,1,1,3,1,52,12,40,19,6,0
31/10/2020,Man City,3,2,1,2,0,2,1,50,14,33,26,5,0
08/11/2020,Man City,3,1,2,1,0,2,1,43,20,27,21,4,0
21/11/2020,Man City,3,2,1,2,0,2,2,37,17,31,16,3,0
28/11/2020,Man City,2,3,1,1,1,2,2,45,15,44,16,5,0
05/12/2020,Man City,6,3,1,1,1,4,2,48,13,50,17,5,0
12/12/2020,Man City,7,2,2,0,1,5,1,57,17,38,25,2,0
15/12/2020,Man City,7,0,2,1,0,5,0,44,14,25,18,1,0
19/12/2020,Man City,3,1,1,2,0,3,1,51,15,18,25,3,0
26/12/2020,Man City,2,1,1,2,0,2,1,46,14,22,22,5,0
03/01/2021,Man City,4,1,2,1,0,3,1,48,18,21,26,6,0
13/01/2021,Man City,6,1,3,0,0,5,0,40,17,26,16,5,0
17/01/2021,Man City,6,1,3,0,0,5,0,45,18,19,18,3,0
20/01/2021,Man City,8,1,3,0,0,5,0,47,18,23,22,1,0
26/01/2021,Man City,7,0,3,0,0,2,0,57,21,23,35,0,0
30/01/2021,Man City,11,0,3,0,0,5,0,59,22,27,35,0,0
03/02/2021,Man City,8,0,3,0,0,5,0,56,21,25,34,0,0
07/02/2021,Man City,8,0,3,0,0,7,0,45,18,20,21,1,0
13/02/2021,Man City,7,1,3,0,0,3,0,35,16,20,14,2,0
17/02/2021,Man City,9,1,3,0,0,3,0,40,17,25,8,3,0
21/02/2021,Man City,10,2,3,0,0,2,1,39,18,28,15,3,0
27/02/2021,Man City,7,1,3,0,0,3,1,46,16,29,17,4,0
02/03/2021,Man City,6,2,3,0,0,3,2,41,13,25,17,4,0
