Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Man United,1,3,0,0,1,0,1,13,4,13,9,2,0
26/09/2020,Man United,3,2,1,0,0,1,1,7,3,16,1,2,0
04/10/2020,Man United,1,6,0,0,1,1,4,5,2,14,2,2,1
17/10/2020,Man United,5,11,1,0,2,2,6,25,9,43,12,6,1
24/10/2020,Man United,8,9,2,0,1,3,6,40,19,42,10,5,1
01/11/2020,Man United,5,7,1,1,1,2,5,47,20,34,18,6,1
07/11/2020,Man United,4,2,1,1,1,1,1,50,20,32,22,7,0
21/11/2020,Man United,3,2,1,1,1,2,1,35,11,39,17,8,0
29/11/2020,Man United,4,2,2,0,1,2,1,38,14,43,16,6,0
05/12/2020,Man United,7,3,3,0,0,2,3,45,18,43,19,3,0
12/12/2020,Man United,7,3,3,0,0,0,3,47,19,34,21,1,0
17/12/2020,Man United,6,3,2,1,0,0,3,41,14,35,17,1,0
20/12/2020,Man United,6,3,2,1,0,2,2,40,16,31,11,3,0
26/12/2020,Man United,9,4,2,1,0,6,2,51,24,27,18,4,0
29/12/2020,Man United,11,6,2,1,0,7,3,49,26,31,14,4,0
01/01/2021,Man United,9,4,2,1,0,5,2,46,21,34,13,3,0
12/01/2021,Man United,5,3,2,1,0,2,1,39,16,50,7,6,0
17/01/2021,Man United,4,1,3,0,0,1,0,43,19,46,11,7,0
20/01/2021,Man United,3,1,2,1,0,1,0,40,20,41,12,7,0
27/01/2021,Man United,3,1,2,1,0,1,1,36,16,29,15,4,0
30/01/2021,Man United,3,3,1,1,1,1,2,39,13,26,18,3,0
02/02/2021,Man United,3,3,1,1,1,1,2,45,12,36,22,5,0
06/02/2021,Man United,10,2,1,1,1,4,1,54,21,37,19,6,0
14/02/2021,Man United,12,3,1,2,0,6,0,52,22,41,17,7,0
21/02/2021,Man United,13,4,1,2,0,7,1,48,26,35,15,4,0
28/02/2021,Man United,7,5,1,2,0,4,2,39,19,33,16,3,0
03/03/2021,Man United,4,2,1,2,0,2,2,36,18,31,15,3,0
