Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Newcastle,2,0,1,0,0,0,0,15,2,7,7,2,0
20/09/2020,Newcastle,0,3,0,0,1,0,2,6,0,16,7,3,0
27/09/2020,Newcastle,1,1,0,1,0,0,1,6,1,9,4,4,0
03/10/2020,Newcastle,3,4,1,1,1,0,3,27,3,32,18,9,0
17/10/2020,Newcastle,4,5,1,1,1,1,3,22,6,38,14,9,0
25/10/2020,Newcastle,5,6,1,1,1,2,2,23,10,31,7,7,0
01/11/2020,Newcastle,5,6,1,1,1,2,1,22,11,32,6,4,0
06/11/2020,Newcastle,4,6,1,1,1,1,1,23,10,28,8,4,0
21/11/2020,Newcastle,3,4,1,1,1,0,1,20,8,30,11,5,0
27/11/2020,Newcastle,2,5,1,0,2,0,2,23,7,31,15,6,0
12/12/2020,Newcastle,2,4,1,0,2,0,2,26,10,32,13,6,0
16/12/2020,Newcastle,4,3,2,0,1,1,1,34,15,30,14,6,0
19/12/2020,Newcastle,6,6,2,0,1,2,1,36,18,32,11,5,0
26/12/2020,Newcastle,5,7,1,1,1,2,2,34,16,29,10,4,0
30/12/2020,Newcastle,3,8,0,1,2,1,3,29,11,32,9,4,0
03/01/2021,Newcastle,1,3,0,2,1,0,2,27,9,28,10,5,0
12/01/2021,Newcastle,1,4,0,1,2,0,1,23,6,31,11,4,0
18/01/2021,Newcastle,1,3,0,1,2,0,0,23,7,31,10,5,1
23/01/2021,Newcastle,1,6,0,0,3,0,0,19,6,30,7,3,1
26/01/2021,Newcastle,0,6,0,0,3,0,2,18,5,38,8,6,1
30/01/2021,Newcastle,1,7,0,0,3,0,3,33,7,36,15,4,0
02/02/2021,Newcastle,3,4,1,0,2,0,3,42,9,34,25,8,0
06/02/2021,Newcastle,4,4,1,0,2,1,3,56,13,30,30,6,0
15/02/2021,Newcastle,6,4,2,0,1,4,3,40,12,31,21,7,1
21/02/2021,Newcastle,4,6,1,0,2,4,5,37,13,38,14,3,1
27/02/2021,Newcastle,4,7,1,0,2,4,4,26,14,35,9,4,1
