Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Sheffield United,0,2,0,0,1,0,2,9,2,13,12,2,0
21/09/2020,Sheffield United,0,1,0,0,1,0,0,4,1,13,4,1,1
27/09/2020,Sheffield United,0,1,0,0,1,0,0,14,4,18,5,2,0
04/10/2020,Sheffield United,0,4,0,0,3,0,2,27,7,44,21,5,1
18/10/2020,Sheffield United,1,4,0,0,3,0,0,24,7,40,13,4,1
24/10/2020,Sheffield United,2,4,0,1,2,0,0,30,12,32,11,3,0
31/10/2020,Sheffield United,3,5,0,1,2,1,1,29,10,29,9,4,0
07/11/2020,Sheffield United,2,4,0,1,2,1,2,28,9,34,7,3,0
22/11/2020,Sheffield United,2,7,0,0,3,2,4,24,6,43,12,5,0
28/11/2020,Sheffield United,1,6,0,0,3,1,3,20,9,35,11,2,0
06/12/2020,Sheffield United,1,6,0,0,3,1,3,36,13,30,18,5,0
13/12/2020,Sheffield United,1,4,0,0,3,1,2,34,11,29,17,4,0
17/12/2020,Sheffield United,1,6,0,0,3,1,3,28,6,36,19,5,0
20/12/2020,Sheffield United,3,8,0,0,3,2,4,19,7,44,16,5,0
26/12/2020,Sheffield United,3,7,0,1,2,1,3,20,9,42,12,9,1
29/12/2020,Sheffield United,3,5,0,1,2,1,2,27,11,39,14,10,1
02/01/2021,Sheffield United,1,3,0,1,2,0,1,22,8,39,13,9,1
12/01/2021,Sheffield United,0,4,0,0,3,0,3,24,7,46,17,7,0
17/01/2021,Sheffield United,1,3,1,0,2,0,3,31,9,48,16,7,0
27/01/2021,Sheffield United,2,5,1,0,2,0,4,39,11,44,16,9,0
30/01/2021,Sheffield United,4,4,2,0,1,1,2,37,12,38,12,7,0
02/02/2021,Sheffield United,3,5,1,0,2,1,3,24,9,35,7,8,0
07/02/2021,Sheffield United,4,3,2,0,1,1,2,23,10,33,11,6,0
15/02/2021,Sheffield United,3,4,1,0,2,0,3,26,10,29,10,6,0
20/02/2021,Sheffield United,3,6,1,0,2,0,3,30,14,31,17,5,0
28/02/2021,Sheffield United,1,6,0,0,3,0,2,20,10,34,12,5,0
03/03/2021,Sheffield United,0,6,0,0,3,0,1,20,9,35,15,4,0
