Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Southampton,0,1,0,0,1,0,1,9,5,11,3,1,0
20/09/2020,Southampton,2,5,0,0,1,1,1,14,7,16,3,4,0
26/09/2020,Southampton,1,0,1,0,0,1,0,5,1,10,2,0,0
04/10/2020,Southampton,3,6,1,0,2,2,2,28,13,37,8,5,0
17/10/2020,Southampton,5,5,2,0,1,3,1,32,15,45,10,6,0
25/10/2020,Southampton,6,3,2,1,0,3,2,31,14,38,9,3,0
01/11/2020,Southampton,7,3,2,1,0,4,2,38,19,39,11,4,0
06/11/2020,Southampton,9,6,2,1,0,6,2,34,16,37,7,4,0
23/11/2020,Southampton,8,3,3,0,0,6,0,36,18,40,13,4,0
29/11/2020,Southampton,7,4,2,1,0,4,0,31,14,42,13,3,0
07/12/2020,Southampton,5,4,1,1,1,3,0,32,15,37,17,2,0
13/12/2020,Southampton,5,5,1,1,1,3,1,27,10,37,12,4,0
16/12/2020,Southampton,7,4,2,0,1,4,1,36,14,32,16,4,0
19/12/2020,Southampton,6,2,2,1,0,3,1,39,12,33,18,6,0
26/12/2020,Southampton,4,2,1,1,1,2,1,38,12,30,21,5,0
29/12/2020,Southampton,1,2,0,2,1,1,1,25,8,34,16,5,0
04/01/2021,Southampton,0,1,0,2,1,0,1,20,8,37,13,5,0
16/01/2021,Southampton,1,0,1,2,0,1,0,18,8,33,8,4,0
26/01/2021,Southampton,1,2,1,1,1,1,1,23,9,32,10,6,0
30/01/2021,Southampton,2,5,1,0,2,2,3,28,11,27,10,4,0
02/02/2021,Southampton,1,6,0,0,3,1,4,41,13,34,16,4,0
06/02/2021,Southampton,1,13,0,0,3,1,7,36,11,29,14,5,2
14/02/2021,Southampton,2,13,0,0,3,1,8,37,11,32,17,5,2
20/02/2021,Southampton,3,14,0,0,3,2,7,24,9,30,14,6,2
23/02/2021,Southampton,4,6,0,1,2,3,3,25,9,34,14,4,0
01/03/2021,Southampton,2,6,0,1,2,2,0,24,9,33,11,5,0
