Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Tottenham,0,1,0,0,1,0,0,9,5,15,5,1,0
20/09/2020,Tottenham,5,2,1,0,0,1,1,9,6,18,2,3,0
27/09/2020,Tottenham,1,1,0,1,0,1,0,23,12,15,10,1,0
04/10/2020,Tottenham,6,4,1,1,1,2,1,41,23,48,17,5,0
18/10/2020,Tottenham,12,4,2,1,0,6,2,54,26,43,16,5,0
26/10/2020,Tottenham,10,5,1,2,0,8,1,56,26,38,17,2,0
01/11/2020,Tottenham,10,4,2,1,0,7,1,42,17,30,12,1,0
08/11/2020,Tottenham,6,4,2,1,0,4,0,29,12,34,12,2,0
21/11/2020,Tottenham,4,1,3,0,0,1,0,37,11,33,15,2,0
29/11/2020,Tottenham,5,1,3,0,0,2,0,32,10,39,10,4,0
06/12/2020,Tottenham,3,0,2,1,0,1,0,28,8,34,9,4,0
13/12/2020,Tottenham,4,0,2,1,0,3,0,15,6,38,6,5,0
16/12/2020,Tottenham,3,1,1,2,0,3,0,25,10,36,13,4,0
20/12/2020,Tottenham,4,3,1,1,1,4,1,28,11,36,14,4,0
27/12/2020,Tottenham,2,5,0,1,2,2,2,30,11,35,16,5,0
02/01/2021,Tottenham,2,5,0,1,2,2,2,22,8,37,11,5,0
13/01/2021,Tottenham,4,3,1,1,1,3,1,34,13,43,10,5,1
17/01/2021,Tottenham,5,2,1,2,0,4,0,41,16,41,11,4,1
28/01/2021,Tottenham,7,2,2,1,0,5,0,49,18,32,16,3,1
31/01/2021,Tottenham,5,5,1,1,1,3,1,32,13,26,14,2,0
04/02/2021,Tottenham,4,5,1,0,2,2,2,25,11,24,10,2,0
07/02/2021,Tottenham,1,5,0,0,3,0,3,18,8,40,5,4,0
13/02/2021,Tottenham,2,2,1,0,2,0,2,28,12,47,12,4,0
21/02/2021,Tottenham,2,4,1,0,2,0,2,27,11,49,12,6,0
28/02/2021,Tottenham,3,5,1,0,2,0,2,40,13,36,17,7,0
