Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,West Brom,0,3,0,0,1,0,0,7,1,12,2,1,0
19/09/2020,West Brom,2,5,0,0,1,1,2,6,4,11,1,0,1
26/09/2020,West Brom,3,3,0,1,0,3,0,9,3,8,3,1,0
04/10/2020,West Brom,5,11,0,1,2,4,2,22,8,31,6,2,1
19/10/2020,West Brom,5,10,0,1,2,4,3,20,9,29,5,2,1
26/10/2020,West Brom,3,5,0,2,1,3,1,27,11,33,12,4,0
02/11/2020,West Brom,1,3,0,2,1,0,2,27,11,32,11,3,0
08/11/2020,West Brom,1,3,0,2,1,0,3,32,10,33,12,4,0
21/11/2020,West Brom,1,4,0,1,2,0,3,31,6,35,13,3,0
28/11/2020,West Brom,0,4,0,0,3,0,2,29,5,45,13,4,0
06/12/2020,West Brom,1,2,1,0,2,1,0,36,10,44,25,4,0
12/12/2020,West Brom,2,6,1,0,2,2,1,33,12,37,20,5,1
15/12/2020,West Brom,3,7,1,0,2,2,2,39,13,32,21,7,1
20/12/2020,West Brom,3,8,0,1,2,2,3,27,8,30,9,8,1
27/12/2020,West Brom,2,6,0,1,2,1,3,19,5,34,6,7,1
29/12/2020,West Brom,2,5,0,2,1,1,3,11,5,27,6,5,1
02/01/2021,West Brom,1,9,0,1,2,0,6,10,5,26,7,2,1
16/01/2021,West Brom,1,10,0,1,2,0,7,16,7,19,9,2,0
19/01/2021,West Brom,3,11,1,0,2,1,8,23,9,28,6,2,0
26/01/2021,West Brom,4,8,1,0,2,1,5,25,10,31,4,3,0
30/01/2021,West Brom,4,9,1,0,2,1,7,22,8,32,4,4,0
02/02/2021,West Brom,3,9,0,1,2,0,6,15,6,27,6,4,0
07/02/2021,West Brom,3,9,0,1,2,1,5,17,8,26,7,4,0
14/02/2021,West Brom,3,6,0,1,2,1,1,17,8,30,4,4,0
20/02/2021,West Brom,2,5,0,1,2,2,1,19,8,34,6,8,0
27/02/2021,West Brom,1,3,0,2,1,1,1,21,7,35,9,7,1
