Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,West Ham,0,2,0,0,1,0,0,15,3,13,8,2,0
19/09/2020,West Ham,1,2,0,0,1,1,1,14,3,13,5,1,0
27/09/2020,West Ham,4,0,1,0,0,1,0,15,7,7,1,0,0
04/10/2020,West Ham,5,4,1,0,2,2,1,44,13,33,14,3,0
18/10/2020,West Ham,8,2,2,0,1,4,1,43,16,28,10,3,0
24/10/2020,West Ham,10,3,2,1,0,3,3,42,17,27,12,7,0
31/10/2020,West Ham,7,4,1,2,0,3,3,33,12,34,13,9,0
07/11/2020,West Ham,5,6,0,2,1,2,4,23,9,40,11,8,0
22/11/2020,West Ham,3,3,1,1,1,2,1,26,12,38,13,5,0
30/11/2020,West Ham,3,2,2,0,1,1,1,35,13,30,17,3,0
05/12/2020,West Ham,4,1,3,0,0,1,1,37,12,36,18,3,0
11/12/2020,West Ham,4,4,2,0,1,2,1,40,11,35,14,1,0
16/12/2020,West Ham,5,5,2,0,1,3,2,44,16,39,14,3,0
21/12/2020,West Ham,4,5,1,1,1,2,2,47,16,27,16,2,0
27/12/2020,West Ham,3,5,1,1,1,1,3,34,10,24,15,2,0
29/12/2020,West Ham,3,6,0,2,1,0,3,26,6,20,14,0,0
01/01/2021,West Ham,2,5,0,2,1,0,2,25,7,27,12,1,0
16/01/2021,West Ham,3,2,1,2,0,0,1,30,12,28,12,1,0
19/01/2021,West Ham,2,0,2,1,0,1,0,34,12,34,14,3,0
26/01/2021,West Ham,4,1,3,0,0,2,0,40,15,29,14,2,0
31/01/2021,West Ham,6,3,3,0,0,4,1,46,17,30,14,2,0
03/02/2021,West Ham,6,6,2,0,1,3,1,39,15,25,13,2,0
06/02/2021,West Ham,7,6,2,0,1,2,1,45,19,30,13,3,0
15/02/2021,West Ham,4,4,1,1,1,0,0,36,13,32,12,5,1
21/02/2021,West Ham,6,1,2,1,0,1,0,41,20,36,13,3,1
27/02/2021,West Ham,5,1,2,1,0,2,0,25,14,35,15,6,1
