Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Wolves,2,0,1,0,0,2,0,11,4,7,5,1,0
21/09/2020,Wolves,1,3,0,0,1,0,2,10,1,6,4,0,0
27/09/2020,Wolves,0,4,0,0,1,0,1,11,2,11,3,1,0
04/10/2020,Wolves,3,7,1,0,2,2,3,32,7,24,12,2,0
19/10/2020,Wolves,2,7,1,0,2,0,3,35,8,32,13,2,0
25/10/2020,Wolves,2,4,2,0,1,0,1,32,10,38,12,3,0
30/10/2020,Wolves,3,1,2,1,0,0,0,37,11,37,11,2,0
08/11/2020,Wolves,4,1,2,1,0,2,0,38,11,35,12,1,0
23/11/2020,Wolves,3,2,1,1,1,2,1,38,10,31,12,3,0
29/11/2020,Wolves,3,2,1,1,1,2,1,42,16,35,17,5,0
06/12/2020,Wolves,3,3,1,1,1,2,2,38,16,35,14,9,0
12/12/2020,Wolves,3,6,1,1,1,2,2,40,17,41,17,7,0
15/12/2020,Wolves,2,6,1,0,2,2,2,36,15,50,15,7,0
21/12/2020,Wolves,2,6,1,0,2,0,1,37,14,49,16,5,0
27/12/2020,Wolves,3,4,1,0,2,0,1,43,14,50,17,5,0
29/12/2020,Wolves,4,4,1,1,1,0,2,38,13,47,21,7,0
02/01/2021,Wolves,2,4,0,1,2,0,2,35,14,42,18,6,0
12/01/2021,Wolves,4,5,0,2,1,3,2,31,15,35,19,6,0
16/01/2021,Wolves,4,6,0,1,2,4,2,32,12,21,16,4,0
27/01/2021,Wolves,6,8,0,1,2,6,3,46,13,24,25,5,0
30/01/2021,Wolves,3,5,0,1,2,3,2,39,9,23,18,5,0
02/02/2021,Wolves,2,4,0,1,2,2,1,33,10,27,18,5,0
07/02/2021,Wolves,2,2,1,1,1,1,1,21,11,28,16,6,0
14/02/2021,Wolves,2,2,1,1,1,1,1,30,12,32,23,6,0
19/02/2021,Wolves,4,2,2,1,0,1,2,34,12,31,23,6,0
27/02/2021,Wolves,3,1,2,1,0,0,1,38,10,33,21,4,0
02/03/2021,Wolves,4,2,2,1,0,0,1,39,13,35,18,3,0
