Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
22/08/2020,Angers,1,0,1,0,0,1,0,12,4,8,9,0,0
30/08/2020,Angers,0,2,0,0,1,0,2,12,2,12,5,1,0
13/09/2020,Angers,1,0,1,0,0,0,0,20,7,12,1,4,1
20/09/2020,Angers,2,2,2,0,1,1,2,44,13,32,15,5,1
27/09/2020,Angers,2,6,1,0,2,1,4,46,12,29,9,8,1
02/10/2020,Angers,5,6,2,0,1,2,4,46,15,34,10,10,1
18/10/2020,Angers,5,12,1,0,2,2,6,34,10,31,11,8,0
23/10/2020,Angers,5,9,1,1,1,2,5,27,9,44,10,9,0
01/11/2020,Angers,4,8,1,1,1,2,4,25,8,32,8,6,0
08/11/2020,Angers,3,5,1,1,1,2,4,28,11,41,15,9,0
22/11/2020,Angers,7,5,2,0,1,3,3,36,17,38,15,10,0
29/11/2020,Angers,5,5,1,0,2,2,2,46,21,45,19,12,0
06/12/2020,Angers,8,3,2,0,1,3,1,53,23,40,17,9,0
11/12/2020,Angers,5,2,2,0,1,2,1,48,18,38,17,7,0
16/12/2020,Angers,5,1,2,1,0,2,1,36,13,41,15,8,0
20/12/2020,Angers,2,2,1,1,1,1,0,26,8,37,14,7,0
23/12/2020,Angers,1,3,0,2,1,1,0,28,11,37,18,4,0
06/01/2021,Angers,3,4,1,1,1,3,0,29,10,36,14,3,0
09/01/2021,Angers,5,3,2,1,0,5,1,28,11,37,14,3,0
16/01/2021,Angers,4,5,2,0,1,4,2,22,7,34,10,3,0
24/01/2021,Angers,2,5,1,0,2,2,2,24,9,31,13,1,0
31/01/2021,Angers,1,6,0,0,3,1,3,32,13,41,11,2,0
03/02/2021,Angers,4,4,1,0,2,3,3,38,16,40,13,3,0
07/02/2021,Angers,4,3,1,1,1,3,3,33,14,37,13,4,0
14/02/2021,Angers,3,4,1,1,1,2,3,28,10,26,18,3,0
21/02/2021,Angers,1,6,0,1,2,1,4,24,8,35,21,4,0
28/02/2021,Angers,1,6,0,1,2,1,4,25,9,37,20,4,0
03/03/2021,Angers,3,5,0,2,1,3,3,21,9,41,17,3,0
