Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/08/2020,Bordeaux,0,0,0,1,0,0,0,5,1,10,2,2,1
30/08/2020,Bordeaux,2,0,1,0,0,2,0,7,7,19,7,3,0
11/09/2020,Bordeaux,0,0,0,1,0,0,0,5,0,12,4,2,0
19/09/2020,Bordeaux,2,0,1,2,0,2,0,17,8,41,13,7,1
27/09/2020,Bordeaux,3,2,1,1,1,2,0,19,10,46,11,10,1
04/10/2020,Bordeaux,1,2,0,2,1,0,0,30,8,36,11,8,1
17/10/2020,Bordeaux,4,2,1,1,1,2,0,42,15,39,12,8,1
25/10/2020,Bordeaux,4,3,1,1,1,2,1,43,16,37,22,4,0
01/11/2020,Bordeaux,6,3,2,0,1,2,1,45,17,37,22,6,0
07/11/2020,Bordeaux,3,7,1,0,2,0,4,33,10,34,21,6,0
20/11/2020,Bordeaux,2,6,1,0,2,0,3,34,7,35,14,7,0
28/11/2020,Bordeaux,1,6,1,0,2,1,3,20,4,45,10,6,0
06/12/2020,Bordeaux,3,4,1,1,1,2,2,33,8,43,11,5,0
13/12/2020,Bordeaux,4,2,2,1,0,2,2,45,13,39,16,3,0
16/12/2020,Bordeaux,4,4,1,1,1,2,4,43,13,30,16,3,0
20/12/2020,Bordeaux,3,4,1,0,2,2,3,36,12,32,14,5,0
23/12/2020,Bordeaux,4,4,1,0,2,3,3,26,12,34,9,6,0
06/01/2021,Bordeaux,4,5,1,0,2,2,3,31,12,35,11,7,0
09/01/2021,Bordeaux,3,3,1,1,1,1,2,32,12,43,10,6,0
17/01/2021,Bordeaux,3,4,1,1,1,2,3,37,12,41,12,7,0
24/01/2021,Bordeaux,5,1,2,1,0,2,1,45,18,37,17,5,0
29/01/2021,Bordeaux,7,2,3,0,0,4,2,40,18,28,18,4,0
03/02/2021,Bordeaux,6,3,2,0,1,2,2,36,14,24,22,4,0
07/02/2021,Bordeaux,3,6,1,0,2,2,2,29,9,25,13,4,0
14/02/2021,Bordeaux,2,7,0,0,3,0,1,30,10,29,14,6,0
21/02/2021,Bordeaux,1,5,0,1,2,0,0,36,9,36,11,5,0
27/02/2021,Bordeaux,1,4,0,1,2,0,1,37,9,40,17,7,1
03/03/2021,Bordeaux,1,4,0,1,2,1,1,37,6,43,14,5,1
