Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Brest,0,4,0,0,1,0,2,10,3,17,4,3,1
30/08/2020,Brest,2,3,0,0,1,1,2,19,4,17,10,2,0
13/09/2020,Brest,2,0,1,0,0,1,0,19,5,16,7,0,0
20/09/2020,Brest,4,7,1,0,2,2,4,48,12,50,21,5,1
27/09/2020,Brest,7,5,2,0,1,4,3,52,15,53,21,4,0
04/10/2020,Brest,7,5,2,0,1,5,2,47,17,57,12,4,0
18/10/2020,Brest,6,5,2,0,1,5,2,35,17,51,6,7,0
25/10/2020,Brest,4,6,1,0,2,3,3,35,16,46,8,7,0
31/10/2020,Brest,2,6,1,0,2,1,4,35,14,33,19,6,0
08/11/2020,Brest,2,8,0,0,3,0,4,37,13,35,19,6,0
21/11/2020,Brest,4,7,1,0,2,3,3,35,16,33,16,8,0
29/11/2020,Brest,8,5,2,0,1,7,2,31,17,37,9,8,0
06/12/2020,Brest,9,3,3,0,0,8,2,32,16,35,13,6,0
13/12/2020,Brest,6,2,2,0,1,5,1,28,11,33,12,5,0
16/12/2020,Brest,4,2,2,0,1,2,0,28,12,33,10,5,0
20/12/2020,Brest,4,4,1,1,1,2,0,26,11,28,8,4,1
23/12/2020,Brest,6,5,1,2,0,2,1,35,15,31,12,3,1
06/01/2021,Brest,5,6,0,2,1,1,3,35,12,32,15,4,1
09/01/2021,Brest,5,4,1,1,1,2,3,37,16,39,18,6,0
17/01/2021,Brest,3,5,1,0,2,2,3,32,11,38,16,5,0
24/01/2021,Brest,3,5,1,0,2,3,2,36,12,34,13,4,0
31/01/2021,Brest,1,6,0,0,3,1,3,43,7,33,11,2,0
03/02/2021,Brest,3,7,0,0,3,2,3,41,10,33,11,2,0
07/02/2021,Brest,4,7,0,1,2,1,3,30,8,38,11,1,0
14/02/2021,Brest,6,7,1,1,1,1,2,37,13,38,13,2,0
19/02/2021,Brest,4,3,1,2,0,0,1,30,9,40,12,2,0
28/02/2021,Brest,4,4,1,1,1,0,3,46,14,35,20,4,0
03/03/2021,Brest,2,5,0,1,2,0,3,29,9,30,16,3,0
