Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
22/08/2020,Dijon,0,1,0,0,1,0,1,9,1,15,3,0,0
28/08/2020,Dijon,1,4,0,0,1,1,3,6,2,7,2,3,0
13/09/2020,Dijon,0,2,0,0,1,0,1,7,3,16,5,2,1
20/09/2020,Dijon,1,7,0,0,3,1,5,22,6,38,10,5,1
27/09/2020,Dijon,1,7,0,0,3,1,4,19,7,39,9,6,1
04/10/2020,Dijon,2,5,0,1,2,1,1,28,11,47,13,7,1
16/10/2020,Dijon,2,6,0,1,2,1,2,26,9,45,12,8,0
24/10/2020,Dijon,3,6,0,2,1,1,3,32,11,51,13,11,0
01/11/2020,Dijon,1,8,0,1,2,0,5,33,8,54,17,9,0
08/11/2020,Dijon,1,5,0,2,1,0,3,39,9,58,22,8,0
22/11/2020,Dijon,1,5,0,2,1,1,3,41,11,47,25,5,0
29/11/2020,Dijon,1,2,0,2,1,1,2,35,10,43,23,5,0
06/12/2020,Dijon,4,3,1,1,1,3,2,33,12,46,15,6,0
13/12/2020,Dijon,3,2,1,1,1,2,1,25,7,50,16,5,0
16/12/2020,Dijon,4,2,1,2,0,2,1,28,9,52,12,5,0
20/12/2020,Dijon,1,3,0,2,1,0,2,25,6,52,16,2,0
23/12/2020,Dijon,1,4,0,1,2,0,3,30,6,50,11,4,0
06/01/2021,Dijon,3,4,1,0,2,0,3,31,6,45,10,4,0
09/01/2021,Dijon,3,2,1,1,1,0,2,33,5,32,10,7,0
24/01/2021,Dijon,3,1,1,2,0,0,1,27,4,32,8,8,0
27/01/2021,Dijon,1,1,0,3,0,0,0,18,3,35,8,7,0
31/01/2021,Dijon,3,4,0,2,1,2,1,17,5,44,9,7,0
03/02/2021,Dijon,3,5,0,1,2,2,2,23,8,38,11,6,0
07/02/2021,Dijon,2,5,0,0,3,2,3,32,7,39,9,7,0
14/02/2021,Dijon,2,6,0,0,3,1,2,38,10,36,7,7,1
21/02/2021,Dijon,2,7,0,0,3,1,1,37,10,46,8,9,2
27/02/2021,Dijon,3,8,0,0,3,1,1,35,12,43,11,7,3
03/03/2021,Dijon,1,8,0,0,3,0,3,27,8,39,9,6,2
