Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Lens,1,2,0,0,1,1,1,17,4,18,7,3,0
10/09/2020,Lens,1,0,1,0,0,0,0,7,3,21,4,2,0
13/09/2020,Lens,3,2,1,0,0,2,1,12,6,16,2,3,1
19/09/2020,Lens,5,4,2,0,1,3,2,36,13,55,13,8,1
27/09/2020,Lens,6,3,3,0,0,2,1,38,14,52,13,10,1
03/10/2020,Lens,6,4,2,1,0,3,1,46,17,47,16,11,1
18/10/2020,Lens,5,2,2,1,0,2,0,47,16,54,26,9,0
08/11/2020,Lens,3,5,1,1,1,2,1,35,13,55,21,7,2
22/11/2020,Lens,6,8,1,1,1,2,1,34,12,51,23,7,2
25/11/2020,Lens,5,8,1,1,1,2,1,27,9,34,17,6,2
29/11/2020,Lens,6,5,1,2,0,3,0,27,8,32,21,7,0
05/12/2020,Lens,3,4,1,1,1,3,1,26,8,35,13,6,0
12/12/2020,Lens,4,4,1,1,1,3,1,26,10,45,10,9,0
16/12/2020,Lens,5,6,1,0,2,3,3,33,13,42,10,6,0
19/12/2020,Lens,7,3,2,0,1,5,2,28,12,44,12,8,0
23/12/2020,Lens,5,5,1,0,2,4,3,39,11,36,13,6,0
06/01/2021,Lens,5,3,2,0,1,5,1,36,11,38,10,5,0
09/01/2021,Lens,4,6,1,0,2,2,2,38,9,31,11,3,0
17/01/2021,Lens,4,5,1,0,2,2,2,32,8,39,11,3,0
20/01/2021,Lens,3,5,0,1,2,0,3,29,5,45,12,6,0
23/01/2021,Lens,2,2,1,1,1,0,2,32,7,46,17,7,0
30/01/2021,Lens,2,2,1,1,1,0,1,34,8,39,19,8,0
03/02/2021,Lens,3,2,2,0,1,1,0,37,9,37,18,9,0
06/02/2021,Lens,4,4,1,1,1,1,2,45,8,44,17,10,0
13/02/2021,Lens,4,3,1,2,0,1,2,42,8,48,17,10,0
21/02/2021,Lens,3,3,0,3,0,0,3,48,12,38,20,6,0
28/02/2021,Lens,3,2,1,2,0,1,1,38,13,33,17,5,0
03/03/2021,Lens,5,4,1,2,0,2,3,42,14,36,22,3,0
