Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
22/08/2020,Lille,1,1,0,1,0,1,0,5,1,12,4,0,1
30/08/2020,Lille,1,0,1,0,0,1,0,10,3,11,2,1,0
13/09/2020,Lille,1,0,1,0,0,0,0,16,6,12,8,4,0
20/09/2020,Lille,3,1,2,1,0,2,0,31,10,35,14,5,1
25/09/2020,Lille,3,1,2,1,0,1,0,40,16,41,14,8,0
04/10/2020,Lille,4,1,2,1,0,1,0,42,17,46,16,7,0
18/10/2020,Lille,6,1,2,1,0,2,0,38,17,44,9,4,0
25/10/2020,Lille,9,0,3,0,0,3,0,41,16,39,12,1,0
01/11/2020,Lille,8,1,2,1,0,2,0,41,16,41,11,7,0
08/11/2020,Lille,6,2,1,2,0,2,1,44,16,45,19,9,0
22/11/2020,Lille,4,5,0,2,1,2,4,49,17,47,23,12,0
29/11/2020,Lille,7,4,1,1,1,3,4,68,26,39,29,7,0
06/12/2020,Lille,7,4,1,1,1,2,4,62,22,38,23,5,0
13/12/2020,Lille,7,2,2,1,0,1,1,50,20,35,13,5,0
16/12/2020,Lille,5,3,2,1,0,2,2,34,12,39,12,4,0
20/12/2020,Lille,6,2,3,0,0,3,1,35,15,34,13,3,0
23/12/2020,Lille,4,1,2,1,0,3,1,33,13,34,16,0,0
06/01/2021,Lille,5,2,2,1,0,2,0,27,15,31,12,2,0
09/01/2021,Lille,4,4,1,1,1,2,2,24,12,35,16,5,0
17/01/2021,Lille,5,4,2,0,1,3,2,26,11,36,15,8,0
24/01/2021,Lille,4,3,2,0,1,2,3,33,12,38,14,8,0
31/01/2021,Lille,4,1,3,0,0,2,1,35,14,41,8,7,0
03/02/2021,Lille,4,1,3,0,0,2,1,39,14,40,10,6,0
07/02/2021,Lille,5,0,3,0,0,2,0,34,12,44,9,6,0
14/02/2021,Lille,6,0,3,0,0,2,0,39,11,42,9,4,0
21/02/2021,Lille,5,0,2,1,0,1,0,39,9,46,13,4,0
28/02/2021,Lille,6,1,2,1,0,3,1,44,10,39,16,2,0
03/03/2021,Lille,5,2,1,2,0,2,2,44,12,36,23,2,0
