Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Lorient,3,1,1,0,0,0,1,10,7,17,6,3,0
30/08/2020,Lorient,0,2,0,0,1,0,1,6,1,23,5,1,0
13/09/2020,Lorient,2,3,0,0,1,1,2,6,3,20,4,4,0
20/09/2020,Lorient,5,6,1,0,2,1,4,22,11,60,15,8,0
27/09/2020,Lorient,4,8,0,0,3,2,5,21,8,56,15,6,0
04/10/2020,Lorient,5,7,0,1,2,2,4,19,9,52,11,7,0
17/10/2020,Lorient,4,7,0,1,2,2,3,23,10,46,10,5,0
24/10/2020,Lorient,5,5,1,1,1,1,2,28,10,44,10,5,0
01/11/2020,Lorient,4,5,1,0,2,1,2,37,11,35,15,6,0
08/11/2020,Lorient,3,2,1,1,1,0,1,36,8,34,19,5,0
22/11/2020,Lorient,0,3,0,1,2,0,0,40,8,40,18,7,0
29/11/2020,Lorient,0,6,0,1,2,0,1,34,7,41,16,7,0
06/12/2020,Lorient,0,7,0,0,3,0,1,33,8,41,11,8,0
13/12/2020,Lorient,0,7,0,0,3,0,2,27,7,35,18,5,0
16/12/2020,Lorient,3,3,1,0,2,2,1,33,10,42,16,4,0
20/12/2020,Lorient,3,4,1,0,2,2,1,33,11,38,16,2,1
23/12/2020,Lorient,3,5,1,0,2,2,1,32,10,46,5,3,1
06/01/2021,Lorient,2,7,0,1,2,0,3,43,11,41,13,5,1
09/01/2021,Lorient,4,10,0,1,2,1,4,46,13,41,16,6,1
27/01/2021,Lorient,5,9,0,1,2,2,5,47,15,32,18,5,1
31/01/2021,Lorient,6,9,1,0,2,3,5,37,14,32,17,3,1
03/02/2021,Lorient,7,6,2,0,1,3,5,42,14,38,19,6,0
06/02/2021,Lorient,7,5,2,1,0,2,4,42,13,34,19,7,0
14/02/2021,Lorient,5,3,2,1,0,1,2,38,12,33,12,5,0
21/02/2021,Lorient,4,3,1,2,0,1,1,27,9,31,6,4,0
24/02/2021,Lorient,4,6,1,1,1,2,2,23,9,34,4,5,0
28/02/2021,Lorient,3,7,0,1,2,2,2,24,8,36,9,9,0
03/03/2021,Lorient,3,6,1,0,2,1,3,30,9,35,13,7,0
