Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
28/08/2020,Lyon,4,1,1,0,0,3,1,27,12,12,13,3,0
11/09/2020,Lyon,0,0,0,1,0,0,0,20,3,19,5,3,0
15/09/2020,Lyon,1,2,0,0,1,0,1,19,7,13,11,2,1
18/09/2020,Lyon,5,3,1,1,1,3,2,66,22,44,29,8,1
27/09/2020,Lyon,1,2,0,2,1,0,1,55,13,50,25,8,1
04/10/2020,Lyon,2,3,0,2,1,0,1,54,16,38,25,5,1
18/10/2020,Lyon,2,2,0,3,0,1,1,59,12,39,33,4,0
25/10/2020,Lyon,5,4,1,2,0,4,2,57,17,29,26,4,0
01/11/2020,Lyon,8,4,2,1,0,8,2,53,17,34,23,7,1
08/11/2020,Lyon,8,4,2,1,0,8,2,37,15,30,8,9,2
22/11/2020,Lyon,7,3,2,1,0,5,2,41,13,41,9,11,2
29/11/2020,Lyon,4,2,2,1,0,1,2,31,9,41,10,11,1
06/12/2020,Lyon,6,1,3,0,0,1,1,37,12,50,10,10,0
13/12/2020,Lyon,7,1,3,0,0,2,0,37,11,45,13,5,1
16/12/2020,Lyon,7,1,3,0,0,3,0,40,14,50,15,3,2
19/12/2020,Lyon,6,3,2,1,0,2,1,54,21,44,23,4,2
23/12/2020,Lyon,7,3,2,1,0,3,2,49,25,39,19,5,1
06/01/2021,Lyon,9,3,2,1,0,5,2,63,31,33,23,5,0
09/01/2021,Lyon,10,3,3,0,0,6,1,46,26,27,18,3,0
17/01/2021,Lyon,8,4,2,1,0,4,1,46,21,34,21,4,0
24/01/2021,Lyon,5,5,1,1,1,1,1,47,15,37,21,4,0
29/01/2021,Lyon,7,3,1,1,1,2,1,55,21,39,22,4,0
03/02/2021,Lyon,7,2,2,0,1,3,0,52,21,40,24,3,0
06/02/2021,Lyon,8,1,3,0,0,4,0,45,24,38,21,2,0
13/02/2021,Lyon,6,1,3,0,0,4,0,42,20,36,19,3,0
19/02/2021,Lyon,5,2,2,0,1,4,1,56,24,28,18,2,0
28/02/2021,Lyon,7,4,2,0,1,6,1,57,23,28,19,4,0
03/03/2021,Lyon,5,5,1,1,1,5,2,52,16,32,15,6,1
