Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
30/08/2020,Marseille,3,2,1,0,0,2,1,7,4,13,2,4,0
13/09/2020,Marseille,1,0,1,0,0,1,0,5,2,19,2,8,2
17/09/2020,Marseille,0,2,0,0,1,0,1,13,2,13,7,2,0
20/09/2020,Marseille,4,4,2,0,1,3,2,25,8,45,11,14,2
26/09/2020,Marseille,2,3,1,1,1,1,1,29,6,44,14,13,2
04/10/2020,Marseille,2,4,0,2,1,0,1,41,7,40,17,5,0
17/10/2020,Marseille,3,3,0,3,0,1,1,32,6,37,15,4,1
24/10/2020,Marseille,5,3,1,2,0,2,1,27,8,38,16,4,1
06/11/2020,Marseille,5,2,2,1,0,2,1,25,8,35,15,7,1
28/11/2020,Marseille,5,1,3,0,0,1,0,22,8,42,12,10,0
04/12/2020,Marseille,5,1,3,0,0,2,0,31,13,45,9,11,0
12/12/2020,Marseille,6,1,3,0,0,2,0,33,14,51,13,12,1
16/12/2020,Marseille,7,2,3,0,0,4,0,37,15,56,12,11,1
19/12/2020,Marseille,5,3,2,0,1,3,0,30,7,55,10,11,2
23/12/2020,Marseille,4,4,1,1,1,4,1,25,9,48,9,8,1
06/01/2021,Marseille,3,5,0,1,2,2,3,29,10,40,16,9,1
09/01/2021,Marseille,5,4,1,1,1,2,3,39,17,29,20,5,0
16/01/2021,Marseille,4,3,1,1,1,1,2,38,15,31,19,6,0
20/01/2021,Marseille,4,3,1,1,1,1,0,43,18,30,18,4,0
23/01/2021,Marseille,1,3,0,1,2,0,0,29,11,39,16,9,0
03/02/2021,Marseille,2,6,0,0,3,1,0,23,8,47,14,12,0
07/02/2021,Marseille,3,6,0,1,2,3,0,20,6,48,11,12,0
14/02/2021,Marseille,3,7,0,1,2,3,2,28,9,47,15,8,1
17/02/2021,Marseille,2,4,0,2,1,2,2,28,9,43,16,4,3
20/02/2021,Marseille,3,4,1,1,1,2,2,25,9,39,17,4,3
28/02/2021,Marseille,4,3,1,2,0,2,0,20,8,42,11,4,3
03/03/2021,Marseille,5,4,1,2,0,3,1,27,9,38,13,7,1
