Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
30/08/2020,Metz,0,1,0,0,1,0,1,14,4,14,10,0,0
13/09/2020,Metz,0,1,0,0,1,0,0,5,1,14,3,4,0
16/09/2020,Metz,0,1,0,0,1,0,0,7,1,6,2,2,0
20/09/2020,Metz,0,3,0,0,3,0,1,26,6,34,15,6,0
26/09/2020,Metz,2,3,1,0,2,1,1,26,6,34,13,7,0
04/10/2020,Metz,3,3,1,1,1,1,1,35,8,31,15,5,0
18/10/2020,Metz,6,3,2,1,0,2,2,44,15,35,17,4,0
25/10/2020,Metz,5,3,1,2,0,2,2,37,14,34,14,5,0
01/11/2020,Metz,6,2,2,1,0,3,2,29,14,34,14,6,0
08/11/2020,Metz,4,1,2,1,0,3,1,21,11,39,11,7,1
22/11/2020,Metz,4,1,2,1,0,3,1,28,12,42,11,7,1
29/11/2020,Metz,3,2,1,2,0,3,2,32,13,45,8,7,1
06/12/2020,Metz,2,4,0,2,1,2,3,39,14,41,17,7,0
13/12/2020,Metz,2,6,0,1,2,1,3,37,15,39,17,6,1
16/12/2020,Metz,3,7,0,1,2,1,2,33,14,41,19,7,1
19/12/2020,Metz,5,5,1,1,1,1,1,27,13,39,11,8,1
23/12/2020,Metz,6,2,2,1,0,2,0,27,12,42,14,8,0
06/01/2021,Metz,4,1,2,0,1,1,0,30,13,44,15,5,0
09/01/2021,Metz,2,1,1,1,1,1,0,30,11,45,16,3,0
17/01/2021,Metz,1,2,0,2,1,0,1,34,12,47,13,4,0
24/01/2021,Metz,2,1,1,2,0,0,1,42,11,40,10,6,0
31/01/2021,Metz,4,1,2,1,0,1,1,47,12,45,11,8,0
03/02/2021,Metz,7,2,3,0,0,2,1,46,13,40,7,9,0
07/02/2021,Metz,7,3,2,1,0,2,1,46,16,44,13,12,0
14/02/2021,Metz,5,4,1,1,1,1,2,42,12,38,11,11,0
21/02/2021,Metz,2,4,0,1,2,1,2,41,9,37,17,10,0
27/02/2021,Metz,3,4,1,0,2,3,2,35,7,34,12,5,0
03/03/2021,Metz,5,4,2,0,1,3,2,40,12,37,20,5,0
