Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Monaco,2,2,0,1,0,1,2,22,5,8,8,1,0
30/08/2020,Monaco,1,0,1,0,0,1,0,3,2,20,1,5,1
13/09/2020,Monaco,2,1,1,0,0,1,0,18,5,14,9,3,0
19/09/2020,Monaco,5,3,2,1,0,3,2,43,12,42,18,9,1
27/09/2020,Monaco,4,3,2,0,1,3,0,35,9,45,20,10,1
04/10/2020,Monaco,6,5,2,0,1,4,0,43,12,36,25,8,2
18/10/2020,Monaco,4,5,1,0,2,3,1,46,9,39,24,9,2
25/10/2020,Monaco,4,4,1,1,1,2,1,53,14,41,24,9,2
01/11/2020,Monaco,2,6,0,1,2,0,5,60,14,45,30,10,0
08/11/2020,Monaco,6,5,1,1,1,3,4,56,18,38,32,8,0
20/11/2020,Monaco,7,5,2,0,1,4,4,50,19,41,26,8,0
29/11/2020,Monaco,9,3,3,0,0,4,2,47,19,38,16,6,0
06/12/2020,Monaco,8,3,3,0,0,2,2,48,18,44,14,5,0
12/12/2020,Monaco,7,4,2,0,1,1,2,41,13,39,13,3,0
16/12/2020,Monaco,5,4,1,0,2,1,2,35,12,37,14,3,0
20/12/2020,Monaco,2,7,0,0,3,0,5,24,8,29,9,4,1
23/12/2020,Monaco,2,5,1,0,2,1,5,29,11,32,12,5,1
06/01/2021,Monaco,3,5,1,1,1,2,5,22,9,34,9,6,2
09/01/2021,Monaco,8,4,2,1,0,3,3,31,17,35,14,7,1
15/01/2021,Monaco,10,4,2,1,0,3,3,32,16,30,13,8,1
23/01/2021,Monaco,11,4,3,0,0,4,1,46,19,30,19,8,0
31/01/2021,Monaco,9,3,3,0,0,3,1,38,16,39,16,8,0
03/02/2021,Monaco,8,4,3,0,0,3,1,38,16,44,19,9,0
07/02/2021,Monaco,7,3,3,0,0,2,1,37,17,48,19,6,0
14/02/2021,Monaco,8,5,3,0,0,4,2,40,16,46,20,5,0
21/02/2021,Monaco,8,6,2,1,0,3,3,38,15,45,19,5,0
28/02/2021,Monaco,8,5,2,1,0,3,3,28,12,39,15,6,0
03/03/2021,Monaco,6,2,2,1,0,1,1,32,16,37,13,6,0
