Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
29/08/2020,Montpellier,1,2,0,0,1,0,1,11,3,16,1,2,1
12/09/2020,Montpellier,3,1,1,0,0,1,0,20,13,17,8,0,0
15/09/2020,Montpellier,2,1,1,0,0,1,0,10,3,13,4,3,1
20/09/2020,Montpellier,6,4,2,0,1,2,1,41,19,46,13,5,2
27/09/2020,Montpellier,9,3,3,0,0,4,1,44,25,44,18,7,1
04/10/2020,Montpellier,8,4,2,1,0,3,2,38,17,38,23,8,1
18/10/2020,Montpellier,6,4,1,1,1,2,2,40,16,39,27,7,0
25/10/2020,Montpellier,3,4,0,2,1,0,1,29,9,38,23,4,1
01/11/2020,Montpellier,1,6,0,1,2,0,3,20,5,34,13,4,3
07/11/2020,Montpellier,2,5,1,1,1,1,3,18,5,37,7,5,3
22/11/2020,Montpellier,3,4,2,0,1,1,3,24,6,34,10,5,2
29/11/2020,Montpellier,7,3,3,0,0,4,3,40,14,43,18,6,0
05/12/2020,Montpellier,7,3,3,0,0,3,3,46,15,40,20,4,0
12/12/2020,Montpellier,6,6,2,0,1,4,4,54,14,42,18,4,0
16/12/2020,Montpellier,5,5,2,0,1,3,2,43,12,40,11,3,0
20/12/2020,Montpellier,4,7,1,0,2,3,2,41,12,37,17,5,0
23/12/2020,Montpellier,5,6,1,1,1,3,1,34,14,40,18,5,0
06/01/2021,Montpellier,4,7,0,1,2,1,1,41,13,39,20,7,0
09/01/2021,Montpellier,5,8,0,1,2,1,2,40,15,34,11,4,0
15/01/2021,Montpellier,4,7,0,1,2,1,2,38,17,37,8,8,0
22/01/2021,Montpellier,4,7,0,1,2,1,3,30,14,41,7,7,0
30/01/2021,Montpellier,3,8,0,1,2,1,3,22,10,47,7,8,1
03/02/2021,Montpellier,3,9,0,0,3,0,4,31,11,44,18,7,1
07/02/2021,Montpellier,2,7,0,1,2,0,2,37,12,42,20,6,1
13/02/2021,Montpellier,6,5,1,1,1,0,2,57,22,42,28,8,0
21/02/2021,Montpellier,7,4,2,1,0,1,2,52,20,39,17,5,0
28/02/2021,Montpellier,8,4,3,0,0,3,2,49,23,34,13,5,0
03/03/2021,Montpellier,4,2,2,1,0,3,1,33,15,32,5,3,0
