Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/08/2020,Nantes,0,0,0,1,0,0,0,6,1,15,3,3,0
30/08/2020,Nantes,2,1,1,0,0,2,0,8,5,16,4,3,2
13/09/2020,Nantes,1,2,0,0,1,0,1,7,2,11,4,1,0
20/09/2020,Nantes,3,3,1,1,1,2,1,21,8,42,11,7,2
25/09/2020,Nantes,5,5,1,1,1,2,2,30,10,39,12,6,2
03/10/2020,Nantes,3,6,0,1,2,0,3,34,11,35,15,5,0
18/10/2020,Nantes,3,6,0,1,2,1,3,38,10,32,13,5,1
31/10/2020,Nantes,4,5,1,0,2,3,2,35,15,35,11,6,1
08/11/2020,Nantes,4,6,1,0,2,3,1,29,10,36,6,6,1
22/11/2020,Nantes,5,4,2,0,1,2,0,34,13,37,9,6,0
25/11/2020,Nantes,3,4,1,1,1,1,1,39,10,35,13,5,0
28/11/2020,Nantes,4,2,1,2,0,1,2,44,12,40,13,5,0
06/12/2020,Nantes,3,5,0,2,1,1,4,34,10,42,15,6,0
13/12/2020,Nantes,2,8,0,1,2,0,5,31,7,42,16,7,0
16/12/2020,Nantes,2,8,0,1,2,1,4,37,10,35,18,7,0
20/12/2020,Nantes,3,8,0,1,2,2,2,49,15,37,17,7,0
23/12/2020,Nantes,4,5,0,2,1,2,1,44,15,40,15,7,0
06/01/2021,Nantes,3,7,0,1,2,1,4,45,13,42,18,8,0
09/01/2021,Nantes,1,4,0,2,1,0,4,34,8,42,18,8,0
17/01/2021,Nantes,1,4,0,2,1,0,4,37,9,37,21,5,0
24/01/2021,Nantes,2,2,0,3,0,1,1,29,7,38,16,5,0
31/01/2021,Nantes,2,4,0,2,1,1,2,30,5,40,16,4,0
03/02/2021,Nantes,2,5,0,1,2,1,2,27,5,40,10,8,1
07/02/2021,Nantes,2,5,0,1,2,1,2,30,9,45,13,6,1
14/02/2021,Nantes,2,5,0,1,2,1,2,28,10,43,11,8,1
20/02/2021,Nantes,4,4,1,1,1,3,2,26,10,53,11,7,0
28/02/2021,Nantes,4,4,1,1,1,2,2,19,5,45,8,10,0
03/03/2021,Nantes,5,3,1,2,0,3,1,21,5,57,12,8,0
