Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Nice,2,1,1,0,0,1,1,4,2,17,1,2,0
29/08/2020,Nice,2,0,1,0,0,1,0,3,2,11,1,6,0
12/09/2020,Nice,1,3,0,0,1,0,1,9,1,16,9,2,0
20/09/2020,Nice,5,4,2,0,1,2,2,16,5,44,11,10,0
27/09/2020,Nice,3,6,1,0,2,1,3,26,8,36,14,9,0
03/10/2020,Nice,1,6,0,1,2,0,3,36,8,40,20,4,0
18/10/2020,Nice,2,4,1,1,1,1,3,45,14,37,20,4,0
25/10/2020,Nice,5,2,2,1,0,3,1,42,14,38,19,8,0
01/11/2020,Nice,6,3,2,1,0,3,1,37,15,36,17,8,0
08/11/2020,Nice,7,2,2,1,0,4,0,31,13,35,13,8,0
29/11/2020,Nice,5,3,1,1,1,2,1,28,12,33,11,5,0
06/12/2020,Nice,5,5,1,0,2,2,3,44,16,27,17,7,0
13/12/2020,Nice,2,5,0,1,2,0,3,44,15,28,18,7,0
16/12/2020,Nice,1,4,0,1,2,0,3,47,14,36,20,7,0
19/12/2020,Nice,2,1,1,1,1,0,1,37,13,39,14,6,1
23/12/2020,Nice,3,5,1,0,2,1,3,33,10,43,16,5,1
06/01/2021,Nice,5,6,1,1,1,3,2,25,10,38,13,6,2
09/01/2021,Nice,3,8,0,1,2,3,4,23,10,36,14,7,1
17/01/2021,Nice,3,5,0,2,1,3,2,26,13,27,8,8,1
23/01/2021,Nice,1,6,0,1,2,1,2,33,11,24,11,5,0
31/01/2021,Nice,2,4,1,1,1,1,0,28,7,30,7,3,0
03/02/2021,Nice,1,4,1,0,2,0,0,24,5,33,9,3,0
07/02/2021,Nice,2,3,1,0,2,0,1,19,6,44,8,7,0
13/02/2021,Nice,4,3,1,0,2,2,1,23,6,41,11,8,0
17/02/2021,Nice,5,4,1,0,2,2,2,29,9,36,8,6,0
21/02/2021,Nice,6,5,1,0,2,2,3,34,11,30,9,3,0
26/02/2021,Nice,4,7,0,0,3,0,5,35,12,35,7,2,0
03/03/2021,Nice,5,6,1,0,2,1,5,36,14,47,7,4,0
